negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
2,0.0,22.36,0.17,-22.36,0.17,103.42,1.43
2,10.0,20.55,0.47,-20.55,0.47,102.3,1.17
2,20.0,18.4,0.8,-18.4,0.8,102.83,1.51
2,30.0,16.69,1.21,-16.69,1.21,103.39,1.66
2,40.0,14.43,1.68,-14.43,1.68,102.99,1.66
2,50.0,12.93,1.69,-12.93,1.69,104.41,1.5
2,60.0,10.08,2.15,-10.08,2.15,104.11,1.53
2,70.0,7.67,2.5,-7.67,2.5,103.73,1.56
2,80.0,5.51,2.02,-5.34,2.43,103.28,1.33
2,90.0,4.52,1.59,-2.24,4.23,102.85,1.4
2,100.0,2.51,3.72,2.51,3.72,108.52,2.16
3,0.0,21.94,0.13,-21.94,0.13,107.21,1.71
3,10.0,20.09,0.3,-20.09,0.3,105.75,1.76
3,20.0,18.24,0.9,-18.24,0.9,105.26,1.18
3,30.0,16.07,1.08,-16.07,1.08,104.85,1.39
3,40.0,13.88,1.26,-13.88,1.26,104.45,1.57
3,50.0,11.97,2.05,-11.97,2.05,104.03,1.57
3,60.0,10.03,2.68,-10.03,2.68,104.62,1.34
3,70.0,8.42,2.21,-8.42,2.21,103.39,1.21
3,80.0,5.0,2.57,-4.71,3.08,103.72,1.16
3,90.0,3.37,2.18,-2.11,3.42,103.58,1.42
3,100.0,1.19,1.51,1.19,1.51,103.84,1.58
4,0.0,23.77,0.23,-23.77,0.23,103.46,1.54
4,10.0,22.12,0.68,-22.12,0.68,103.62,1.27
4,20.0,19.97,0.97,-19.97,0.97,104.88,2.16
4,30.0,18.21,0.97,-18.21,0.97,103.96,1.36
4,40.0,15.62,1.85,-15.62,1.85,102.66,1.29
4,50.0,13.91,2.44,-13.91,2.44,107.32,2.16
4,60.0,12.22,2.37,-12.22,2.37,105.85,1.45
4,70.0,9.78,2.55,-9.78,2.55,105.35,1.78
4,80.0,6.74,2.97,-6.63,3.2,104.2,0.89
4,90.0,4.62,1.97,-3.28,3.81,104.08,1.57
4,100.0,1.66,2.69,1.66,2.69,103.67,1.14
5,0.0,26.18,0.36,-26.18,0.36,103.43,1.44
5,10.0,24.22,0.66,-24.22,0.66,104.94,2.14
5,20.0,22.12,1.14,-22.12,1.14,110.02,1.59
5,30.0,20.48,1.9,-20.48,1.9,109.69,1.61
5,40.0,16.99,2.19,-16.99,2.19,107.75,1.55
5,50.0,15.87,2.9,-15.87,2.9,108.07,1.08
5,60.0,12.33,3.43,-12.33,3.43,106.88,1.34
5,70.0,10.52,3.27,-10.52,3.27,107.76,1.74
5,80.0,8.74,2.66,-8.53,3.28,106.91,1.59
5,90.0,4.93,2.62,-4.11,3.78,106.13,1.38
5,100.0,1.14,2.1,1.14,2.1,106.07,1.44
6,0.0,23.56,0.18,-23.56,0.18,106.19,1.4
6,10.0,21.77,0.78,-21.77,0.78,105.37,1.19
6,20.0,19.85,0.84,-19.85,0.84,105.51,1.36
6,30.0,17.55,1.56,-17.55,1.56,105.57,1.61
6,40.0,16.07,1.65,-16.07,1.65,105.12,1.24
6,50.0,13.05,1.82,-13.05,1.82,105.04,1.5
6,60.0,10.82,1.96,-10.82,1.96,105.05,1.32
6,70.0,8.61,2.91,-8.61,2.91,104.47,1.47
6,80.0,5.7,2.59,-4.83,3.98,104.38,1.39
6,90.0,4.34,2.8,-3.1,4.13,104.62,1.3
6,100.0,1.78,3.37,1.78,3.37,104.73,1.5
7,0.0,22.96,0.16,-22.96,0.16,104.31,1.53
7,10.0,20.81,0.4,-20.81,0.4,104.35,1.45
7,20.0,19.24,1.19,-19.24,1.19,104.89,1.56
7,30.0,17.03,1.19,-17.03,1.19,100.62,2.18
7,40.0,14.77,1.59,-14.77,1.59,100.13,1.62
7,50.0,13.0,1.97,-13.0,1.97,100.35,2.08
7,60.0,9.43,2.48,-9.43,2.48,98.81,1.02
7,70.0,7.61,2.84,-7.61,2.84,100.15,1.79
7,80.0,5.42,3.24,-4.99,3.87,100.22,1.57
7,90.0,4.08,2.13,-3.72,2.7,98.83,1.68
7,100.0,1.17,3.02,1.17,3.02,100.06,1.7
8,0.0,26.85,0.39,-26.85,0.39,98.92,2.07
8,10.0,25.23,0.51,-25.23,0.51,98.23,1.12
8,20.0,23.44,1.26,-23.44,1.26,100.0,2.02
8,30.0,20.52,1.5,-20.52,1.5,102.08,1.98
8,40.0,18.64,2.68,-18.64,2.68,102.71,1.54
8,50.0,16.59,2.64,-16.59,2.64,102.64,1.98
8,60.0,13.79,4.03,-13.79,4.03,105.05,2.41
8,70.0,11.49,3.92,-11.49,3.92,112.72,15.36
8,80.0,7.69,4.64,-7.67,4.69,102.95,1.3
8,90.0,6.46,2.14,-6.03,3.15,104.84,1.99
8,100.0,2.36,2.83,2.36,2.83,103.39,1.43
9,0.0,30.95,0.48,-30.95,0.48,100.95,1.24
9,10.0,28.93,1.02,-28.93,1.02,104.23,2.36
9,20.0,27.45,1.65,-27.45,1.65,103.73,1.6
9,30.0,25.6,2.17,-25.6,2.17,101.97,1.1
9,40.0,23.06,2.05,-23.06,2.05,102.58,1.27
9,50.0,21.14,3.52,-21.14,3.52,102.0,1.84
9,60.0,16.53,2.35,-16.53,2.35,102.11,1.39
9,70.0,12.76,3.73,-12.76,3.73,106.54,1.97
9,80.0,10.11,3.56,-10.11,3.56,105.91,1.58
9,90.0,6.83,2.22,-6.36,3.32,104.98,1.57
9,100.0,0.89,2.02,0.89,2.02,104.55,1.76
