negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
2,0.0,4.56,0.64,-4.56,0.64,0.59,0.19
2,10.0,7.29,1.15,-7.29,1.15,0.64,0.18
2,20.0,9.66,1.34,-9.66,1.34,0.6,0.2
2,30.0,11.53,1.74,-11.53,1.74,0.52,0.16
2,40.0,12.73,1.45,-12.73,1.45,0.56,0.15
2,50.0,12.56,2.57,-12.56,2.57,0.61,0.17
2,60.0,15.8,3.25,-15.8,3.25,0.54,0.14
2,70.0,16.71,2.13,-16.71,2.13,0.46,0.14
2,80.0,17.15,2.38,-17.15,2.38,0.64,0.21
2,90.0,9.59,0.85,-9.59,0.85,0.61,0.21
2,100.0,0.25,1.01,0.25,1.01,0.57,0.18
3,0.0,2.26,0.29,-2.26,0.29,0.54,0.14
3,10.0,5.64,0.82,-5.64,0.82,0.5,0.19
3,20.0,7.23,1.19,-7.23,1.19,0.61,0.2
3,30.0,8.89,1.36,-8.89,1.36,0.53,0.18
3,40.0,11.04,1.46,-11.04,1.46,0.49,0.16
3,50.0,12.11,1.56,-12.11,1.56,0.58,0.15
3,60.0,13.61,2.33,-13.61,2.33,0.5,0.16
3,70.0,15.95,1.79,-15.95,1.79,0.54,0.13
3,80.0,15.37,3.69,-15.37,3.69,0.55,0.18
3,90.0,9.38,1.18,-9.38,1.18,0.53,0.16
3,100.0,0.23,0.6,0.23,0.6,0.55,0.15
4,0.0,3.97,0.61,-3.97,0.61,0.54,0.12
4,10.0,7.86,1.62,-7.86,1.62,0.57,0.17
4,20.0,9.94,1.66,-9.94,1.66,0.52,0.16
4,30.0,11.97,2.9,-11.97,2.9,0.56,0.15
4,40.0,13.6,3.02,-13.6,3.02,0.52,0.13
4,50.0,14.28,3.06,-14.28,3.06,0.53,0.15
4,60.0,15.8,2.8,-15.8,2.8,0.54,0.18
4,70.0,18.03,4.3,-18.03,4.3,0.52,0.15
4,80.0,17.98,2.87,-17.98,2.87,0.55,0.17
4,90.0,9.92,0.25,-9.92,0.25,0.51,0.16
4,100.0,0.06,0.25,0.06,0.25,0.52,0.13
5,0.0,6.39,0.7,-6.39,0.7,0.52,0.16
5,10.0,8.67,1.36,-8.67,1.36,0.54,0.15
5,20.0,10.56,1.54,-10.56,1.54,0.58,0.18
5,30.0,12.56,1.71,-12.56,1.71,0.54,0.16
5,40.0,14.92,3.27,-14.92,3.27,0.52,0.16
5,50.0,18.28,4.42,-18.28,4.42,0.54,0.14
5,60.0,20.56,5.16,-20.56,5.16,0.5,0.15
5,70.0,23.36,4.11,-23.36,4.11,0.46,0.17
5,80.0,18.78,1.72,-18.78,1.72,0.51,0.16
5,90.0,9.94,0.13,-9.94,0.13,0.45,0.14
5,100.0,0.02,0.09,0.02,0.09,0.48,0.15
6,0.0,4.76,0.5,-4.76,0.5,0.58,0.18
6,10.0,8.0,1.42,-8.0,1.42,0.54,0.19
6,20.0,10.09,1.86,-10.09,1.86,0.47,0.13
6,30.0,12.21,1.88,-12.21,1.88,0.55,0.17
6,40.0,13.03,2.88,-13.03,2.88,0.5,0.15
6,50.0,13.59,2.34,-13.59,2.34,0.61,0.2
6,60.0,15.71,2.33,-15.71,2.33,0.49,0.15
6,70.0,18.56,2.83,-18.56,2.83,0.52,0.16
6,80.0,16.55,3.12,-16.55,3.12,0.56,0.18
6,90.0,9.73,0.58,-9.73,0.58,0.49,0.16
6,100.0,0.01,0.05,0.01,0.05,0.56,0.16
7,0.0,4.24,0.73,-4.24,0.73,0.53,0.13
7,10.0,7.82,1.41,-7.82,1.41,0.57,0.21
7,20.0,9.46,1.48,-9.46,1.48,0.59,0.19
7,30.0,12.29,1.64,-12.29,1.64,0.57,0.17
7,40.0,13.2,1.93,-13.2,1.93,0.55,0.15
7,50.0,13.48,2.36,-13.48,2.36,0.64,0.2
7,60.0,16.33,2.73,-16.33,2.73,0.66,0.2
7,70.0,17.4,3.44,-17.4,3.44,0.54,0.15
7,80.0,16.04,3.16,-16.04,3.16,0.6,0.16
7,90.0,9.68,0.99,-9.68,0.99,0.58,0.21
7,100.0,0.04,0.11,0.04,0.11,0.57,0.19
8,0.0,8.25,1.17,-8.25,1.17,0.57,0.16
8,10.0,11.03,1.87,-11.03,1.87,0.6,0.2
8,20.0,13.68,2.05,-13.68,2.05,0.58,0.17
8,30.0,16.81,2.98,-16.81,2.98,0.55,0.18
8,40.0,17.86,3.77,-17.86,3.77,0.61,0.17
8,50.0,18.05,5.26,-18.05,5.26,0.54,0.18
8,60.0,21.34,3.77,-21.34,3.77,0.62,0.16
8,70.0,19.7,4.17,-19.7,4.17,0.57,0.17
8,80.0,17.93,2.95,-17.93,2.95,0.45,0.14
8,90.0,9.71,0.64,-9.71,0.64,0.56,0.17
8,100.0,0.04,0.14,0.04,0.14,0.59,0.19
9,0.0,15.48,1.52,-15.48,1.52,0.62,0.2
9,10.0,17.96,2.48,-17.96,2.48,0.6,0.2
9,20.0,19.06,3.49,-19.06,3.49,0.58,0.19
9,30.0,21.31,2.83,-21.31,2.83,0.61,0.15
9,40.0,22.63,3.09,-22.63,3.09,0.54,0.16
9,50.0,22.47,4.24,-22.47,4.24,0.54,0.15
9,60.0,22.69,6.05,-22.69,6.05,0.61,0.18
9,70.0,22.59,4.23,-22.59,4.23,0.57,0.18
9,80.0,18.27,1.95,-18.27,1.95,0.6,0.18
9,90.0,9.76,0.41,-9.76,0.41,0.66,0.2
9,100.0,0.01,0.06,0.01,0.06,0.56,0.18
