negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
2,0.0,1.09,0.41,-1.09,0.41,5.67,0.1
2,10.0,1.19,0.9,-1.14,0.97,5.68,0.1
2,20.0,1.27,0.96,-0.82,1.36,5.75,0.09
2,30.0,1.71,1.01,-1.61,1.15,5.78,0.21
2,40.0,1.89,1.64,-0.72,2.4,6.01,0.25
2,50.0,2.36,1.29,-1.02,2.49,6.1,0.07
2,60.0,2.08,1.26,0.61,2.35,6.11,0.15
2,70.0,2.85,1.96,0.55,3.41,6.16,0.14
2,80.0,2.34,2.3,0.64,3.22,6.36,0.15
2,90.0,2.89,2.5,0.26,3.81,6.66,0.3
2,100.0,2.53,2.81,2.53,2.81,6.65,0.21
3,0.0,0.23,0.12,-0.23,0.12,5.69,0.09
3,10.0,0.73,0.42,-0.11,0.84,5.74,0.07
3,20.0,0.81,0.61,-0.32,0.96,5.73,0.11
3,30.0,1.11,0.93,0.08,1.45,5.93,0.26
3,40.0,2.21,1.21,0.15,2.52,5.92,0.15
3,50.0,2.06,1.57,-0.28,2.58,6.11,0.16
3,60.0,2.08,1.64,-0.72,2.55,6.15,0.09
3,70.0,2.01,2.05,-0.65,2.8,6.13,0.1
3,80.0,2.79,2.15,1.52,3.18,6.31,0.22
3,90.0,3.85,2.85,0.3,4.78,6.43,0.24
3,100.0,3.11,2.92,3.11,2.92,6.42,0.12
4,0.0,2.73,0.5,-2.73,0.5,5.64,0.08
4,10.0,3.38,1.1,-3.38,1.1,5.64,0.08
4,20.0,3.46,1.32,-3.4,1.48,5.72,0.07
4,30.0,2.87,1.4,-2.8,1.54,5.93,0.15
4,40.0,3.14,1.34,-2.82,1.93,5.84,0.1
4,50.0,2.39,2.2,-1.17,3.03,5.86,0.1
4,60.0,2.52,2.0,-2.17,2.38,5.92,0.09
4,70.0,2.88,2.34,-1.36,3.45,6.09,0.12
4,80.0,2.7,2.36,0.11,3.59,6.52,0.24
4,90.0,2.5,2.03,-0.69,3.14,6.37,0.13
4,100.0,2.9,2.74,2.9,2.74,6.49,0.18
5,0.0,5.3,0.63,-5.3,0.63,5.63,0.06
5,10.0,5.56,0.92,-5.56,0.92,5.61,0.06
5,20.0,5.68,1.25,-5.68,1.25,5.67,0.07
5,30.0,6.09,1.86,-6.09,1.86,5.97,0.15
5,40.0,6.34,2.67,-6.29,2.79,5.77,0.06
5,50.0,6.19,2.35,-6.19,2.35,5.88,0.07
5,60.0,5.6,2.07,-5.6,2.07,6.03,0.11
5,70.0,5.3,2.99,-4.94,3.56,6.09,0.11
5,80.0,2.69,2.35,-2.35,2.69,6.42,0.27
5,90.0,3.1,2.31,-1.46,3.58,6.46,0.17
5,100.0,2.04,1.87,2.04,1.87,6.46,0.18
6,0.0,2.27,0.53,-2.27,0.53,5.57,0.04
6,10.0,2.48,1.2,-2.32,1.49,5.69,0.04
6,20.0,2.25,1.33,-2.25,1.33,5.74,0.04
6,30.0,2.33,1.47,-2.05,1.83,5.9,0.22
6,40.0,2.25,2.19,-1.95,2.47,5.87,0.11
6,50.0,2.6,2.13,-2.2,2.55,5.97,0.09
6,60.0,1.78,1.45,-1.44,1.8,6.09,0.12
6,70.0,2.02,1.4,-0.89,2.3,6.13,0.12
6,80.0,2.14,1.51,-0.4,2.58,6.37,0.24
6,90.0,3.38,2.52,0.4,4.19,6.38,0.15
6,100.0,1.52,1.83,1.52,1.83,6.44,0.14
7,0.0,1.15,0.36,-1.15,0.36,5.56,0.03
7,10.0,1.11,0.68,-0.92,0.92,5.58,0.09
7,20.0,1.25,0.89,-0.77,1.32,6.86,1.14
7,30.0,1.6,1.12,-1.05,1.64,7.26,0.46
7,40.0,2.09,1.53,-1.82,1.84,7.11,0.27
7,50.0,1.98,1.48,-1.03,2.25,7.18,0.3
7,60.0,2.6,1.31,-0.28,2.9,7.21,0.35
7,70.0,2.95,2.4,-0.3,3.79,7.55,0.33
7,80.0,2.39,1.81,-0.44,2.97,7.99,0.47
7,90.0,2.6,1.53,0.33,3.0,8.31,0.67
7,100.0,3.34,3.75,3.34,3.75,7.96,0.35
8,0.0,7.24,0.68,-7.24,0.68,6.95,0.18
8,10.0,7.32,1.27,-7.32,1.27,6.93,0.27
8,20.0,7.32,1.82,-7.32,1.82,6.91,0.2
8,30.0,8.06,2.07,-8.06,2.07,7.32,0.39
8,40.0,7.59,2.22,-7.59,2.22,7.28,0.4
8,50.0,7.77,3.47,-7.75,3.5,7.13,0.39
8,60.0,7.93,3.32,-7.93,3.32,7.3,0.23
8,70.0,7.3,3.63,-7.0,4.16,7.4,0.2
8,80.0,5.48,2.61,-5.29,2.98,7.8,0.38
8,90.0,4.74,2.75,-3.64,4.1,8.26,0.56
8,100.0,1.88,2.16,1.88,2.16,7.98,0.36
9,0.0,12.87,1.07,-12.87,1.07,6.71,0.25
9,10.0,11.23,1.37,-11.23,1.37,6.63,0.22
9,20.0,10.97,2.01,-10.97,2.01,6.66,0.25
9,30.0,9.38,3.44,-9.38,3.44,7.04,0.31
9,40.0,8.75,2.32,-8.75,2.32,7.08,0.39
9,50.0,9.55,3.06,-9.55,3.06,6.97,0.23
9,60.0,8.02,3.27,-8.02,3.27,7.22,0.19
9,70.0,7.84,3.46,-7.5,4.15,7.31,0.25
9,80.0,5.51,3.1,-5.51,3.1,7.55,0.21
9,90.0,2.59,1.47,-2.38,1.79,7.87,0.35
9,100.0,2.58,2.39,2.58,2.39,7.66,0.29
