alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,24.73,0.93,-24.73,0.93,87.15,5.34
10.0,23.22,1.97,-23.22,1.97,88.44,7.82
20.0,21.96,2.63,-21.96,2.63,89.43,7.37
30.0,20.82,3.49,-20.82,3.49,88.63,4.06
40.0,18.2,3.18,-18.2,3.18,88.16,4.89
50.0,17.11,3.69,-17.11,3.69,88.45,4.71
60.0,14.03,3.97,-14.03,3.97,89.4,4.2
70.0,11.83,4.75,-11.82,4.79,89.39,5.18
80.0,10.24,2.76,-8.57,6.25,87.49,4.19
90.0,5.93,2.47,-4.49,4.59,88.48,5.5
100.0,1.81,2.45,1.81,2.45,89.29,4.73
