negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
g,0.0,1.07,0.15,-1.07,0.15,0.28,0.01
g,10.0,1.41,0.39,-1.41,0.39,0.51,0.01
g,20.0,2.63,1.7,-2.63,1.71,0.68,0.02
g,30.0,15.03,6.36,-14.99,6.45,0.79,0.02
g,40.0,10.15,4.81,-10.15,4.81,0.86,0.02
g,50.0,13.29,4.08,-13.29,4.08,0.94,0.02
g,60.0,13.6,3.98,-13.6,3.98,1.03,0.04
g,70.0,10.84,4.06,-10.84,4.06,1.09,0.04
g,80.0,9.61,4.06,-9.61,4.06,1.17,0.03
g,90.0,7.42,3.05,-7.08,3.77,1.21,0.04
g,100.0,2.2,3.45,2.2,3.45,1.22,0.04
p,0.0,0.16,0.06,-0.16,0.06,0.2,0.01
p,10.0,0.39,0.24,0.37,0.28,0.48,0.01
p,20.0,0.95,0.54,-0.32,1.05,0.64,0.02
p,30.0,11.12,5.17,-11.12,5.17,0.75,0.02
p,40.0,10.82,4.35,-10.82,4.35,0.83,0.03
p,50.0,14.04,4.24,-14.04,4.24,0.92,0.03
p,60.0,13.0,4.25,-13.0,4.25,1.0,0.03
p,70.0,11.16,3.35,-11.16,3.35,1.06,0.03
p,80.0,8.2,3.68,-8.02,4.07,1.14,0.04
p,90.0,7.67,2.97,-7.37,3.65,1.19,0.05
p,100.0,1.98,3.3,1.98,3.3,1.23,0.03
