negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
g,0.0,97.82,1.75,-97.82,1.75,0.65,0.03
g,10.0,88.15,1.63,-88.15,1.63,0.66,0.03
g,20.0,78.08,1.99,-78.08,1.99,0.64,0.03
g,30.0,68.75,1.5,-68.75,1.5,0.65,0.02
g,40.0,58.44,1.58,-58.44,1.58,0.64,0.02
g,50.0,48.83,1.84,-48.83,1.84,0.65,0.02
g,60.0,38.57,1.82,-38.57,1.82,0.64,0.02
g,70.0,29.23,1.18,-29.23,1.18,0.65,0.03
g,80.0,19.42,1.3,-19.42,1.3,0.65,0.03
g,90.0,9.17,1.43,-9.17,1.43,0.65,0.02
g,100.0,1.14,1.58,1.14,1.58,0.65,0.03
p,0.0,99.63,0.78,-99.63,0.78,0.7,0.05
p,10.0,89.7,0.71,-89.7,0.71,0.74,0.04
p,20.0,79.79,0.47,-79.79,0.47,0.74,0.04
p,30.0,69.49,1.11,-69.49,1.11,0.71,0.03
p,40.0,59.67,0.65,-59.67,0.65,0.74,0.03
p,50.0,49.62,1.0,-49.62,1.0,0.72,0.03
p,60.0,39.37,1.23,-39.37,1.23,0.74,0.03
p,70.0,29.44,1.25,-29.44,1.25,0.72,0.03
p,80.0,19.5,1.1,-19.5,1.1,0.73,0.03
p,90.0,8.55,2.1,-8.55,2.1,0.72,0.03
p,100.0,0.54,1.14,0.54,1.14,0.73,0.04
