negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
g,0.0,1.43,0.05,-1.43,0.05,31.34,0.52
g,10.0,2.26,0.77,-2.26,0.77,32.28,0.79
g,20.0,3.16,1.29,-3.16,1.29,32.01,0.9
g,30.0,5.33,1.55,-5.33,1.55,31.88,0.78
g,40.0,5.19,2.24,-5.1,2.45,31.66,0.96
g,50.0,6.3,2.68,-6.3,2.68,31.76,1.1
g,60.0,7.87,3.52,-7.83,3.6,31.52,0.9
g,70.0,7.49,4.3,-7.33,4.56,32.06,0.91
g,80.0,9.38,3.93,-9.2,4.34,31.91,1.43
g,90.0,6.02,3.08,-5.74,3.58,31.37,0.87
g,100.0,1.42,1.81,1.42,1.81,31.29,0.83
p,0.0,1.64,0.16,-1.64,0.16,31.9,0.8
p,10.0,3.14,0.79,-3.14,0.79,31.05,0.9
p,20.0,4.25,1.47,-4.25,1.47,31.7,0.65
p,30.0,4.88,1.79,-4.88,1.79,31.76,0.84
p,40.0,5.36,2.34,-5.3,2.47,31.36,0.7
p,50.0,6.79,2.76,-6.79,2.76,31.2,0.98
p,60.0,8.65,3.5,-8.65,3.5,31.78,1.13
p,70.0,8.29,3.42,-8.23,3.56,31.61,1.03
p,80.0,10.35,4.44,-10.35,4.44,31.21,1.0
p,90.0,6.02,3.21,-5.16,4.46,31.02,0.81
p,100.0,1.05,1.82,1.05,1.82,30.66,1.15
