negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
g,0.0,0.54,2.11,-0.54,2.11,0.12,0.02
g,10.0,0.9,0.64,-0.71,0.84,0.13,0.03
g,20.0,1.51,1.08,-1.3,1.32,0.11,0.0
g,30.0,2.55,3.04,-1.7,3.58,0.13,0.02
g,40.0,3.27,1.96,-1.1,3.65,0.12,0.02
g,50.0,3.74,3.31,-2.95,4.04,0.16,0.02
g,60.0,5.78,8.02,0.78,9.85,0.12,0.02
g,70.0,5.72,6.82,-0.31,8.9,0.11,0.0
g,80.0,7.25,10.94,-0.14,13.12,0.14,0.02
g,90.0,5.24,2.8,-4.29,4.11,0.16,0.01
g,100.0,0.19,0.65,0.19,0.65,0.16,0.01
p,0.0,0.0,0.0,0.0,0.0,0.12,0.02
p,10.0,0.96,0.67,-0.47,1.08,0.15,0.02
p,20.0,2.05,2.65,-0.65,3.29,0.14,0.01
p,30.0,1.85,1.24,-1.41,1.73,0.14,0.01
p,40.0,3.44,3.88,-3.13,4.13,0.15,0.01
p,50.0,3.42,2.54,-1.49,3.99,0.15,0.02
p,60.0,4.38,3.08,-3.54,4.01,0.14,0.01
p,70.0,4.79,4.16,-2.3,5.91,0.14,0.01
p,80.0,4.55,2.3,-2.61,4.39,0.15,0.01
p,90.0,4.53,3.41,-3.26,4.64,0.14,0.02
p,100.0,0.5,1.38,0.5,1.38,0.14,0.01
