negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
g,0.0,0.65,0.27,-0.65,0.27,0.14,0.01
g,10.0,1.11,0.69,-0.92,0.93,0.14,0.01
g,20.0,1.4,0.92,-0.87,1.43,0.14,0.0
g,30.0,1.73,1.2,-0.75,1.97,0.14,0.0
g,40.0,2.15,1.51,-0.61,2.56,0.14,0.01
g,50.0,1.87,1.38,-0.55,2.26,0.14,0.01
g,60.0,3.16,2.35,-0.69,3.88,0.14,0.01
g,70.0,3.1,1.93,-0.37,3.64,0.14,0.01
g,80.0,2.54,2.34,-0.34,3.44,0.14,0.0
g,90.0,3.88,2.87,-0.51,4.8,0.14,0.01
g,100.0,1.62,2.45,1.62,2.45,0.14,0.01
p,0.0,0.63,0.11,-0.63,0.11,0.14,0.01
p,10.0,0.78,0.44,-0.55,0.71,0.14,0.01
p,20.0,1.1,0.72,-0.55,1.19,0.14,0.0
p,30.0,1.26,0.85,-0.45,1.45,0.14,0.0
p,40.0,2.16,1.6,-0.64,2.61,0.14,0.0
p,50.0,2.21,1.72,-0.69,2.72,0.14,0.0
p,60.0,2.94,2.12,-0.44,3.6,0.14,0.0
p,70.0,2.81,2.22,-0.1,3.58,0.14,0.01
p,80.0,3.2,2.99,-0.56,4.34,0.14,0.01
p,90.0,2.91,2.09,-0.54,3.54,0.14,0.01
p,100.0,2.2,2.66,2.2,2.66,0.14,0.01
