negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
g,0.0,4.09,19.58,-4.09,19.58,0.12,0.0
g,10.0,7.75,1.74,7.75,1.74,0.12,0.0
g,20.0,15.14,3.32,15.14,3.32,0.12,0.0
g,30.0,23.19,5.41,23.19,5.41,0.12,0.0
g,40.0,29.37,6.23,29.37,6.23,0.12,0.0
g,50.0,35.84,13.2,35.84,13.2,0.12,0.01
g,60.0,45.84,11.93,45.84,11.93,0.12,0.0
g,70.0,53.38,10.58,53.38,10.58,0.12,0.0
g,80.0,60.13,12.68,60.13,12.68,0.12,0.0
g,90.0,67.7,14.16,67.7,14.16,0.12,0.0
g,100.0,75.95,18.13,75.95,18.13,0.12,0.0
p,0.0,4.38,19.52,-4.38,19.52,0.12,0.0
p,10.0,7.73,1.9,7.73,1.9,0.12,0.0
p,20.0,18.15,13.29,11.75,19.18,0.12,0.0
p,30.0,21.62,6.69,21.62,6.69,0.12,0.01
p,40.0,31.59,6.11,31.59,6.11,0.12,0.0
p,50.0,40.71,8.93,40.71,8.93,0.12,0.0
p,60.0,45.35,11.29,45.35,11.29,0.12,0.0
p,70.0,50.24,13.81,49.22,17.09,0.12,0.0
p,80.0,56.84,17.23,56.84,17.23,0.12,0.01
p,90.0,67.51,15.28,67.51,15.28,0.12,0.0
p,100.0,75.08,17.17,75.08,17.17,0.11,0.0
