negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
g,0.0,22.75,0.54,-22.75,0.54,81.94,2.46
g,10.0,20.39,0.75,-20.39,0.75,82.63,2.7
g,20.0,18.51,1.31,-18.51,1.31,82.78,2.64
g,30.0,15.65,1.56,-15.65,1.56,82.37,2.57
g,40.0,13.73,2.04,-13.73,2.04,82.74,2.8
g,50.0,10.69,2.58,-10.69,2.58,82.42,3.02
g,60.0,9.67,3.5,-9.67,3.5,82.23,2.14
g,70.0,5.36,4.17,-4.87,4.73,80.2,2.39
g,80.0,6.81,4.69,-5.65,6.04,80.88,2.49
g,90.0,5.72,3.61,-3.42,5.83,81.05,2.4
g,100.0,1.29,2.28,1.29,2.28,81.61,3.48
p,0.0,22.44,0.63,-22.44,0.63,81.62,3.63
p,10.0,20.04,0.88,-20.04,0.88,82.09,2.89
p,20.0,17.82,1.15,-17.82,1.15,82.54,2.5
p,30.0,14.54,1.26,-14.54,1.26,83.81,2.19
p,40.0,13.05,2.86,-12.76,3.98,84.39,3.07
p,50.0,9.75,2.72,-9.75,2.72,84.48,2.29
p,60.0,7.34,3.24,-7.34,3.24,84.55,2.75
p,70.0,4.9,3.82,-4.48,4.3,85.12,2.19
p,80.0,5.63,4.26,-3.55,6.1,84.46,2.12
p,90.0,4.87,3.47,-1.66,5.74,82.7,2.7
p,100.0,2.02,2.65,2.02,2.65,83.7,3.19
