negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
g,0.0,2.17,0.36,-2.17,0.36,2.67,0.28
g,10.0,5.65,0.8,-5.65,0.8,2.42,0.36
g,20.0,7.95,1.27,-7.95,1.27,2.51,0.29
g,30.0,9.86,2.09,-9.86,2.09,2.39,0.18
g,40.0,9.94,1.42,-9.94,1.42,2.6,0.3
g,50.0,11.71,1.85,-11.71,1.85,2.54,0.22
g,60.0,13.52,3.07,-13.52,3.07,2.56,0.29
g,70.0,15.52,3.24,-15.52,3.24,2.44,0.31
g,80.0,15.02,3.93,-15.02,3.93,2.28,0.2
g,90.0,9.3,0.98,-9.3,0.98,2.32,0.25
g,100.0,0.27,0.85,0.27,0.85,2.31,0.21
p,0.0,12.92,2.9,-12.92,2.9,2.97,0.25
p,10.0,11.3,1.82,-11.3,1.82,2.69,0.29
p,20.0,12.01,1.38,-12.01,1.38,2.56,0.33
p,30.0,10.21,1.71,-10.21,1.71,2.44,0.3
p,40.0,10.79,1.78,-10.79,1.78,2.41,0.28
p,50.0,12.29,2.55,-12.29,2.55,2.59,0.26
p,60.0,13.54,2.51,-13.54,2.51,2.59,0.37
p,70.0,15.01,2.41,-15.01,2.41,2.41,0.3
p,80.0,15.18,2.81,-15.18,2.81,2.58,0.3
p,90.0,8.85,1.31,-8.85,1.31,2.43,0.23
p,100.0,0.27,0.5,0.27,0.5,2.56,0.32
