negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
p,0.0,0.21,0.55,-0.21,0.55,28.01,1.11
p,10.0,1.01,0.88,-0.5,1.24,27.13,0.66
p,20.0,1.96,1.6,-0.37,2.5,28.11,1.09
p,30.0,3.63,5.53,0.82,6.57,28.39,1.06
p,40.0,3.39,2.15,-1.5,3.73,29.06,1.03
p,50.0,3.51,1.7,-2.35,3.1,28.58,1.02
p,60.0,8.58,13.1,3.03,15.37,28.98,1.33
p,70.0,8.47,11.43,2.22,14.06,28.43,0.92
p,80.0,3.64,2.76,-2.54,3.79,28.95,1.0
p,90.0,4.72,4.49,-0.86,6.46,29.02,0.87
p,100.0,9.52,25.45,9.52,25.45,29.13,1.48
g,0.0,0.47,0.66,-0.47,0.66,28.49,0.52
g,10.0,0.98,0.79,-0.58,1.12,29.14,1.15
g,20.0,2.97,2.64,-0.31,3.96,28.56,0.88
g,30.0,2.6,3.72,-0.93,4.44,29.54,0.78
g,40.0,4.42,5.96,-0.74,7.38,29.41,1.11
g,50.0,4.4,5.82,0.14,7.3,29.45,1.08
g,60.0,4.05,4.46,-1.39,5.86,29.45,1.29
g,70.0,7.56,13.77,1.3,15.65,29.49,0.98
g,80.0,8.04,13.33,0.39,15.56,29.75,1.49
g,90.0,7.95,16.56,2.21,18.24,28.88,1.01
g,100.0,5.44,8.85,5.44,8.85,29.37,1.34
