negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
1,0.0,24.91,42.25,-24.91,42.25,0.61,0.01
1,10.0,48.31,40.1,-40.55,47.94,0.62,0.02
1,20.0,49.16,30.09,-33.14,47.15,0.63,0.02
1,30.0,51.13,21.8,-27.29,48.43,0.68,0.13
1,40.0,51.57,11.76,-25.26,46.47,0.63,0.01
1,50.0,48.06,6.83,-39.96,27.56,0.63,0.01
1,60.0,42.68,6.26,-24.56,35.46,0.62,0.02
1,70.0,35.42,13.31,-12.63,35.67,0.62,0.02
1,80.0,36.52,25.3,9.9,43.31,0.63,0.03
1,90.0,19.31,25.15,1.67,31.66,0.63,0.02
1,100.0,30.41,44.55,30.41,44.55,0.63,0.02
3,0.0,13.37,28.03,-13.37,28.03,0.63,0.02
3,10.0,28.76,34.48,-16.59,41.73,0.63,0.02
3,20.0,35.18,28.77,-12.97,43.55,0.64,0.05
3,30.0,43.88,21.99,-18.08,45.63,0.64,0.1
3,40.0,44.03,16.03,-15.26,44.3,0.63,0.01
3,50.0,46.4,8.65,-26.95,38.75,0.62,0.01
3,60.0,40.42,8.57,-20.38,35.94,0.62,0.02
3,70.0,43.22,16.44,14.42,43.94,0.63,0.03
3,80.0,29.98,22.43,-0.38,37.44,0.63,0.02
3,90.0,13.12,15.3,-6.08,19.22,0.64,0.03
3,100.0,15.09,34.71,15.09,34.71,0.63,0.01
6,0.0,48.54,45.53,-48.54,45.53,0.48,0.01
6,10.0,58.09,39.76,-56.5,41.99,0.5,0.03
6,20.0,57.77,30.0,-49.07,42.77,0.49,0.02
6,30.0,53.79,24.24,-42.93,40.48,0.49,0.02
6,40.0,52.77,12.16,-33.68,42.41,0.48,0.01
6,50.0,48.07,9.52,-39.96,28.37,0.48,0.01
6,60.0,41.5,11.16,-12.95,40.98,0.49,0.02
6,70.0,32.99,10.4,-17.48,29.85,0.49,0.02
6,80.0,19.55,2.4,-19.55,2.4,0.49,0.02
6,90.0,13.06,14.39,-5.41,18.67,0.49,0.02
6,100.0,14.13,32.51,14.13,32.51,0.49,0.02
7,0.0,92.36,25.93,-92.36,25.93,0.36,0.02
7,10.0,86.16,15.41,-86.16,15.41,0.35,0.01
7,20.0,80.06,0.04,-80.06,0.04,0.35,0.01
7,30.0,70.05,0.04,-70.05,0.04,0.35,0.01
7,40.0,57.71,11.52,-57.61,12.02,0.35,0.01
7,50.0,50.04,0.03,-50.04,0.03,0.34,0.01
7,60.0,38.75,6.46,-38.18,9.24,0.35,0.01
7,70.0,31.42,6.7,-26.28,18.48,0.35,0.01
7,80.0,21.51,7.11,-17.0,14.97,0.34,0.01
7,90.0,16.53,18.98,-1.21,25.14,0.35,0.01
7,100.0,4.0,19.6,4.0,19.6,0.35,0.02
8,0.0,56.94,43.59,-56.94,43.59,0.42,0.02
8,10.0,49.08,35.47,-47.6,37.43,0.43,0.02
8,20.0,52.21,31.13,-41.69,44.24,0.42,0.01
8,30.0,48.32,28.28,-42.62,36.3,0.42,0.02
8,40.0,48.03,18.77,-37.13,35.79,0.42,0.01
8,50.0,42.35,14.19,-30.67,32.47,0.42,0.01
8,60.0,42.18,11.5,-5.91,43.32,0.43,0.02
8,70.0,32.13,10.61,-18.33,28.44,0.42,0.02
8,80.0,28.5,19.58,-5.17,34.19,0.47,0.09
8,90.0,13.23,15.57,-6.06,19.51,0.42,0.06
8,100.0,15.82,36.24,15.82,36.24,0.41,0.01
9,0.0,5.38,2.8,-5.38,2.8,0.27,0.02
9,10.0,4.16,2.74,3.25,3.78,0.28,0.02
9,20.0,12.54,5.01,12.41,5.32,0.28,0.02
9,30.0,22.89,3.56,22.89,3.56,0.28,0.02
9,40.0,29.03,6.43,29.03,6.43,0.27,0.02
9,50.0,38.89,7.37,38.89,7.37,0.27,0.01
9,60.0,42.81,9.6,42.81,9.6,0.26,0.01
9,70.0,49.55,13.87,47.14,20.62,0.27,0.02
9,80.0,50.51,21.45,43.16,33.89,0.27,0.01
9,90.0,32.07,26.16,21.69,35.25,0.27,0.01
9,100.0,1.82,8.92,1.82,8.92,0.27,0.01
10,0.0,0.06,0.12,-0.06,0.12,0.63,0.01
10,10.0,9.73,0.64,9.73,0.64,0.65,0.02
10,20.0,19.25,1.72,19.25,1.72,0.65,0.02
10,30.0,28.71,2.72,28.71,2.72,0.63,0.02
10,40.0,38.28,2.69,38.28,2.69,0.64,0.02
