negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
1,0.0,0.01,0.02,-0.01,0.02,0.98,0.02
1,10.0,2.49,1.03,2.49,1.03,1.16,0.14
1,20.0,2.94,2.29,0.63,3.68,1.09,0.09
1,30.0,5.18,4.7,-3.4,6.11,1.12,0.1
1,40.0,11.57,6.87,-10.9,7.88,1.12,0.09
1,50.0,13.94,10.28,-13.77,10.5,1.16,0.11
1,60.0,16.18,10.77,-14.79,12.61,1.08,0.11
1,70.0,16.43,10.77,-16.19,11.12,1.03,0.07
1,80.0,15.38,6.71,-14.42,8.58,1.15,0.04
1,90.0,9.46,3.12,-7.81,6.2,1.17,0.03
1,100.0,2.37,4.15,2.37,4.15,1.11,0.07
3,0.0,0.05,0.05,-0.05,0.05,1.06,0.05
3,10.0,1.44,0.98,0.83,1.53,1.06,0.07
3,20.0,2.34,1.82,-1.82,2.34,1.25,0.14
3,30.0,9.5,5.15,-9.26,5.57,1.28,0.11
3,40.0,13.07,8.05,-13.05,8.08,1.21,0.14
3,50.0,17.65,11.74,-17.35,12.18,1.18,0.19
3,60.0,20.85,11.23,-20.62,11.63,0.96,0.04
3,70.0,17.95,9.88,-17.66,10.39,0.97,0.04
3,80.0,15.32,6.1,-15.32,6.1,0.97,0.04
3,90.0,8.81,3.46,-6.06,7.27,0.97,0.03
3,100.0,3.61,7.1,3.61,7.1,0.99,0.03
6,0.0,0.28,0.14,-0.28,0.14,0.72,0.03
6,10.0,5.42,0.8,5.42,0.8,0.73,0.03
6,20.0,6.48,1.94,6.48,1.94,0.69,0.04
6,30.0,4.42,3.36,3.84,4.02,0.69,0.03
6,40.0,5.04,2.32,2.24,5.08,0.7,0.03
6,50.0,7.2,4.51,-2.1,8.23,0.69,0.02
6,60.0,8.85,7.0,-6.53,9.2,0.7,0.03
6,70.0,10.96,9.29,-9.89,10.42,0.71,0.03
6,80.0,13.61,5.61,-8.42,12.07,0.72,0.03
6,90.0,8.03,3.25,-4.55,7.37,0.72,0.03
6,100.0,5.22,8.16,5.22,8.16,0.69,0.03
7,0.0,7.75,1.16,-7.75,1.16,0.48,0.03
7,10.0,4.82,1.73,-4.82,1.73,0.47,0.03
7,20.0,4.02,2.82,-3.92,2.95,0.46,0.02
7,30.0,4.08,3.74,-3.41,4.36,0.47,0.03
7,40.0,8.38,4.9,-8.27,5.08,0.48,0.04
7,50.0,9.21,7.3,-8.93,7.64,0.49,0.04
7,60.0,10.94,6.97,-9.93,8.34,0.5,0.04
