negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
1,0.0,1.33,0.02,-1.33,0.02,4.79,0.18
1,10.0,2.12,0.57,-2.12,0.57,4.81,0.22
1,20.0,2.51,0.89,-2.5,0.93,4.77,0.22
1,30.0,2.61,1.35,-2.36,1.75,4.98,0.2
1,40.0,2.69,1.48,-2.49,1.81,5.1,0.18
1,50.0,3.55,2.18,-3.33,2.5,5.34,0.2
1,60.0,3.96,2.31,-3.66,2.77,5.36,0.23
1,70.0,4.36,2.52,-3.74,3.37,5.45,0.16
1,80.0,4.58,3.06,-3.65,4.12,5.69,0.23
1,90.0,4.82,3.07,-3.92,4.16,5.98,0.35
1,100.0,2.77,3.2,2.77,3.2,6.04,0.34
3,0.0,1.83,0.17,-1.83,0.17,5.39,0.32
3,10.0,3.02,0.71,-3.02,0.71,5.33,0.27
3,20.0,4.47,1.06,-4.47,1.06,5.29,0.28
3,30.0,5.1,1.4,-5.1,1.4,5.28,0.23
3,40.0,3.84,1.67,-3.84,1.67,5.2,0.26
3,50.0,4.31,2.45,-4.2,2.64,5.52,0.23
3,60.0,5.7,2.99,-5.7,2.99,5.51,0.33
3,70.0,7.25,3.62,-7.25,3.62,5.73,0.25
3,80.0,5.96,3.73,-5.96,3.73,5.94,0.28
3,90.0,6.26,3.24,-5.56,4.35,6.07,0.42
3,100.0,0.66,1.2,0.66,1.2,6.07,0.32
6,0.0,1.78,0.05,-1.78,0.05,5.28,0.2
6,10.0,2.12,0.65,-2.12,0.65,5.29,0.18
6,20.0,2.2,1.15,-2.18,1.18,5.26,0.21
6,30.0,2.65,1.54,-2.15,2.19,5.52,0.26
6,40.0,2.22,1.85,-1.61,2.4,5.54,0.24
6,50.0,2.69,1.81,-1.59,2.82,5.67,0.27
6,60.0,3.42,2.7,-2.2,3.76,5.72,0.27
6,70.0,2.38,1.9,-0.63,2.98,5.79,0.28
6,80.0,3.68,2.93,-0.8,4.64,5.96,0.29
6,90.0,4.27,3.07,0.35,5.25,6.0,0.26
6,100.0,3.93,4.02,3.93,4.02,5.99,0.36
7,0.0,7.23,0.74,-7.23,0.74,6.21,0.2
7,10.0,6.32,1.49,-6.32,1.49,6.32,0.21
7,20.0,5.37,2.42,-5.37,2.42,6.39,0.24
7,30.0,4.17,2.12,-4.13,2.21,6.27,0.25
7,40.0,3.39,2.25,-2.74,3.01,6.37,0.26
7,50.0,3.63,2.28,-1.98,3.81,6.45,0.28
7,60.0,3.46,2.71,-1.29,4.2,6.45,0.25
7,70.0,3.83,3.28,-0.52,5.02,6.39,0.25
7,80.0,4.98,4.05,1.66,6.2,6.54,0.37
7,90.0,5.32,4.33,3.69,5.78,6.49,0.29
7,100.0,7.82,4.68,7.82,4.68,6.46,0.35
8,0.0,9.97,0.93,-9.97,0.93,5.44,0.19
