negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
1,0.0,4.23,0.8,-4.23,0.8,10.63,0.42
1,10.0,1.4,0.65,1.17,1.01,10.24,0.32
1,20.0,1.12,0.5,0.63,1.06,10.86,0.49
1,30.0,2.64,2.0,2.55,2.12,10.96,0.34
1,40.0,3.61,1.73,3.61,1.73,10.85,0.49
1,50.0,4.22,2.35,4.22,2.35,11.02,0.3
1,60.0,8.54,4.09,8.54,4.09,11.71,0.43
1,70.0,10.92,3.81,10.92,3.81,11.88,0.53
1,80.0,16.89,4.78,16.89,4.78,12.23,0.53
1,90.0,30.48,5.89,30.48,5.89,12.21,0.53
1,100.0,59.12,8.74,59.12,8.74,11.53,0.75
3,0.0,6.1,0.8,-6.1,0.8,10.97,0.46
3,10.0,1.73,1.01,-1.63,1.16,10.46,0.36
3,20.0,1.41,1.22,0.26,1.85,10.52,0.46
3,30.0,1.81,1.47,1.81,1.47,10.5,0.45
3,40.0,4.04,2.32,3.95,2.46,10.99,0.45
3,50.0,6.54,2.69,6.54,2.69,11.02,0.38
3,60.0,11.63,3.33,10.65,5.74,11.06,0.44
3,70.0,17.04,5.16,16.39,6.95,11.33,0.54
3,80.0,26.57,10.59,26.48,10.8,10.95,0.62
3,90.0,44.78,10.12,44.78,10.12,10.51,0.71
3,100.0,62.8,9.85,62.8,9.85,10.29,0.83
6,0.0,7.2,2.17,-7.2,2.17,12.12,0.7
6,10.0,1.65,0.96,1.25,1.44,12.26,0.63
6,20.0,1.74,1.26,1.42,1.61,12.38,0.54
6,30.0,3.19,2.31,3.19,2.31,12.56,0.66
6,40.0,5.2,1.74,4.76,2.72,13.09,0.94
6,50.0,8.54,3.08,8.54,3.08,12.79,0.79
6,60.0,11.31,3.21,11.31,3.21,13.22,0.66
6,70.0,16.14,3.47,16.14,3.47,13.11,0.8
6,80.0,26.06,7.08,26.06,7.08,13.42,0.81
6,90.0,43.07,10.98,43.07,10.98,12.77,1.23
6,100.0,64.2,6.72,64.2,6.72,12.13,0.62
7,0.0,8.34,1.52,-8.34,1.52,8.65,0.73
7,10.0,6.1,3.51,-6.1,3.51,8.83,0.7
7,20.0,6.1,3.18,-5.63,3.96,9.2,0.59
7,30.0,4.39,2.51,-3.51,3.64,9.25,0.84
7,40.0,3.32,2.31,0.51,4.02,8.39,0.8
7,50.0,4.56,3.19,4.3,3.54,9.07,0.85
7,60.0,10.77,4.6,10.77,4.6,9.2,0.71
7,70.0,18.96,6.75,18.96,6.75,9.01,0.69
7,80.0,33.09,8.92,33.09,8.92,8.53,0.69
7,90.0,50.26,11.42,50.26,11.42,8.36,0.55
7,100.0,65.76,7.67,65.76,7.67,8.19,0.71
8,0.0,17.62,8.38,-17.62,8.38,11.5,0.93
8,10.0,10.33,7.83,-10.23,7.96,11.37,0.72
8,20.0,5.42,5.22,-4.92,5.69,11.67,0.77
8,30.0,3.83,2.78,-2.58,3.97,11.61,0.74
8,40.0,3.28,2.35,0.86,3.94,11.94,0.65
8,50.0,5.36,4.45,3.82,5.83,11.91,0.53
8,60.0,8.83,4.16,8.58,4.65,11.89,0.65
8,70.0,14.46,5.76,14.46,5.76,12.22,0.63
8,80.0,27.05,7.28,27.05,7.28,11.92,0.78
8,90.0,44.44,12.11,44.44,12.11,11.33,0.88
8,100.0,62.32,9.71,62.32,9.71,10.52,0.86
9,0.0,6.4,0.0,-6.4,0.0,6.16,0.71
9,10.0,1.1,0.09,0.03,1.11,6.09,0.46
9,20.0,1.77,1.26,1.45,1.62,5.92,0.51
9,30.0,3.29,1.82,3.29,1.82,6.39,0.51
9,40.0,4.21,3.25,4.21,3.25,6.55,0.6
9,50.0,4.88,3.2,4.88,3.2,6.57,0.61
9,60.0,8.14,4.4,8.14,4.4,6.56,0.5
9,70.0,12.35,4.48,12.35,4.48,7.03,0.76
9,80.0,20.36,4.95,20.36,4.95,7.06,0.6
9,90.0,32.99,6.24,32.99,6.24,7.21,0.59
9,100.0,62.42,10.49,62.42,10.49,6.57,0.6
10,0.0,4.23,0.8,-4.23,0.8,10.37,0.4
10,10.0,1.15,0.15,0.47,1.07,9.59,0.39
10,20.0,1.58,1.29,0.89,1.83,10.04,0.36
10,30.0,2.6,1.41,2.6,1.41,9.99,0.7
10,40.0,4.09,1.85,4.09,1.85,10.3,0.37
10,50.0,4.88,2.08,4.68,2.51,11.01,0.5
10,60.0,6.77,2.98,6.77,2.98,10.91,0.56
10,70.0,10.88,2.82,10.88,2.82,10.76,0.39
10,80.0,18.38,4.54,18.38,4.54,11.2,0.47
10,90.0,29.38,4.96,29.38,4.96,11.5,0.41
10,100.0,61.0,10.98,61.0,10.98,10.82,0.93
11,0.0,18.47,1.53,-18.47,1.53,11.14,0.4
11,10.0,13.74,1.99,-13.74,1.99,10.57,0.29
11,20.0,11.48,2.27,-11.48,2.27,10.74,0.32
11,30.0,7.59,2.22,-7.59,2.22,11.15,0.57
11,40.0,3.57,2.7,-3.05,3.28,10.93,0.51
11,50.0,4.03,3.96,3.83,4.16,10.97,0.48
11,60.0,9.82,4.73,9.82,4.73,11.42,0.45
11,70.0,18.73,4.2,18.73,4.2,11.61,0.48
11,80.0,31.21,5.86,31.21,5.86,11.38,0.66
11,90.0,49.89,10.93,49.89,10.93,10.63,0.73
11,100.0,62.84,9.86,62.84,9.86,10.59,0.73
12,0.0,6.39,0.68,-6.39,0.68,11.12,0.43
12,10.0,3.16,1.33,-2.96,1.73,10.94,0.45
12,20.0,2.4,1.63,-0.87,2.77,10.72,0.46
12,30.0,1.42,1.1,-0.04,1.79,10.87,0.53
12,40.0,2.75,2.37,2.17,2.91,10.85,0.39
12,50.0,7.06,3.0,7.06,3.0,11.05,0.37
12,60.0,11.26,2.97,11.26,2.97,11.09,0.73
12,70.0,18.3,4.12,18.3,4.12,11.49,0.45
12,80.0,28.64,7.5,28.64,7.5,11.4,0.56
12,90.0,52.04,12.11,52.04,12.11,10.79,1.12
12,100.0,64.67,8.12,64.67,8.12,10.83,0.78
13,0.0,6.4,0.0,-6.4,0.0,13.6,0.62
13,10.0,1.14,0.12,0.43,1.06,12.9,0.77
13,20.0,2.35,1.57,2.04,1.96,12.73,0.63
13,30.0,2.45,1.37,2.08,1.89,12.86,0.67
13,40.0,3.92,2.5,3.89,2.55,12.99,0.57
13,50.0,4.84,1.95,4.84,1.95,13.46,0.5
13,60.0,7.79,3.06,7.79,3.06,13.5,0.45
13,70.0,12.42,3.88,12.42,3.88,13.8,0.65
13,80.0,17.99,4.05,17.99,4.05,14.08,0.54
13,90.0,34.1,6.12,34.1,6.12,14.9,0.72
13,100.0,65.92,6.01,65.92,6.01,13.21,0.8
14,0.0,18.2,0.88,-18.2,0.88,5.4,0.28
14,10.0,2.05,1.58,-1.12,2.33,5.25,0.34
14,20.0,3.15,1.95,2.19,2.98,5.61,0.6
14,30.0,6.46,3.92,6.25,4.24,5.64,0.48
14,40.0,8.64,3.91,8.64,3.91,5.04,0.59
14,50.0,13.88,6.67,13.88,6.67,5.53,0.58
14,60.0,15.95,4.31,15.95,4.31,5.22,0.67
14,70.0,23.01,5.87,23.01,5.87,5.92,0.56
14,80.0,34.37,8.24,34.37,8.24,5.86,0.53
14,90.0,51.63,9.2,51.63,9.2,5.01,0.34
14,100.0,67.35,8.35,67.35,8.35,4.91,0.47
15,0.0,6.4,0.0,-6.4,0.0,12.36,0.64
15,10.0,1.17,0.42,-0.27,1.21,11.96,0.63
15,20.0,1.57,1.1,1.21,1.49,11.43,0.69
15,30.0,2.14,1.65,1.96,1.86,12.07,0.82
15,40.0,3.57,2.11,3.54,2.16,12.06,0.6
15,50.0,4.14,1.78,4.14,1.78,12.52,0.61
15,60.0,6.88,2.59,6.88,2.59,12.66,0.64
15,70.0,8.13,3.74,8.13,3.74,12.12,0.89
15,80.0,14.86,4.64,14.86,4.64,12.32,0.64
15,90.0,28.86,5.92,28.86,5.92,12.31,0.73
15,100.0,60.82,9.62,60.82,9.62,11.47,0.81
16,0.0,11.13,0.57,-11.13,0.57,9.33,0.74
16,10.0,1.22,0.49,0.33,1.27,8.85,0.56
16,20.0,1.83,1.33,1.36,1.81,8.84,0.61
16,30.0,1.85,1.29,1.28,1.86,9.35,0.57
16,40.0,3.04,2.4,2.82,2.65,9.42,0.64
16,50.0,4.56,3.34,4.5,3.41,9.47,0.59
16,60.0,6.54,2.52,6.45,2.75,9.74,0.69
16,70.0,11.48,3.28,11.48,3.28,9.8,0.78
16,80.0,17.93,5.56,17.93,5.56,9.75,0.66
16,90.0,31.93,5.79,31.93,5.79,9.95,0.71
16,100.0,64.03,9.87,64.03,9.87,9.19,0.61
17,0.0,9.09,0.81,-9.09,0.81,5.13,0.52
17,10.0,1.3,0.59,-0.6,1.29,5.22,0.58
17,20.0,2.9,2.27,1.31,3.44,4.91,0.51
17,30.0,3.24,2.27,2.93,2.66,5.17,0.43
17,40.0,6.24,3.34,6.23,3.37,5.41,0.71
17,50.0,8.98,4.96,8.85,5.19,5.36,0.39
17,60.0,11.17,4.85,11.17,4.85,5.32,0.66
17,70.0,18.43,6.08,18.43,6.08,5.78,0.48
17,80.0,27.97,7.17,27.97,7.17,5.24,0.41
17,90.0,40.26,6.83,40.26,6.83,5.05,0.47
17,100.0,65.14,8.26,65.14,8.26,5.48,0.53
18,0.0,4.53,1.05,-4.53,1.05,10.09,0.53
18,10.0,1.09,0.15,0.02,1.1,9.52,0.41
18,20.0,1.16,0.76,-0.04,1.38,10.14,0.51
18,30.0,2.03,1.67,1.77,1.95,10.1,0.43
18,40.0,3.27,2.2,3.15,2.36,10.34,0.36
18,50.0,6.15,3.53,6.15,3.53,10.74,0.47
18,60.0,6.37,3.13,6.37,3.13,10.69,0.42
18,70.0,11.04,3.08,11.04,3.08,11.18,0.33
18,80.0,17.56,3.33,17.56,3.33,11.24,0.6
18,90.0,31.71,5.94,31.71,5.94,11.17,0.45
18,100.0,65.54,7.94,65.54,7.94,10.86,0.57
20,0.0,3.94,0.0,-3.94,0.0,10.02,0.52
20,10.0,1.12,0.15,0.2,1.11,9.46,0.3
20,20.0,1.17,0.84,0.59,1.32,9.85,0.48
20,30.0,2.79,2.17,2.7,2.28,9.73,0.35
20,40.0,3.3,1.95,3.3,1.95,9.84,0.43
20,50.0,3.83,2.81,3.78,2.88,9.77,0.44
20,60.0,6.9,2.77,6.9,2.77,10.89,0.54
20,70.0,9.78,3.55,9.78,3.55,10.78,0.52
20,80.0,15.72,4.55,15.72,4.55,11.51,0.61
20,90.0,32.4,4.0,32.4,4.0,11.22,0.5
20,100.0,68.33,7.66,68.33,7.66,10.22,0.9
24,0.0,4.23,0.8,-4.23,0.8,10.76,0.58
24,10.0,1.23,0.1,1.0,0.72,9.87,0.47
24,20.0,1.33,1.02,0.88,1.42,10.16,0.47
24,30.0,1.66,1.03,1.57,1.16,10.0,0.42
24,40.0,2.69,1.62,2.6,1.77,10.7,0.33
24,50.0,3.95,2.0,3.9,2.1,11.1,0.42
24,60.0,6.72,3.37,6.72,3.37,11.34,0.6
24,70.0,9.8,3.94,9.8,3.94,11.07,0.43
24,80.0,14.72,5.29,14.72,5.29,11.3,0.41
24,90.0,28.36,5.61,28.36,5.61,11.14,0.48
24,100.0,63.95,10.19,63.95,10.19,10.28,0.82
