negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
1,0.0,0.0,0.0,0.0,0.0,0.1,0.02
1,10.0,0.62,0.48,0.02,0.79,0.12,0.0
1,20.0,0.93,0.73,-0.01,1.18,0.12,0.01
1,30.0,1.25,0.93,-0.32,1.52,0.12,0.0
1,40.0,1.96,1.36,-0.23,2.37,0.09,0.01
1,50.0,1.5,1.21,0.12,1.92,0.09,0.01
1,60.0,2.67,2.02,-0.29,3.34,0.09,0.01
1,70.0,2.05,1.76,-0.26,2.69,0.1,0.01
1,80.0,2.45,2.05,-0.23,3.19,0.09,0.01
1,90.0,2.42,1.3,-1.06,2.53,0.09,0.01
1,100.0,1.58,2.08,1.58,2.08,0.09,0.0
3,0.0,0.26,0.13,-0.26,0.13,0.09,0.01
3,10.0,0.53,0.49,-0.41,0.59,0.09,0.0
3,20.0,0.9,0.64,-0.22,1.09,0.09,0.01
3,30.0,1.13,0.97,-0.07,1.49,0.09,0.01
3,40.0,1.7,1.4,-0.25,2.19,0.1,0.01
3,50.0,1.62,1.22,-0.46,1.97,0.1,0.02
3,60.0,2.32,1.62,-0.5,2.79,0.1,0.01
3,70.0,2.33,1.61,-0.1,2.83,0.1,0.01
3,80.0,3.1,3.11,-0.85,4.31,0.09,0.01
3,90.0,2.19,1.75,-0.25,2.8,0.1,0.01
3,100.0,1.73,2.35,1.73,2.35,0.1,0.01
6,0.0,24.19,11.31,-24.19,11.31,0.11,0.01
6,10.0,19.22,8.05,-19.22,8.05,0.1,0.0
6,20.0,15.73,9.98,-15.73,9.98,0.1,0.01
6,30.0,18.35,9.13,-18.35,9.13,0.1,0.0
6,40.0,14.43,6.53,-14.32,6.77,0.1,0.01
6,50.0,12.77,6.46,-12.77,6.46,0.1,0.0
6,60.0,9.73,3.98,-9.73,3.98,0.1,0.01
6,70.0,7.94,4.65,-7.94,4.65,0.1,0.0
6,80.0,4.8,3.66,-3.74,4.74,0.09,0.0
6,90.0,4.61,3.13,-1.18,5.45,0.1,0.0
6,100.0,2.31,2.71,2.31,2.71,0.1,0.0
7,0.0,18.31,2.24,-18.31,2.24,0.1,0.0
7,10.0,16.43,3.09,-16.43,3.09,0.1,0.0
7,20.0,15.16,3.22,-15.16,3.22,0.1,0.01
7,30.0,14.08,2.97,-14.08,2.97,0.1,0.0
7,40.0,13.46,3.79,-13.46,3.79,0.1,0.0
7,50.0,10.82,4.41,-10.82,4.41,0.1,0.0
7,60.0,8.69,3.98,-8.57,4.22,0.13,0.02
7,70.0,6.35,4.72,-6.32,4.76,0.11,0.01
7,80.0,5.6,3.62,-4.94,4.47,0.1,0.0
7,90.0,5.06,3.15,-2.09,5.59,0.1,0.01
7,100.0,1.06,2.27,1.06,2.27,0.11,0.01
8,0.0,30.2,4.68,-30.2,4.68,0.1,0.01
8,10.0,26.81,4.73,-26.81,4.73,0.11,0.01
8,20.0,25.31,4.35,-25.31,4.35,0.1,0.01
8,30.0,21.1,5.17,-21.1,5.17,0.1,0.01
8,40.0,18.21,4.92,-18.21,4.92,0.11,0.01
8,50.0,15.45,3.85,-15.45,3.85,0.12,0.02
8,60.0,11.89,4.45,-11.89,4.45,0.12,0.02
8,70.0,10.63,4.15,-10.0,5.5,0.11,0.01
8,80.0,6.62,3.65,-6.0,4.6,0.12,0.02
8,90.0,4.43,2.78,-2.81,4.41,0.11,0.01
8,100.0,1.66,2.62,1.66,2.62,0.1,0.0
9,0.0,0.0,0.0,0.0,0.0,0.13,0.02
9,10.0,1.08,0.69,-0.33,1.24,0.13,0.02
9,20.0,1.15,1.08,-0.13,1.57,0.16,0.01
9,30.0,1.64,1.18,-0.43,1.98,0.15,0.01
9,40.0,2.06,1.84,-0.57,2.7,0.16,0.01
9,50.0,2.08,1.49,0.53,2.5,0.13,0.02
9,60.0,4.62,2.84,-0.95,5.34,0.13,0.03
9,70.0,3.27,2.36,0.01,4.04,0.13,0.01
9,80.0,3.95,3.07,-2.4,4.39,0.15,0.02
9,90.0,3.29,2.3,-1.14,3.85,0.12,0.02
9,100.0,2.66,2.98,2.66,2.98,0.14,0.02
10,0.0,0.0,0.0,0.0,0.0,0.1,0.01
10,10.0,0.38,0.27,0.2,0.42,0.11,0.01
10,20.0,0.94,0.67,-0.46,1.06,0.11,0.01
10,30.0,1.27,0.96,0.07,1.59,0.1,0.01
10,40.0,1.94,1.58,0.12,2.5,0.11,0.01
10,50.0,1.31,1.37,0.1,1.9,0.11,0.01
10,60.0,2.88,2.53,0.12,3.83,0.11,0.01
10,70.0,2.35,1.74,-0.16,2.92,0.11,0.01
10,80.0,2.92,1.96,-0.75,3.44,0.09,0.01
10,90.0,2.68,1.58,-0.91,2.98,0.11,0.01
10,100.0,1.38,2.42,1.38,2.42,0.1,0.01
11,0.0,100.0,0.0,-100.0,0.0,0.1,0.01
11,10.0,90.0,0.0,-90.0,0.0,0.09,0.0
11,20.0,79.85,0.73,-79.85,0.73,0.09,0.0
11,30.0,69.87,0.65,-69.87,0.65,0.09,0.01
11,40.0,60.0,0.0,-60.0,0.0,0.09,0.0
11,50.0,49.71,1.43,-49.71,1.43,0.1,0.01
11,60.0,39.81,0.91,-39.81,0.91,0.1,0.01
11,70.0,29.87,0.42,-29.87,0.42,0.09,0.01
11,80.0,19.66,1.38,-19.66,1.38,0.09,0.0
11,90.0,9.54,1.2,-9.54,1.2,0.1,0.01
11,100.0,1.14,1.64,1.14,1.64,0.09,0.01
12,0.0,1.66,0.48,-1.66,0.48,0.1,0.01
12,10.0,1.88,0.78,-1.78,0.98,0.1,0.01
12,20.0,1.77,0.97,-1.63,1.19,0.1,0.01
12,30.0,2.0,1.38,-1.98,1.4,0.09,0.01
12,40.0,2.6,1.57,-2.21,2.09,0.09,0.01
12,50.0,2.74,1.85,-1.94,2.67,0.09,0.01
12,60.0,2.19,1.52,-0.95,2.49,0.1,0.01
12,70.0,2.95,2.17,-0.94,3.54,0.1,0.01
12,80.0,3.43,2.56,-1.33,4.06,0.1,0.01
12,90.0,3.63,2.63,-2.25,3.88,0.1,0.01
12,100.0,1.43,1.9,1.43,1.9,0.1,0.02
13,0.0,0.0,0.0,0.0,0.0,0.12,0.02
13,10.0,0.73,0.46,0.13,0.86,0.1,0.02
13,20.0,0.81,0.55,-0.07,0.97,0.1,0.02
13,30.0,1.33,0.92,0.19,1.61,0.13,0.01
13,40.0,2.01,1.3,-0.26,2.38,0.12,0.01
13,50.0,2.05,1.45,-0.47,2.47,0.1,0.01
13,60.0,2.6,1.73,-1.57,2.7,0.11,0.02
13,70.0,2.51,1.83,-0.03,3.11,0.11,0.01
13,80.0,2.65,2.25,-1.39,3.19,0.11,0.01
13,90.0,2.94,2.43,-0.62,3.76,0.1,0.01
13,100.0,1.4,2.35,1.4,2.35,0.1,0.01
14,0.0,0.0,0.0,0.0,0.0,0.12,0.01
14,10.0,1.09,0.57,-0.01,1.23,0.14,0.02
14,20.0,2.82,1.77,1.13,3.13,0.17,0.02
14,30.0,2.53,1.96,1.17,2.98,0.18,0.01
14,40.0,3.06,2.87,-0.39,4.18,0.18,0.01
14,50.0,4.93,3.06,0.37,5.79,0.18,0.01
14,60.0,4.28,3.23,0.56,5.33,0.17,0.02
14,70.0,4.25,3.75,0.76,5.62,0.15,0.03
14,80.0,3.99,3.53,-1.36,5.15,0.13,0.02
14,90.0,5.81,3.72,-1.75,6.67,0.18,0.01
14,100.0,2.07,3.93,2.07,3.93,0.18,0.01
15,0.0,0.0,0.0,0.0,0.0,0.11,0.02
15,10.0,0.67,0.55,0.04,0.87,0.1,0.0
15,20.0,0.77,0.69,-0.41,0.95,0.1,0.01
15,30.0,1.27,0.94,0.01,1.58,0.1,0.01
15,40.0,1.91,1.3,0.33,2.28,0.11,0.01
15,50.0,1.77,1.28,-0.14,2.18,0.1,0.01
15,60.0,2.67,1.88,-0.84,3.15,0.1,0.01
15,70.0,2.75,2.63,0.23,3.8,0.1,0.02
15,80.0,2.56,2.14,-0.11,3.33,0.1,0.01
15,90.0,3.59,3.14,-1.51,4.52,0.1,0.01
15,100.0,1.72,2.29,1.72,2.29,0.1,0.01
16,0.0,0.0,0.0,0.0,0.0,0.15,0.01
16,10.0,0.8,0.78,0.12,1.11,0.15,0.01
16,20.0,1.3,0.67,0.02,1.47,0.1,0.01
16,30.0,1.57,1.35,0.55,1.99,0.11,0.01
16,40.0,1.96,1.47,0.06,2.45,0.13,0.03
16,50.0,2.42,2.03,-0.74,3.07,0.14,0.01
16,60.0,2.77,1.98,0.65,3.34,0.13,0.01
16,70.0,2.96,2.64,-0.1,3.96,0.14,0.02
16,80.0,3.98,3.1,-0.73,4.99,0.14,0.0
16,90.0,3.53,3.07,0.66,4.63,0.12,0.02
16,100.0,1.75,2.18,1.75,2.18,0.15,0.01
17,0.0,0.0,0.0,0.0,0.0,0.16,0.02
17,10.0,1.44,1.33,0.1,1.96,0.16,0.01
17,20.0,2.18,1.23,0.03,2.5,0.13,0.02
17,30.0,2.33,1.3,-0.11,2.67,0.17,0.02
17,40.0,3.58,2.64,-0.07,4.45,0.18,0.02
17,50.0,3.35,2.65,-0.07,4.27,0.19,0.01
17,60.0,3.57,3.06,-0.43,4.69,0.17,0.02
17,70.0,3.97,2.8,-0.88,4.78,0.18,0.01
17,80.0,5.71,3.65,-0.92,6.71,0.17,0.02
17,90.0,4.21,3.06,-0.15,5.21,0.15,0.03
17,100.0,2.37,3.37,2.37,3.37,0.18,0.01
18,0.0,0.0,0.01,-0.0,0.01,0.1,0.01
18,10.0,0.56,0.52,-0.08,0.76,0.1,0.01
18,20.0,0.94,0.79,-0.44,1.14,0.11,0.01
18,30.0,1.32,0.97,-0.14,1.63,0.11,0.01
18,40.0,1.45,0.99,0.05,1.76,0.11,0.01
18,50.0,1.35,1.28,-0.38,1.82,0.1,0.01
18,60.0,2.93,1.92,0.64,3.44,0.11,0.01
18,70.0,2.57,1.62,0.78,2.93,0.11,0.01
18,80.0,3.06,2.13,-1.08,3.57,0.11,0.01
18,90.0,3.69,1.9,-0.87,4.06,0.1,0.01
18,100.0,1.53,1.95,1.53,1.95,0.1,0.01
20,0.0,0.01,0.03,-0.01,0.03,0.1,0.01
20,10.0,0.43,0.36,-0.03,0.56,0.1,0.01
20,20.0,1.05,0.6,0.16,1.2,0.11,0.01
20,30.0,1.15,0.74,-0.47,1.29,0.11,0.01
20,40.0,1.22,0.92,-0.44,1.47,0.1,0.01
20,50.0,2.35,1.83,-0.05,2.98,0.11,0.01
20,60.0,2.12,1.49,-0.73,2.49,0.11,0.01
20,70.0,3.26,2.13,-0.44,3.87,0.11,0.01
20,80.0,2.12,1.67,-0.39,2.68,0.1,0.01
20,90.0,2.82,2.5,0.92,3.66,0.11,0.01
20,100.0,1.8,2.59,1.8,2.59,0.11,0.01
24,0.0,0.0,0.0,0.0,0.0,0.11,0.01
24,10.0,0.55,0.33,-0.24,0.6,0.1,0.01
24,20.0,0.82,0.84,-0.03,1.18,0.09,0.01
24,30.0,1.22,0.9,-0.11,1.51,0.09,0.01
24,40.0,1.99,1.61,-0.95,2.38,0.09,0.01
24,50.0,1.54,1.05,0.01,1.86,0.1,0.02
24,60.0,1.73,1.56,-0.27,2.31,0.1,0.01
24,70.0,2.04,1.44,-0.23,2.49,0.11,0.01
24,80.0,3.04,2.06,-0.65,3.61,0.11,0.01
24,90.0,3.08,2.78,-1.12,4.0,0.12,0.02
24,100.0,1.63,2.44,1.63,2.44,0.11,0.03
