negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
1,0.0,80.01,39.99,-80.01,39.99,0.08,0.0
1,10.0,77.08,29.67,-74.17,36.34,0.08,0.0
1,20.0,65.14,26.49,-56.5,41.86,0.08,0.0
1,30.0,64.94,13.78,-58.31,31.74,0.08,0.0
1,40.0,57.04,8.09,-48.6,30.93,0.08,0.0
1,50.0,49.25,1.59,-30.77,38.49,0.08,0.0
1,60.0,41.2,4.03,-32.44,25.72,0.08,0.0
1,70.0,35.46,12.46,-14.98,34.47,0.08,0.0
1,80.0,24.1,13.86,-12.74,24.71,0.08,0.0
1,90.0,18.86,23.95,1.23,30.46,0.08,0.0
1,100.0,18.66,37.35,18.66,37.35,0.08,0.0
3,0.0,84.08,36.48,-84.08,36.48,0.08,0.0
3,10.0,70.59,34.54,-66.21,42.33,0.08,0.0
3,20.0,80.0,0.0,-80.0,0.0,0.07,0.0
3,30.0,56.17,20.17,-39.03,45.15,0.07,0.0
3,40.0,56.2,8.72,-44.6,35.28,0.07,0.0
3,50.0,49.73,1.09,-42.27,26.22,0.08,0.0
3,60.0,42.66,5.39,-21.34,37.33,0.07,0.0
3,70.0,35.31,12.18,-15.09,34.17,0.07,0.0
3,80.0,34.97,24.03,6.17,41.98,0.08,0.0
3,90.0,30.44,32.78,16.04,41.76,0.08,0.0
3,100.0,29.22,42.62,29.22,42.62,0.07,0.0
6,0.0,84.04,36.57,-84.04,36.57,0.09,0.0
6,10.0,80.29,26.39,-78.17,32.12,0.09,0.0
6,20.0,67.64,24.8,-60.42,39.24,0.09,0.0
6,30.0,66.61,11.65,-62.27,26.36,0.09,0.0
6,40.0,53.45,10.59,-33.0,43.36,0.09,0.0
6,50.0,49.26,1.59,-30.77,38.5,0.09,0.0
6,60.0,43.42,6.13,-17.41,40.25,0.09,0.0
6,70.0,36.88,13.72,-11.16,37.73,0.1,0.0
6,80.0,30.69,21.36,-1.35,37.37,0.1,0.0
6,90.0,15.91,19.88,-2.57,25.33,0.1,0.01
6,100.0,18.4,36.82,18.4,36.82,0.1,0.0
7,0.0,84.21,36.19,-84.21,36.19,0.12,0.01
7,10.0,80.11,26.91,-78.37,31.62,0.12,0.0
7,20.0,65.15,26.52,-56.53,41.87,0.12,0.01
7,30.0,61.61,16.89,-50.47,39.17,0.12,0.0
7,40.0,55.25,9.64,-40.86,38.42,0.12,0.0
7,50.0,49.19,1.72,-30.85,38.36,0.13,0.0
7,60.0,40.63,2.72,-36.31,18.42,0.13,0.0
7,70.0,35.58,12.65,-14.92,34.69,0.12,0.0
7,80.0,36.83,24.5,9.56,43.18,0.13,0.01
7,90.0,18.63,23.22,0.92,29.76,0.13,0.01
7,100.0,32.9,43.88,32.9,43.88,0.12,0.0
8,0.0,92.05,26.95,-92.05,26.95,0.11,0.0
8,10.0,76.92,30.05,-74.34,35.97,0.1,0.0
8,20.0,72.3,20.97,-68.57,31.05,0.1,0.0
8,30.0,59.67,18.47,-46.8,41.37,0.1,0.0
8,40.0,58.2,6.22,-52.26,26.35,0.1,0.0
8,50.0,49.33,1.96,-38.72,30.64,0.1,0.0
8,60.0,42.15,4.96,-25.11,34.21,0.11,0.0
8,70.0,34.26,11.42,-18.62,30.94,0.11,0.0
8,80.0,22.25,10.79,-16.24,18.64,0.11,0.0
8,90.0,21.75,26.87,4.91,34.22,0.11,0.0
8,100.0,21.77,38.79,21.77,38.79,0.11,0.01
9,0.0,84.0,36.66,-84.0,36.66,0.15,0.01
9,10.0,70.63,34.62,-66.3,42.33,0.15,0.0
9,20.0,69.73,23.84,-64.82,35.05,0.15,0.0
9,30.0,55.96,20.85,-39.37,44.9,0.15,0.0
9,40.0,53.43,10.7,-33.1,43.28,0.15,0.0
9,50.0,48.57,4.15,-31.52,37.18,0.15,0.01
9,60.0,41.95,5.07,-28.6,31.1,0.15,0.0
9,70.0,32.92,9.6,-22.44,25.93,0.15,0.01
9,80.0,28.51,19.33,-5.24,34.04,0.15,0.0
9,90.0,33.14,33.67,19.43,43.07,0.15,0.01
9,100.0,7.18,24.35,7.18,24.35,0.15,0.0
10,0.0,80.0,40.0,-80.0,40.0,0.08,0.0
10,10.0,70.6,34.53,-66.2,42.35,0.07,0.0
10,20.0,77.54,12.06,-76.06,19.29,0.07,0.0
10,30.0,60.87,18.36,-51.13,37.78,0.07,0.0
10,40.0,55.32,9.37,-40.68,38.64,0.07,0.0
10,50.0,49.03,2.55,-34.97,34.45,0.07,0.0
10,60.0,40.0,0.0,-40.0,0.0,0.07,0.0
10,70.0,38.32,14.84,-7.28,40.45,0.08,0.0
10,80.0,30.51,21.04,-1.49,37.03,0.08,0.0
10,90.0,21.31,25.94,4.51,33.27,0.07,0.0
10,100.0,7.24,24.59,7.24,24.59,0.07,0.0
11,0.0,81.37,37.28,-81.37,37.28,0.07,0.0
11,10.0,79.41,28.69,-78.99,29.81,0.07,0.0
11,20.0,69.34,24.43,-65.06,34.23,0.07,0.0
11,30.0,62.18,17.94,-55.42,33.41,0.07,0.0
11,40.0,57.57,8.34,-52.83,24.36,0.07,0.0
11,50.0,49.12,2.5,-38.88,30.13,0.07,0.0
11,60.0,41.3,3.67,-29.1,29.53,0.08,0.0
11,70.0,33.93,10.67,-18.87,30.14,0.07,0.0
11,80.0,27.7,17.71,-5.9,32.35,0.07,0.0
11,90.0,21.41,26.16,4.61,33.49,0.07,0.0
11,100.0,14.69,33.69,14.69,33.69,0.07,0.0
12,0.0,80.03,39.95,-80.03,39.95,0.07,0.0
12,10.0,70.52,34.67,-66.28,42.2,0.08,0.0
12,20.0,75.1,16.61,-72.1,26.8,0.07,0.0
12,30.0,61.44,17.12,-50.56,38.89,0.08,0.0
12,40.0,54.34,10.13,-36.86,41.18,0.07,0.0
12,50.0,49.36,1.76,-38.64,30.78,0.07,0.0
12,60.0,40.61,2.98,-36.19,18.66,0.07,0.0
12,70.0,33.91,10.6,-18.89,30.09,0.07,0.0
12,80.0,24.28,14.52,-12.52,25.37,0.07,0.0
12,90.0,26.89,30.06,11.69,38.6,0.08,0.0
12,100.0,14.75,33.81,14.75,33.81,0.08,0.0
13,0.0,76.03,42.65,-76.03,42.65,0.09,0.0
13,10.0,73.78,32.5,-70.27,39.53,0.09,0.0
13,20.0,65.19,26.42,-56.45,41.95,0.09,0.0
13,30.0,64.96,13.76,-58.31,31.76,0.09,0.0
13,40.0,56.14,8.97,-44.71,35.12,0.09,0.0
13,50.0,49.78,1.19,-46.26,18.42,0.09,0.0
13,60.0,43.96,6.49,-13.67,42.28,0.09,0.0
13,70.0,35.71,13.03,-14.73,35.04,0.09,0.0
13,80.0,28.43,19.26,-5.22,33.94,0.09,0.0
13,90.0,10.03,0.02,-10.03,0.02,0.09,0.0
13,100.0,7.54,25.57,7.54,25.57,0.09,0.0
14,0.0,85.07,34.52,-85.07,34.52,0.2,0.01
14,10.0,80.5,26.32,-78.29,32.32,0.2,0.01
14,20.0,72.33,21.43,-69.14,30.18,0.2,0.01
14,30.0,59.3,19.82,-47.95,40.13,0.2,0.01
14,40.0,57.33,7.88,-48.67,31.31,0.2,0.01
14,50.0,49.91,0.72,-42.28,26.52,0.19,0.01
14,60.0,42.22,4.49,-22.09,36.25,0.2,0.01
14,70.0,37.35,13.33,-8.59,38.72,0.19,0.0
14,80.0,26.43,16.92,-9.11,30.03,0.2,0.01
14,90.0,24.73,28.92,8.28,37.14,0.2,0.01
14,100.0,7.43,25.21,7.43,25.21,0.2,0.01
15,0.0,84.0,36.66,-84.0,36.66,0.1,0.0
15,10.0,77.1,29.62,-74.15,36.39,0.1,0.0
15,20.0,62.7,27.77,-52.53,44.09,0.1,0.0
15,30.0,64.93,13.8,-58.32,31.71,0.1,0.0
15,40.0,52.98,11.35,-33.46,42.61,0.1,0.0
15,50.0,49.28,1.79,-34.75,34.99,0.1,0.0
15,60.0,42.26,5.16,-25.0,34.46,0.1,0.0
15,70.0,35.74,13.06,-14.73,35.08,0.1,0.0
15,80.0,22.22,10.7,-16.25,18.55,0.1,0.0
15,90.0,12.85,13.8,-6.42,17.73,0.1,0.01
15,100.0,21.63,38.49,21.63,38.49,0.1,0.0
16,0.0,76.0,42.71,-76.0,42.71,0.12,0.0
16,10.0,80.32,26.34,-78.16,32.18,0.12,0.0
16,20.0,65.23,26.4,-56.47,41.98,0.12,0.01
16,30.0,59.86,18.15,-46.62,41.7,0.12,0.0
16,40.0,57.2,7.73,-48.48,31.32,0.12,0.0
16,50.0,49.26,1.87,-34.8,34.91,0.12,0.0
16,60.0,41.18,3.87,-32.5,25.59,0.12,0.0
16,70.0,34.11,10.98,-18.79,30.52,0.12,0.0
16,80.0,26.58,17.72,-8.7,30.73,0.12,0.0
16,90.0,18.84,23.77,1.13,30.31,0.12,0.0
16,100.0,7.48,25.37,7.48,25.37,0.12,0.0
17,0.0,76.0,42.71,-76.0,42.71,0.19,0.01
17,10.0,77.19,29.83,-74.36,36.31,0.19,0.01
17,20.0,65.03,27.01,-56.88,41.51,0.19,0.01
17,30.0,61.48,17.47,-50.86,38.72,0.19,0.01
17,40.0,55.44,9.49,-40.82,38.7,0.19,0.01
17,50.0,49.85,1.19,-46.33,18.44,0.19,0.01
17,60.0,41.85,4.66,-28.8,30.72,0.18,0.0
17,70.0,39.99,15.81,-3.43,42.86,0.19,0.01
17,80.0,26.58,17.4,-8.9,30.49,0.19,0.01
17,90.0,21.95,27.01,4.87,34.46,0.19,0.01
17,100.0,7.31,24.84,7.31,24.84,0.19,0.01
18,0.0,96.0,19.6,-96.0,19.6,0.08,0.0
18,10.0,73.91,32.18,-70.09,39.82,0.08,0.0
18,20.0,65.09,26.53,-56.51,41.8,0.07,0.0
18,30.0,59.62,18.49,-46.78,41.32,0.08,0.0
18,40.0,54.11,10.49,-37.09,40.77,0.07,0.0
18,50.0,49.59,1.14,-38.41,31.39,0.07,0.0
18,60.0,42.7,5.45,-21.3,37.41,0.07,0.0
18,70.0,39.53,15.29,-3.67,42.22,0.08,0.0
18,80.0,30.9,21.8,-1.1,37.79,0.08,0.0
18,90.0,18.77,23.75,1.17,30.25,0.08,0.0
18,100.0,28.8,42.03,28.8,42.03,0.08,0.0
20,0.0,88.0,32.5,-88.0,32.5,0.08,0.0
20,10.0,90.0,0.0,-90.0,0.0,0.07,0.0
20,20.0,52.82,30.67,-36.78,48.76,0.07,0.0
20,30.0,64.81,14.06,-58.39,31.44,0.07,0.0
20,40.0,56.26,8.59,-44.54,35.43,0.07,0.0
20,50.0,49.04,1.76,-26.96,41.01,0.08,0.0
20,60.0,42.87,5.8,-21.13,37.76,0.07,0.0
20,70.0,34.17,11.32,-18.63,30.81,0.08,0.0
20,80.0,24.53,15.35,-12.27,26.2,0.08,0.0
20,90.0,15.54,18.82,-2.86,24.24,0.08,0.0
20,100.0,21.82,38.86,21.82,38.86,0.07,0.0
24,0.0,72.0,44.9,-72.0,44.9,0.07,0.0
24,10.0,76.99,29.82,-74.21,36.17,0.07,0.0
24,20.0,72.64,19.94,-68.16,32.05,0.07,0.0
24,30.0,63.15,15.7,-54.45,35.63,0.07,0.0
24,40.0,56.22,8.67,-44.58,35.33,0.08,0.0
24,50.0,49.15,2.1,-34.85,34.73,0.08,0.0
24,60.0,44.16,6.72,-13.44,42.6,0.07,0.0
24,70.0,32.75,9.33,-22.45,25.6,0.07,0.0
24,80.0,30.68,21.38,-1.32,37.37,0.07,0.0
24,90.0,21.36,26.03,4.56,33.36,0.07,0.0
24,100.0,28.77,41.98,28.77,41.98,0.07,0.0
