negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
1,0.0,0.09,0.18,-0.09,0.18,0.12,0.0
1,10.0,0.8,0.65,-0.24,1.0,0.12,0.0
1,20.0,1.03,0.76,-0.34,1.24,0.12,0.0
1,30.0,1.71,1.34,-1.03,1.91,0.12,0.0
1,40.0,2.06,1.44,-1.08,2.27,0.12,0.0
1,50.0,1.62,1.33,-0.43,2.05,0.12,0.0
1,60.0,2.46,1.26,0.08,2.76,0.12,0.0
1,70.0,3.58,2.76,-2.1,4.01,0.12,0.01
1,80.0,4.21,3.29,-2.83,4.53,0.12,0.0
1,90.0,4.48,3.12,-0.34,5.45,0.12,0.0
1,100.0,1.06,1.86,1.06,1.86,0.12,0.0
3,0.0,0.89,0.68,-0.89,0.68,0.11,0.0
3,10.0,1.32,1.0,-1.17,1.17,0.11,0.0
3,20.0,1.79,1.39,-1.04,2.01,0.11,0.0
3,30.0,2.01,1.13,-1.43,1.81,0.11,0.0
3,40.0,1.7,1.65,-1.02,2.14,0.11,0.0
3,50.0,2.58,2.28,-0.87,3.33,0.11,0.0
3,60.0,3.17,2.03,-1.53,3.44,0.11,0.0
3,70.0,2.78,2.39,-1.92,3.13,0.12,0.0
3,80.0,3.22,2.61,-0.87,4.05,0.12,0.0
3,90.0,4.36,2.67,-0.47,5.09,0.11,0.01
3,100.0,1.61,2.53,1.61,2.53,0.11,0.0
6,0.0,5.56,2.59,-5.56,2.59,0.15,0.01
6,10.0,4.29,3.69,-4.25,3.73,0.15,0.0
6,20.0,4.01,2.24,-3.57,2.89,0.15,0.0
6,30.0,4.14,2.84,-4.14,2.84,0.15,0.0
6,40.0,3.73,2.81,-3.65,2.91,0.15,0.0
6,50.0,4.16,3.15,-4.08,3.24,0.15,0.0
6,60.0,4.28,3.88,-3.51,4.59,0.15,0.0
6,70.0,3.93,3.06,-2.24,4.45,0.15,0.01
6,80.0,4.98,3.4,-3.48,4.92,0.15,0.0
