negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
1,0.0,22.74,0.21,-22.74,0.21,105.16,1.65
1,10.0,20.37,0.72,-20.37,0.72,105.28,1.4
1,20.0,18.42,0.88,-18.42,0.88,104.52,1.71
1,30.0,16.56,1.01,-16.56,1.01,103.74,1.2
1,40.0,14.77,1.36,-14.77,1.36,103.8,1.93
1,50.0,12.79,1.46,-12.79,1.46,103.9,1.21
1,60.0,10.28,2.06,-10.02,3.08,104.53,2.11
1,70.0,7.18,2.35,-6.58,3.72,110.68,1.9
1,80.0,6.39,3.04,-5.32,4.66,109.71,1.6
1,90.0,4.04,3.12,-3.71,3.5,108.88,1.03
1,100.0,0.89,1.18,0.89,1.18,108.25,1.51
3,0.0,25.53,0.34,-25.53,0.34,109.07,2.04
3,10.0,22.99,0.99,-22.99,0.99,107.76,1.67
3,20.0,20.67,2.1,-20.67,2.1,107.94,1.68
3,30.0,18.29,3.13,-18.29,3.13,107.05,1.34
3,40.0,15.42,4.09,-15.42,4.09,107.3,1.65
3,50.0,12.06,5.28,-12.06,5.28,106.64,1.35
3,60.0,10.82,5.91,-10.8,5.93,105.42,0.94
3,70.0,8.47,5.49,-6.94,7.33,105.53,1.42
3,80.0,9.59,2.34,-8.49,5.03,106.97,1.57
3,90.0,5.99,2.42,-5.99,2.42,105.28,1.74
3,100.0,2.79,5.7,2.79,5.7,105.6,1.39
6,0.0,33.78,1.84,-33.78,1.84,103.6,1.59
6,10.0,31.65,3.17,-31.65,3.17,103.65,1.72
6,20.0,28.13,4.12,-28.13,4.12,102.95,1.6
6,30.0,25.49,4.07,-25.49,4.07,103.55,1.57
6,40.0,20.03,5.45,-20.03,5.45,103.09,1.8
6,50.0,19.92,6.18,-19.92,6.18,103.91,1.92
6,60.0,17.03,6.59,-17.03,6.59,103.71,1.58
6,70.0,15.25,6.35,-15.12,6.67,101.98,1.56
6,80.0,11.86,3.8,-10.23,7.1,102.61,1.48
6,90.0,8.49,2.13,-7.5,4.51,103.1,1.36
6,100.0,0.97,1.37,0.97,1.37,102.86,1.52
7,0.0,55.04,0.76,-55.04,0.76,102.09,2.08
7,10.0,48.97,1.1,-48.97,1.1,102.75,1.75
7,20.0,43.61,2.8,-43.61,2.8,103.05,2.17
7,30.0,37.32,2.77,-37.32,2.77,101.99,1.67
7,40.0,35.91,6.48,-35.91,6.48,103.02,2.08
7,50.0,31.51,7.36,-31.51,7.36,101.93,1.68
7,60.0,27.37,7.41,-27.37,7.41,102.75,2.05
7,70.0,22.89,6.03,-22.89,6.03,102.53,2.51
7,80.0,16.72,3.33,-16.72,3.33,103.08,1.82
7,90.0,8.81,1.63,-8.08,3.85,103.09,1.7
7,100.0,0.73,1.1,0.73,1.1,102.0,2.2
8,0.0,52.67,4.73,-52.67,4.73,102.22,1.92
8,10.0,50.64,5.72,-50.64,5.72,102.1,1.81
8,20.0,46.63,6.34,-46.63,6.34,105.21,2.63
8,30.0,43.7,5.65,-43.7,5.65,106.57,1.1
8,40.0,40.57,3.35,-40.57,3.35,106.11,2.72
8,50.0,34.62,5.85,-34.62,5.85,106.11,1.99
8,60.0,29.92,2.84,-29.92,2.84,106.28,1.88
8,70.0,21.6,6.7,-21.6,6.7,106.88,1.71
8,80.0,16.48,2.58,-16.48,2.58,105.79,1.45
8,90.0,8.25,1.61,-8.25,1.61,105.52,3.09
8,100.0,1.23,3.06,1.23,3.06,101.39,2.05
9,0.0,52.82,0.65,-52.82,0.65,101.62,1.89
9,10.0,47.72,0.87,-47.72,0.87,102.52,2.25
9,20.0,42.67,0.79,-42.67,0.79,102.42,1.63
9,30.0,37.29,0.96,-37.29,0.96,104.71,2.3
9,40.0,32.37,1.21,-32.37,1.21,102.25,2.47
9,50.0,26.75,2.24,-26.75,2.24,102.3,1.64
9,60.0,21.91,2.22,-21.91,2.22,102.93,2.12
9,70.0,17.66,1.92,-17.66,1.92,102.28,1.5
9,80.0,11.4,2.38,-11.4,2.38,102.56,2.36
9,90.0,6.63,2.09,-6.63,2.09,102.92,2.9
9,100.0,0.23,0.39,0.23,0.39,102.69,2.09
10,0.0,21.34,0.12,-21.34,0.12,104.93,1.32
