negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
1,0.0,1.7,0.12,-1.7,0.12,0.31,0.06
1,10.0,3.75,0.51,-3.75,0.51,0.35,0.07
1,20.0,6.05,0.76,-6.05,0.76,0.34,0.09
1,30.0,7.97,1.52,-7.97,1.52,0.33,0.08
1,40.0,8.31,1.24,-8.31,1.24,0.31,0.06
1,50.0,10.5,1.72,-10.5,1.72,0.32,0.07
1,60.0,11.86,2.13,-11.86,2.13,0.36,0.08
1,70.0,13.15,2.97,-13.15,2.97,0.39,0.11
1,80.0,13.68,3.1,-13.68,3.1,0.37,0.08
1,90.0,9.44,1.08,-9.44,1.08,0.37,0.1
1,100.0,0.21,0.56,0.21,0.56,0.32,0.07
3,0.0,2.87,0.37,-2.87,0.37,0.37,0.09
3,10.0,4.64,0.52,-4.64,0.52,0.42,0.12
3,20.0,6.86,1.34,-6.86,1.34,0.4,0.09
3,30.0,10.08,1.72,-10.08,1.72,0.38,0.11
3,40.0,8.68,0.8,-8.68,0.8,0.35,0.09
3,50.0,9.55,1.59,-9.55,1.59,0.37,0.09
3,60.0,12.34,2.75,-12.34,2.75,0.41,0.11
3,70.0,14.18,2.33,-14.18,2.33,0.36,0.09
3,80.0,15.87,2.22,-15.87,2.22,0.31,0.07
3,90.0,9.74,0.73,-9.74,0.73,0.34,0.07
3,100.0,0.05,0.24,0.05,0.24,0.41,0.11
6,0.0,2.8,0.19,-2.8,0.19,0.27,0.03
6,10.0,4.91,0.94,-4.91,0.94,0.34,0.06
6,20.0,6.91,1.98,-6.91,1.98,0.33,0.06
6,30.0,7.38,1.15,-7.38,1.15,0.36,0.1
6,40.0,8.13,2.21,-8.13,2.21,0.32,0.06
6,50.0,9.87,2.01,-9.87,2.01,0.34,0.07
6,60.0,10.59,3.28,-10.59,3.28,0.34,0.07
6,70.0,11.89,2.93,-11.89,2.93,0.34,0.06
6,80.0,12.46,4.11,-12.46,4.11,0.39,0.08
6,90.0,8.76,1.6,-8.76,1.6,0.36,0.08
6,100.0,0.2,0.48,0.2,0.48,0.35,0.08
7,0.0,11.7,1.34,-11.7,1.34,0.33,0.07
7,10.0,14.42,2.69,-14.42,2.69,0.33,0.04
7,20.0,14.79,1.8,-14.79,1.8,0.33,0.04
7,30.0,13.23,2.79,-13.23,2.79,0.33,0.05
7,40.0,13.31,2.64,-13.31,2.64,0.35,0.06
7,50.0,13.17,3.67,-13.17,3.67,0.38,0.05
7,60.0,13.38,3.61,-13.38,3.61,0.37,0.07
7,70.0,14.98,4.55,-14.98,4.55,0.43,0.05
7,80.0,13.41,4.01,-13.41,4.01,0.35,0.07
7,90.0,8.99,1.49,-8.99,1.49,0.35,0.06
7,100.0,1.05,1.62,1.05,1.62,0.39,0.07
8,0.0,15.48,2.24,-15.48,2.24,0.35,0.08
8,10.0,16.83,3.04,-16.83,3.04,0.31,0.05
8,20.0,19.3,3.75,-19.3,3.75,0.31,0.06
8,30.0,19.78,3.57,-19.78,3.57,0.38,0.09
8,40.0,22.02,4.92,-22.02,4.92,0.35,0.07
8,50.0,23.25,4.98,-23.25,4.98,0.33,0.05
8,60.0,23.15,3.7,-23.15,3.7,0.34,0.06
8,70.0,22.04,3.51,-22.04,3.51,0.32,0.06
8,80.0,17.11,3.23,-17.11,3.23,0.36,0.08
8,90.0,9.38,0.92,-9.38,0.92,0.34,0.07
8,100.0,0.63,0.99,0.63,0.99,0.34,0.08
9,0.0,3.08,0.22,-3.08,0.22,0.34,0.04
9,10.0,3.68,0.69,-3.68,0.69,0.32,0.04
9,20.0,4.33,1.31,-4.33,1.31,0.34,0.04
9,30.0,5.2,2.05,-5.2,2.05,0.34,0.05
9,40.0,5.14,2.17,-5.14,2.17,0.37,0.06
9,50.0,5.17,3.1,-5.17,3.1,0.35,0.04
9,60.0,6.31,3.08,-6.2,3.3,0.32,0.04
9,70.0,6.75,3.85,-6.44,4.34,0.34,0.04
9,80.0,7.8,3.15,-7.42,3.97,0.4,0.06
9,90.0,6.34,2.52,-6.34,2.52,0.34,0.04
9,100.0,1.15,1.68,1.15,1.68,0.31,0.02
10,0.0,1.47,0.11,-1.47,0.11,0.27,0.06
10,10.0,3.28,0.38,-3.28,0.38,0.29,0.06
10,20.0,5.89,0.85,-5.89,0.85,0.36,0.11
10,30.0,8.46,1.1,-8.46,1.1,0.35,0.09
10,40.0,8.42,1.21,-8.42,1.21,0.4,0.13
10,50.0,9.61,1.62,-9.61,1.62,0.36,0.1
10,60.0,12.9,2.04,-12.9,2.04,0.34,0.09
10,70.0,12.96,2.63,-12.96,2.63,0.36,0.09
10,80.0,14.66,3.39,-14.66,3.39,0.34,0.09
10,90.0,9.58,0.67,-9.58,0.67,0.35,0.07
10,100.0,0.0,0.0,0.0,0.0,0.39,0.11
11,0.0,9.78,1.93,-9.78,1.93,0.27,0.05
11,10.0,8.85,1.38,-8.85,1.38,0.3,0.07
11,20.0,10.08,1.52,-10.08,1.52,0.37,0.11
11,30.0,13.73,3.31,-13.73,3.31,0.32,0.05
11,40.0,15.32,2.14,-15.32,2.14,0.35,0.1
11,50.0,14.52,2.47,-14.52,2.47,0.4,0.13
11,60.0,16.22,2.98,-16.22,2.98,0.37,0.08
11,70.0,17.21,4.49,-17.21,4.49,0.37,0.09
11,80.0,18.01,2.16,-18.01,2.16,0.42,0.1
11,90.0,9.44,1.14,-9.44,1.14,0.39,0.1
11,100.0,0.11,0.36,0.11,0.36,0.36,0.08
12,0.0,2.92,0.55,-2.92,0.55,0.35,0.08
12,10.0,5.52,0.57,-5.52,0.57,0.36,0.08
12,20.0,6.32,1.11,-6.32,1.11,0.36,0.1
12,30.0,10.45,1.71,-10.45,1.71,0.33,0.08
12,40.0,9.95,0.86,-9.95,0.86,0.36,0.09
12,50.0,10.49,1.69,-10.49,1.69,0.32,0.07
12,60.0,10.93,2.24,-10.93,2.24,0.3,0.07
12,70.0,15.27,3.51,-15.27,3.51,0.34,0.08
12,80.0,16.17,2.53,-16.17,2.53,0.4,0.1
12,90.0,9.76,0.49,-9.76,0.49,0.39,0.1
12,100.0,0.04,0.18,0.04,0.18,0.36,0.09
13,0.0,1.58,0.18,-1.58,0.18,0.34,0.08
13,10.0,3.89,0.83,-3.89,0.83,0.35,0.09
13,20.0,5.61,0.71,-5.61,0.71,0.33,0.07
13,30.0,7.06,0.99,-7.06,0.99,0.37,0.08
13,40.0,6.98,1.15,-6.98,1.15,0.33,0.07
13,50.0,9.29,2.0,-9.29,2.0,0.33,0.07
13,60.0,10.24,2.68,-10.24,2.68,0.36,0.07
13,70.0,12.8,3.0,-12.8,3.0,0.36,0.09
13,80.0,14.3,2.27,-14.3,2.27,0.37,0.08
13,90.0,8.78,1.56,-8.78,1.56,0.29,0.06
13,100.0,0.08,0.24,0.08,0.24,0.36,0.09
14,0.0,4.79,0.49,-4.79,0.49,0.36,0.03
14,10.0,5.74,1.21,-5.74,1.21,0.37,0.03
14,20.0,6.94,2.61,-6.89,2.74,0.38,0.03
14,30.0,7.22,2.77,-6.88,3.53,0.36,0.03
14,40.0,7.59,3.81,-7.59,3.81,0.37,0.03
14,50.0,8.59,4.23,-8.59,4.23,0.39,0.03
14,60.0,9.45,5.35,-9.45,5.35,0.39,0.04
14,70.0,7.87,4.98,-7.86,4.99,0.39,0.04
14,80.0,9.53,4.39,-8.68,5.89,0.39,0.03
14,90.0,6.28,2.99,-6.22,3.11,0.39,0.04
14,100.0,3.48,3.35,3.48,3.35,0.39,0.04
15,0.0,1.54,0.12,-1.54,0.12,0.31,0.05
15,10.0,3.86,0.73,-3.86,0.73,0.34,0.08
15,20.0,5.54,1.11,-5.54,1.11,0.3,0.05
15,30.0,6.73,1.04,-6.73,1.04,0.32,0.05
15,40.0,6.68,1.32,-6.68,1.32,0.34,0.08
15,50.0,9.02,2.05,-9.02,2.05,0.32,0.07
15,60.0,9.25,2.86,-9.25,2.86,0.36,0.07
15,70.0,10.77,2.66,-10.77,2.66,0.35,0.07
15,80.0,12.26,3.44,-12.26,3.44,0.43,0.11
15,90.0,8.26,2.05,-8.26,2.05,0.39,0.13
15,100.0,0.24,0.57,0.24,0.57,0.35,0.07
16,0.0,2.26,0.12,-2.26,0.12,0.32,0.04
16,10.0,4.2,0.91,-4.2,0.91,0.3,0.03
16,20.0,5.35,1.07,-5.35,1.07,0.32,0.04
16,30.0,5.32,1.75,-5.32,1.75,0.3,0.03
16,40.0,7.18,1.77,-7.18,1.77,0.32,0.04
16,50.0,7.98,2.99,-7.98,2.99,0.33,0.06
16,60.0,7.47,3.43,-7.44,3.5,0.37,0.07
16,70.0,8.74,3.58,-8.74,3.58,0.39,0.07
