negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
1,0.0,0.0,0.0,0.0,0.0,5.38,0.25
1,10.0,0.53,0.47,-0.2,0.68,5.35,0.29
1,20.0,0.83,0.49,-0.14,0.95,5.38,0.21
1,30.0,0.98,0.83,0.08,1.28,5.63,0.33
1,40.0,1.4,0.99,-0.19,1.71,5.8,0.29
1,50.0,2.28,1.83,-0.78,2.82,5.98,0.34
1,60.0,2.29,1.44,0.34,2.68,6.15,0.42
1,70.0,2.83,2.35,0.02,3.67,6.3,0.37
1,80.0,2.67,2.37,-0.12,3.57,6.31,0.34
1,90.0,2.75,2.73,0.96,3.75,6.2,0.35
1,100.0,3.04,3.18,3.04,3.18,6.43,0.44
3,0.0,0.33,0.19,-0.33,0.19,5.73,0.3
3,10.0,0.73,0.44,-0.45,0.73,5.83,0.34
3,20.0,1.15,0.8,-0.71,1.21,5.9,0.35
3,30.0,1.5,1.01,-0.59,1.71,5.91,0.36
3,40.0,1.33,0.79,-0.5,1.46,5.85,0.35
3,50.0,1.85,1.33,-0.76,2.15,5.99,0.47
3,60.0,2.2,1.39,-0.42,2.57,6.03,0.42
3,70.0,3.31,2.19,0.22,3.96,6.1,0.33
3,80.0,3.44,1.94,0.37,3.93,6.18,0.32
3,90.0,3.2,2.37,0.55,3.94,6.4,0.4
3,100.0,2.93,3.25,2.93,3.25,6.54,0.43
6,0.0,1.78,0.08,-1.78,0.08,5.49,0.2
6,10.0,1.88,0.72,-1.88,0.72,5.57,0.17
6,20.0,2.32,1.07,-2.16,1.37,5.51,0.24
6,30.0,1.83,1.01,-1.59,1.35,5.63,0.21
6,40.0,2.68,1.42,-0.48,2.99,5.76,0.23
6,50.0,2.79,2.15,-2.39,2.59,5.72,0.24
6,60.0,3.14,2.77,-2.56,3.32,5.78,0.32
6,70.0,3.05,2.68,-0.43,4.03,6.02,0.26
6,80.0,3.41,2.94,-0.26,4.49,6.08,0.28
6,90.0,3.66,2.47,0.78,4.34,6.13,0.24
6,100.0,5.01,3.95,5.01,3.95,6.06,0.26
7,0.0,7.08,0.67,-7.08,0.67,6.32,0.2
7,10.0,6.44,1.64,-6.44,1.64,6.34,0.18
7,20.0,6.47,2.22,-6.47,2.22,6.49,0.18
7,30.0,4.52,2.14,-4.52,2.14,6.47,0.23
7,40.0,2.85,1.9,-1.31,3.17,6.62,0.18
7,50.0,3.3,2.77,-1.5,4.04,6.54,0.24
7,60.0,4.09,2.69,-1.35,4.71,6.64,0.23
7,70.0,3.92,3.24,-0.55,5.06,6.72,0.25
7,80.0,3.46,2.51,-0.3,4.26,6.65,0.22
7,90.0,5.55,4.2,4.03,5.68,6.81,0.3
7,100.0,9.45,5.57,9.45,5.57,6.87,0.25
8,0.0,9.84,1.02,-9.84,1.02,5.72,0.19
8,10.0,10.34,2.18,-10.34,2.18,5.85,0.21
8,20.0,9.89,2.56,-9.89,2.56,5.83,0.16
8,30.0,9.03,3.13,-9.03,3.13,5.99,0.21
8,40.0,8.94,3.92,-8.94,3.92,6.07,0.21
8,50.0,8.13,4.56,-8.13,4.56,6.07,0.25
8,60.0,7.25,4.11,-7.05,4.44,6.19,0.28
8,70.0,5.52,2.47,-3.34,5.05,6.16,0.25
