negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
L,0.0,0.0,0.0,-0.0,0.0,0.16,0.02
L,10.0,5.34,0.4,5.34,0.4,0.18,0.01
L,20.0,5.31,2.2,5.31,2.2,0.2,0.01
L,30.0,4.92,3.12,0.57,5.79,0.21,0.01
L,40.0,8.84,7.37,-7.33,8.87,0.23,0.01
L,50.0,8.06,5.6,-3.67,9.1,0.23,0.01
L,60.0,10.19,5.94,-3.48,11.28,0.24,0.01
L,70.0,14.55,8.66,-11.32,12.6,0.25,0.01
L,80.0,11.73,7.81,-2.61,13.85,0.25,0.02
L,90.0,10.22,6.17,-0.84,11.91,0.24,0.01
L,100.0,8.23,9.37,8.23,9.37,0.24,0.01
D,0.0,0.0,0.0,-0.0,0.0,0.13,0.0
D,10.0,4.72,0.61,4.72,0.61,0.17,0.0
D,20.0,5.58,2.29,5.48,2.51,0.19,0.01
D,30.0,4.47,2.52,0.69,5.08,0.2,0.01
D,40.0,9.48,8.01,-5.79,10.98,0.21,0.01
D,50.0,9.58,8.6,-5.51,11.64,0.23,0.02
D,60.0,15.6,11.24,-12.25,14.82,0.24,0.01
D,70.0,9.74,8.27,-6.46,11.03,0.24,0.01
D,80.0,9.49,7.92,-4.2,11.62,0.24,0.02
D,90.0,10.74,6.05,-0.48,12.32,0.24,0.01
D,100.0,7.34,9.68,7.34,9.68,0.24,0.01
H,0.0,0.0,0.0,-0.0,0.0,0.16,0.01
H,10.0,4.77,0.53,4.77,0.53,0.19,0.02
H,20.0,4.29,1.67,4.2,1.87,0.2,0.01
H,30.0,3.36,3.01,-0.43,4.49,0.21,0.01
H,40.0,5.82,5.35,-4.28,6.65,0.22,0.01
H,50.0,10.73,8.44,-7.17,11.62,0.23,0.01
H,60.0,10.02,10.45,-7.6,12.33,0.23,0.01
H,70.0,13.0,10.25,-9.27,13.72,0.24,0.01
H,80.0,11.84,6.65,-7.91,11.03,0.24,0.02
H,90.0,8.81,3.27,-3.9,8.54,0.24,0.01
H,100.0,8.03,9.96,8.03,9.96,0.24,0.01
Y,0.0,0.0,0.0,-0.0,0.0,0.16,0.01
Y,10.0,4.62,0.91,4.62,0.91,0.19,0.01
Y,20.0,5.16,2.2,5.16,2.2,0.2,0.01
Y,30.0,6.37,5.08,-0.19,8.15,0.22,0.01
Y,40.0,9.74,6.7,-7.97,8.73,0.24,0.01
Y,50.0,8.83,7.58,-5.5,10.25,0.24,0.01
Y,60.0,13.2,11.15,-9.15,14.65,0.25,0.02
Y,70.0,14.66,10.22,-11.76,13.46,0.26,0.01
Y,80.0,14.36,7.61,-11.5,11.48,0.25,0.01
Y,90.0,8.57,4.39,0.53,9.62,0.25,0.02
Y,100.0,2.62,4.12,2.62,4.12,0.24,0.01
U,0.0,0.01,0.01,-0.01,0.01,0.16,0.01
U,10.0,4.59,0.66,4.59,0.66,0.18,0.01
U,20.0,5.25,2.16,5.25,2.16,0.2,0.01
U,30.0,4.9,4.33,-1.04,6.46,0.21,0.01
U,40.0,9.32,8.66,-7.77,10.07,0.22,0.01
U,50.0,14.06,10.25,-12.7,11.9,0.24,0.01
U,60.0,16.32,11.27,-13.46,14.57,0.24,0.02
U,70.0,15.53,9.77,-11.55,14.26,0.24,0.01
U,80.0,12.63,7.21,-7.9,12.21,0.24,0.01
U,90.0,9.33,4.41,-4.38,9.34,0.25,0.02
U,100.0,5.0,8.08,5.0,8.08,0.24,0.01
C,0.0,0.0,0.0,-0.0,0.0,0.14,0.01
C,10.0,4.91,0.53,4.91,0.53,0.17,0.01
C,20.0,5.36,2.01,5.36,2.01,0.19,0.01
C,30.0,4.35,3.09,2.84,4.51,0.2,0.01
C,40.0,7.61,4.58,-5.12,7.25,0.22,0.01
C,50.0,10.79,8.51,-7.05,11.79,0.23,0.02
C,60.0,13.06,9.06,-8.66,13.33,0.23,0.01
C,70.0,15.13,9.93,-10.19,14.96,0.25,0.02
C,80.0,14.11,7.28,-6.73,14.38,0.24,0.01
C,90.0,7.57,3.8,-4.62,7.1,0.25,0.01
C,100.0,6.27,7.27,6.27,7.27,0.25,0.02
T,0.0,0.0,0.0,-0.0,0.0,0.14,0.0
T,10.0,5.08,0.55,5.08,0.55,0.17,0.02
T,20.0,6.01,2.19,6.01,2.19,0.19,0.01
T,30.0,4.23,2.77,2.14,4.58,0.21,0.02
T,40.0,7.75,5.73,-4.9,8.3,0.22,0.01
T,50.0,10.77,6.93,-6.45,11.07,0.22,0.01
T,60.0,14.9,10.93,-12.3,13.79,0.25,0.01
T,70.0,12.81,10.05,-8.2,14.06,0.25,0.01
T,80.0,13.48,7.46,-11.27,10.5,0.26,0.02
T,90.0,10.18,6.23,-0.25,11.94,0.25,0.01
T,100.0,6.26,10.03,6.26,10.03,0.24,0.01
E,0.0,0.0,0.0,-0.0,0.0,0.14,0.01
E,10.0,4.99,0.68,4.99,0.68,0.18,0.01
E,20.0,5.75,2.11,5.6,2.49,0.19,0.01
E,30.0,3.86,2.99,1.93,4.48,0.2,0.01
E,40.0,7.44,7.57,-2.02,10.42,0.22,0.01
E,50.0,10.72,9.73,-7.42,12.43,0.23,0.01
E,60.0,16.06,11.29,-14.99,12.67,0.24,0.01
E,70.0,16.61,8.97,-10.64,15.59,0.24,0.01
E,80.0,12.17,7.9,-7.71,12.29,0.25,0.01
E,90.0,8.54,4.82,-2.51,9.48,0.25,0.01
E,100.0,6.94,10.51,6.94,10.51,0.25,0.02
X,0.0,0.0,0.0,-0.0,0.0,0.14,0.01
X,10.0,5.2,0.69,5.2,0.69,0.17,0.01
X,20.0,5.86,2.02,5.86,2.02,0.19,0.01
X,30.0,5.24,4.05,-0.21,6.62,0.2,0.01
X,40.0,4.92,3.27,0.36,5.9,0.22,0.01
X,50.0,12.32,7.73,-11.14,9.35,0.23,0.01
X,60.0,14.87,9.92,-14.05,11.05,0.24,0.01
X,70.0,13.08,8.92,-4.46,15.2,0.25,0.01
X,80.0,10.14,6.54,-4.82,11.06,0.25,0.02
X,90.0,10.48,4.7,-0.38,11.48,0.25,0.01
X,100.0,6.24,11.37,6.24,11.37,0.24,0.01
K,0.0,0.0,0.0,-0.0,0.0,0.16,0.0
K,10.0,5.23,0.44,5.23,0.44,0.19,0.01
K,20.0,4.13,1.94,4.09,2.02,0.2,0.01
K,30.0,6.96,3.57,1.38,7.7,0.21,0.01
K,40.0,7.62,6.52,-1.99,9.83,0.22,0.01
K,50.0,8.09,6.41,-6.38,8.11,0.23,0.01
K,60.0,14.21,9.78,-8.46,15.03,0.23,0.01
K,70.0,16.06,9.3,-11.98,14.17,0.24,0.01
K,80.0,11.84,6.94,-6.98,11.82,0.25,0.01
K,90.0,8.57,3.83,-3.97,8.5,0.25,0.01
K,100.0,5.61,9.54,5.61,9.54,0.24,0.01
J,0.0,0.0,0.0,-0.0,0.0,0.17,0.02
J,10.0,4.82,0.57,4.82,0.57,0.19,0.01
J,20.0,4.11,2.44,4.06,2.54,0.2,0.01
J,30.0,4.31,3.38,-0.67,5.43,0.22,0.01
J,40.0,4.84,4.61,-1.28,6.57,0.23,0.01
J,50.0,12.35,9.86,-9.62,12.53,0.24,0.01
J,60.0,11.09,9.23,-5.21,13.45,0.25,0.01
J,70.0,15.06,10.7,-14.44,11.52,0.25,0.01
