negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
L,0.0,0.03,0.02,-0.03,0.02,0.07,0.01
L,10.0,2.01,0.49,2.01,0.49,0.12,0.01
L,20.0,1.94,1.5,-0.12,2.45,0.14,0.0
L,30.0,14.61,6.56,-14.61,6.56,0.16,0.01
L,40.0,27.0,11.36,-26.99,11.37,0.17,0.01
L,50.0,25.71,10.72,-25.71,10.72,0.19,0.02
L,60.0,25.7,8.68,-25.7,8.68,0.2,0.01
L,70.0,18.22,7.75,-18.22,7.75,0.22,0.01
L,80.0,11.94,7.12,-11.66,7.58,0.23,0.02
L,90.0,8.46,2.77,-6.62,5.94,0.24,0.01
L,100.0,2.75,4.58,2.75,4.58,0.25,0.02
D,0.0,0.04,0.02,-0.04,0.02,0.07,0.0
D,10.0,2.37,0.54,2.37,0.54,0.11,0.01
D,20.0,1.87,1.49,0.52,2.33,0.13,0.0
D,30.0,10.04,6.73,-10.04,6.73,0.15,0.0
D,40.0,19.63,7.33,-19.63,7.33,0.17,0.01
D,50.0,15.12,9.66,-14.92,9.96,0.18,0.01
D,60.0,18.12,8.19,-18.03,8.38,0.2,0.01
D,70.0,14.95,8.55,-14.61,9.12,0.21,0.01
D,80.0,9.59,6.15,-7.95,8.16,0.21,0.01
D,90.0,8.37,2.85,-6.01,6.49,0.23,0.01
D,100.0,4.28,5.6,4.28,5.6,0.24,0.01
H,0.0,0.09,0.07,-0.09,0.07,0.08,0.0
H,10.0,1.51,0.65,1.51,0.65,0.12,0.01
H,20.0,1.77,1.41,-0.16,2.26,0.14,0.01
H,30.0,10.23,5.12,-10.23,5.12,0.16,0.01
H,40.0,16.26,9.09,-16.26,9.09,0.17,0.01
H,50.0,15.44,8.25,-15.23,8.62,0.18,0.01
H,60.0,16.44,9.01,-16.44,9.01,0.2,0.02
H,70.0,12.65,7.47,-11.9,8.61,0.2,0.01
H,80.0,14.07,5.27,-11.77,9.34,0.21,0.01
H,90.0,7.61,3.62,-5.31,6.55,0.23,0.01
H,100.0,1.58,3.2,1.58,3.2,0.23,0.01
Y,0.0,0.1,0.06,-0.1,0.06,0.07,0.01
Y,10.0,1.83,0.66,1.83,0.66,0.11,0.0
Y,20.0,2.01,1.78,-0.44,2.65,0.13,0.0
Y,30.0,10.37,5.15,-10.33,5.24,0.15,0.01
Y,40.0,20.27,7.85,-20.27,7.85,0.16,0.0
Y,50.0,22.59,8.52,-22.59,8.52,0.19,0.01
Y,60.0,19.07,7.09,-19.07,7.09,0.2,0.02
Y,70.0,16.55,7.38,-16.4,7.69,0.22,0.01
Y,80.0,12.06,6.92,-9.83,9.82,0.23,0.01
Y,90.0,8.07,5.99,-2.63,9.7,0.24,0.01
Y,100.0,4.52,5.74,4.52,5.74,0.24,0.01
U,0.0,0.16,0.11,-0.16,0.11,0.08,0.0
U,10.0,1.34,0.65,1.27,0.77,0.12,0.01
U,20.0,1.67,1.53,-0.5,2.21,0.14,0.01
U,30.0,10.92,8.27,-10.85,8.36,0.15,0.01
U,40.0,18.24,7.13,-18.24,7.13,0.17,0.01
U,50.0,17.12,8.16,-17.12,8.16,0.18,0.01
U,60.0,17.12,8.8,-16.77,9.45,0.2,0.01
U,70.0,15.28,9.7,-13.28,12.3,0.21,0.01
U,80.0,13.37,6.69,-11.84,9.13,0.22,0.01
U,90.0,8.26,3.43,-3.33,8.31,0.23,0.01
U,100.0,3.8,4.68,3.8,4.68,0.24,0.01
C,0.0,0.09,0.03,-0.09,0.03,0.06,0.0
C,10.0,1.93,0.42,1.93,0.42,0.11,0.0
C,20.0,1.72,1.16,0.11,2.07,0.13,0.0
C,30.0,12.4,7.71,-12.38,7.73,0.15,0.01
C,40.0,18.53,9.72,-18.53,9.72,0.16,0.01
C,50.0,23.45,11.26,-23.45,11.26,0.19,0.02
C,60.0,20.86,9.32,-20.81,9.42,0.2,0.01
C,70.0,17.4,8.96,-17.3,9.16,0.21,0.01
C,80.0,11.01,5.7,-7.31,10.02,0.22,0.01
C,90.0,8.19,2.8,-7.58,4.18,0.24,0.01
C,100.0,4.06,6.65,4.06,6.65,0.23,0.01
T,0.0,0.06,0.02,-0.06,0.02,0.06,0.01
T,10.0,1.75,0.51,1.75,0.51,0.11,0.0
T,20.0,2.37,1.6,0.05,2.86,0.13,0.0
T,30.0,13.93,6.27,-13.93,6.27,0.15,0.01
T,40.0,17.88,8.37,-17.83,8.48,0.17,0.01
T,50.0,19.08,8.41,-19.08,8.41,0.19,0.01
T,60.0,19.82,7.19,-19.82,7.19,0.19,0.01
T,70.0,14.98,7.58,-14.2,8.94,0.21,0.01
T,80.0,12.09,6.26,-11.86,6.68,0.22,0.01
T,90.0,7.95,3.03,-5.09,6.82,0.23,0.01
T,100.0,5.35,8.04,5.35,8.04,0.24,0.01
E,0.0,0.06,0.03,-0.06,0.03,0.06,0.0
E,10.0,2.11,0.44,2.11,0.44,0.11,0.0
E,20.0,1.97,1.47,1.1,2.2,0.14,0.01
E,30.0,9.14,5.61,-9.07,5.73,0.15,0.01
E,40.0,21.74,10.73,-21.74,10.73,0.16,0.0
E,50.0,19.23,9.66,-19.01,10.09,0.18,0.01
E,60.0,19.01,10.87,-19.0,10.88,0.19,0.01
E,70.0,15.76,7.88,-15.31,8.73,0.21,0.01
E,80.0,11.72,6.5,-11.5,6.89,0.22,0.01
E,90.0,8.7,3.94,-4.92,8.18,0.23,0.01
E,100.0,2.51,3.94,2.51,3.94,0.24,0.01
X,0.0,0.06,0.02,-0.06,0.02,0.07,0.0
X,10.0,2.33,0.51,2.33,0.51,0.11,0.0
X,20.0,1.69,1.17,0.95,1.83,0.13,0.0
X,30.0,8.02,5.23,-7.88,5.43,0.15,0.0
X,40.0,21.52,8.41,-21.52,8.41,0.17,0.01
X,50.0,23.26,10.19,-22.89,10.99,0.18,0.01
X,60.0,16.07,9.71,-16.07,9.71,0.2,0.01
X,70.0,18.91,8.62,-18.91,8.62,0.21,0.01
X,80.0,11.19,6.55,-9.71,8.58,0.22,0.01
X,90.0,8.83,3.88,-5.25,8.09,0.23,0.01
X,100.0,4.55,4.86,4.55,4.86,0.24,0.01
K,0.0,0.07,0.05,-0.07,0.05,0.07,0.0
K,10.0,2.02,0.57,2.02,0.57,0.12,0.01
K,20.0,1.5,1.06,0.64,1.72,0.14,0.0
K,30.0,11.53,8.09,-11.38,8.3,0.15,0.01
K,40.0,19.99,10.39,-19.99,10.39,0.16,0.01
K,50.0,21.53,9.43,-21.53,9.43,0.18,0.01
K,60.0,16.03,9.62,-14.97,11.19,0.19,0.01
K,70.0,13.2,9.01,-12.58,9.86,0.2,0.01
K,80.0,10.95,6.73,-8.87,9.3,0.22,0.01
K,90.0,5.87,3.63,-5.1,4.65,0.23,0.01
K,100.0,4.26,7.38,4.26,7.38,0.23,0.02
J,0.0,0.08,0.02,-0.08,0.02,0.06,0.0
J,10.0,2.01,0.44,2.01,0.44,0.11,0.0
J,20.0,1.71,1.2,0.06,2.09,0.13,0.01
J,30.0,14.08,9.12,-13.98,9.27,0.15,0.01
J,40.0,22.34,10.54,-22.34,10.54,0.17,0.01
J,50.0,25.55,10.39,-25.55,10.39,0.18,0.0
J,60.0,26.49,8.54,-26.49,8.54,0.19,0.01
J,70.0,20.0,8.05,-20.0,8.05,0.2,0.01
J,80.0,17.56,4.72,-17.56,4.72,0.23,0.02
J,90.0,8.87,3.78,-5.7,7.77,0.24,0.01
J,100.0,3.73,5.79,3.73,5.79,0.24,0.02
M,0.0,0.55,0.24,-0.55,0.24,0.1,0.01
M,10.0,0.67,0.51,-0.07,0.84,0.13,0.01
