negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
L,0.0,3.72,0.87,-3.72,0.87,19.89,0.34
L,10.0,2.19,0.57,-2.19,0.57,19.07,0.3
L,20.0,1.63,1.07,-1.59,1.13,18.4,0.5
L,30.0,2.0,1.42,-1.39,2.02,17.96,0.31
L,40.0,2.18,1.56,-0.74,2.58,17.75,0.44
L,50.0,2.39,1.77,-0.17,2.96,17.77,0.54
L,60.0,3.39,2.6,-0.24,4.27,17.47,0.57
L,70.0,5.42,3.35,1.79,6.12,17.3,0.62
L,80.0,5.21,4.02,1.6,6.38,17.11,0.83
L,90.0,5.79,4.15,1.99,6.84,17.31,0.74
L,100.0,6.35,5.33,6.35,5.33,17.39,0.87
D,0.0,3.93,0.65,-3.93,0.65,19.2,0.79
D,10.0,2.23,0.94,-2.23,0.94,18.76,0.2
D,20.0,2.29,1.08,-2.15,1.34,18.34,0.42
D,30.0,2.26,1.45,-1.28,2.37,17.96,0.26
D,40.0,1.78,1.26,-0.88,1.99,17.68,0.51
D,50.0,4.05,2.56,0.37,4.78,17.68,0.5
D,60.0,3.25,2.72,1.55,3.94,17.65,0.71
D,70.0,4.26,3.56,0.81,5.49,17.31,0.71
D,80.0,4.36,3.37,0.26,5.5,17.1,0.83
D,90.0,6.59,6.67,4.88,8.01,17.24,0.81
D,100.0,5.85,4.57,5.85,4.57,17.45,0.76
H,0.0,5.99,1.35,-5.99,1.35,19.23,0.43
H,10.0,3.74,0.88,-3.74,0.88,18.83,0.47
H,20.0,4.1,1.17,-4.1,1.17,18.41,0.53
H,30.0,3.09,2.17,-2.8,2.53,18.37,0.81
H,40.0,3.49,2.83,-2.46,3.76,17.95,0.55
H,50.0,3.65,2.25,-2.85,3.21,17.79,0.62
H,60.0,4.63,2.91,-1.28,5.32,17.76,0.56
H,70.0,4.73,3.58,-0.81,5.87,17.44,0.67
H,80.0,6.76,4.03,-1.04,7.8,17.47,0.67
H,90.0,5.37,3.93,2.29,6.25,17.91,1.17
H,100.0,4.69,4.36,4.69,4.36,17.62,0.92
Y,0.0,7.23,1.05,-7.23,1.05,17.99,0.52
Y,10.0,3.69,1.12,-3.69,1.12,18.2,0.31
Y,20.0,2.73,1.6,-2.69,1.67,17.94,0.29
Y,30.0,2.52,1.85,-2.44,1.96,17.61,0.42
Y,40.0,2.76,2.54,-1.86,3.26,17.32,0.47
Y,50.0,3.93,3.4,-1.35,5.02,16.99,0.56
Y,60.0,3.92,2.85,-2.09,4.38,17.38,0.83
Y,70.0,5.58,3.22,-4.18,4.9,17.16,0.75
Y,80.0,5.79,5.57,0.5,8.02,17.33,0.95
Y,90.0,7.06,5.17,3.22,8.14,17.21,0.88
Y,100.0,8.39,5.97,8.39,5.97,17.43,0.77
U,0.0,6.3,1.05,-6.3,1.05,18.55,0.31
U,10.0,3.67,1.13,-3.67,1.13,18.44,0.23
U,20.0,2.79,1.41,-2.79,1.41,18.27,0.31
U,30.0,2.73,1.94,-2.11,2.61,18.34,0.49
U,40.0,2.37,2.01,-1.43,2.76,18.05,0.43
