negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
L,0.0,1.35,0.0,-1.35,0.0,3.14,0.42
L,10.0,1.58,0.87,1.58,0.87,2.84,0.11
L,20.0,1.54,1.2,1.15,1.58,2.65,0.07
L,30.0,1.52,1.28,1.24,1.56,2.7,0.07
L,40.0,2.24,1.45,2.02,1.73,2.81,0.11
L,50.0,2.62,2.08,1.69,2.89,2.88,0.13
L,60.0,2.21,2.06,1.24,2.76,2.98,0.17
L,70.0,2.7,2.39,1.25,3.38,3.37,0.35
L,80.0,3.34,2.57,0.79,4.14,3.46,0.18
L,90.0,38.03,36.12,38.03,36.12,2.87,0.59
L,100.0,77.73,33.62,77.73,33.62,2.54,0.3
D,0.0,1.35,0.0,-1.35,0.0,3.24,0.18
D,10.0,1.26,0.47,1.01,0.89,3.23,0.17
D,20.0,2.36,1.42,2.2,1.66,3.36,0.21
D,30.0,1.98,1.7,1.98,1.7,3.17,0.19
D,40.0,2.01,1.93,1.47,2.37,2.97,0.31
D,50.0,1.97,1.93,0.62,2.69,3.32,0.19
D,60.0,2.78,1.97,0.96,3.27,3.11,0.27
D,70.0,2.68,2.15,0.72,3.36,3.42,0.15
D,80.0,4.16,6.5,1.1,7.64,3.23,0.23
D,90.0,46.76,37.22,46.76,37.22,2.55,0.37
D,100.0,67.22,36.54,67.22,36.54,2.65,0.36
H,0.0,1.35,0.0,-1.35,0.0,3.66,0.24
H,10.0,1.1,0.11,-0.03,1.11,3.49,0.2
H,20.0,1.28,0.79,0.09,1.5,3.18,0.34
H,30.0,1.53,1.09,-0.49,1.81,3.5,0.23
H,40.0,2.07,1.29,-0.91,2.27,3.53,0.24
H,50.0,2.37,1.86,-0.59,2.95,3.3,0.43
H,60.0,3.13,1.68,-1.82,3.05,3.52,0.19
H,70.0,4.21,4.31,-0.08,6.02,3.38,0.34
H,80.0,10.49,10.47,9.28,11.56,3.35,0.28
H,90.0,49.02,35.8,49.02,35.8,2.78,0.38
H,100.0,84.41,28.48,84.41,28.48,2.4,0.3
Y,0.0,1.35,0.0,-1.35,0.0,3.48,0.18
Y,10.0,1.09,0.08,-0.33,1.04,3.37,0.15
Y,20.0,1.18,0.76,-0.68,1.22,3.22,0.2
Y,30.0,1.02,0.8,-0.67,1.11,3.48,0.13
Y,40.0,1.8,1.22,-1.08,1.89,3.34,0.27
Y,50.0,2.07,1.61,-1.1,2.39,3.35,0.34
Y,60.0,2.82,3.33,-0.9,4.27,3.38,0.2
Y,70.0,5.06,6.0,0.08,7.85,3.2,0.23
Y,80.0,12.11,9.05,9.39,11.85,3.14,0.25
Y,90.0,41.84,33.44,41.84,33.44,2.57,0.38
Y,100.0,72.34,36.15,72.34,36.15,2.61,0.38
U,0.0,1.35,0.0,-1.35,0.0,3.38,0.18
U,10.0,1.1,0.09,-0.24,1.07,3.34,0.16
U,20.0,1.2,0.94,-0.6,1.4,3.26,0.14
U,30.0,1.2,0.99,-0.52,1.47,3.23,0.18
U,40.0,1.54,1.33,-0.74,1.89,3.32,0.23
U,50.0,2.52,1.83,-1.7,2.61,3.17,0.3
U,60.0,2.42,1.34,-1.58,2.27,3.5,0.19
U,70.0,3.61,2.28,-3.04,3.0,3.41,0.15
U,80.0,8.19,7.77,4.63,10.3,3.18,0.28
U,90.0,48.08,36.07,48.08,36.07,2.66,0.34
U,100.0,86.56,27.8,86.56,27.8,2.51,0.29
C,0.0,1.35,0.0,-1.35,0.0,3.29,0.21
C,10.0,1.27,0.45,1.18,0.63,3.24,0.24
C,20.0,1.24,0.75,0.74,1.24,3.56,0.2
C,30.0,1.46,0.94,0.9,1.49,3.23,0.36
C,40.0,1.81,1.32,1.37,1.78,3.34,0.27
C,50.0,1.75,1.45,0.65,2.18,3.44,0.34
C,60.0,2.28,2.52,1.64,2.98,3.47,0.18
C,70.0,2.49,1.41,-0.66,2.78,3.57,0.25
C,80.0,2.35,1.8,-1.48,2.56,3.56,0.28
C,90.0,42.65,36.03,42.65,36.03,2.98,0.45
C,100.0,80.84,32.04,80.84,32.04,2.52,0.32
T,0.0,1.35,0.0,-1.35,0.0,3.28,0.2
T,10.0,1.15,0.1,0.67,0.94,3.48,0.15
T,20.0,1.31,0.72,0.61,1.36,3.37,0.2
T,30.0,1.34,1.13,0.22,1.74,3.13,0.25
T,40.0,1.36,0.99,0.57,1.58,3.21,0.21
T,50.0,1.77,1.12,-0.09,2.1,3.59,0.22
T,60.0,1.67,1.29,0.01,2.12,3.51,0.29
T,70.0,2.35,1.82,-0.83,2.86,3.58,0.18
T,80.0,5.34,6.16,0.66,8.13,3.38,0.21
T,90.0,33.15,31.46,33.15,31.46,2.74,0.42
T,100.0,70.36,35.91,70.36,35.91,2.64,0.41
E,0.0,1.35,0.0,-1.35,0.0,3.21,0.21
E,10.0,1.56,0.87,1.47,1.0,3.17,0.27
E,20.0,2.13,1.35,1.91,1.65,3.22,0.21
E,30.0,1.81,1.06,1.62,1.33,3.09,0.2
