negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
L,0.0,0.0,0.0,0.0,0.0,0.17,0.02
L,10.0,0.98,0.78,-0.02,1.26,0.22,0.01
L,20.0,2.04,1.39,-0.16,2.46,0.24,0.01
L,30.0,1.78,1.44,-0.26,2.27,0.24,0.01
L,40.0,2.52,2.41,0.08,3.49,0.24,0.01
L,50.0,2.9,2.12,-1.09,3.42,0.24,0.02
L,60.0,3.93,2.64,-1.67,4.44,0.25,0.01
L,70.0,4.9,3.47,-1.95,5.68,0.17,0.03
L,80.0,5.03,2.75,-1.74,5.47,0.23,0.04
L,90.0,6.47,3.76,-0.05,7.48,0.17,0.02
L,100.0,2.67,3.87,2.67,3.87,0.22,0.01
D,0.0,0.0,0.0,0.0,0.0,0.24,0.02
D,10.0,1.11,0.71,0.08,1.32,0.25,0.01
D,20.0,2.15,1.56,-0.83,2.53,0.23,0.03
D,30.0,2.62,1.95,-1.62,2.84,0.25,0.01
D,40.0,2.88,2.22,-0.72,3.56,0.25,0.01
D,50.0,4.1,3.45,-0.98,5.27,0.24,0.01
D,60.0,4.09,2.45,-0.6,4.73,0.23,0.0
D,70.0,4.93,3.07,-1.4,5.64,0.23,0.0
D,80.0,5.8,3.52,-1.37,6.64,0.24,0.02
D,90.0,6.04,3.97,-0.96,7.17,0.25,0.01
D,100.0,2.84,4.33,2.84,4.33,0.23,0.01
H,0.0,0.03,0.1,-0.03,0.1,0.22,0.0
H,10.0,1.08,0.76,-0.61,1.17,0.22,0.01
H,20.0,1.64,1.15,-0.18,1.99,0.22,0.02
H,30.0,2.44,1.79,-0.58,2.98,0.21,0.03
H,40.0,2.71,2.14,-0.14,3.45,0.17,0.02
H,50.0,4.56,2.89,-0.67,5.36,0.2,0.04
H,60.0,3.5,2.24,-0.97,4.04,0.16,0.01
H,70.0,6.0,5.1,-2.3,7.53,0.22,0.02
H,80.0,4.79,3.58,-0.88,5.91,0.22,0.01
H,90.0,5.16,3.23,-1.63,5.87,0.18,0.03
H,100.0,2.35,3.45,2.35,3.45,0.17,0.01
Y,0.0,0.0,0.0,0.0,0.0,0.23,0.02
Y,10.0,0.68,0.51,-0.18,0.83,0.21,0.03
Y,20.0,2.0,1.55,0.25,2.52,0.22,0.04
Y,30.0,2.41,1.24,-0.03,2.71,0.16,0.01
Y,40.0,3.56,3.31,-1.73,4.54,0.16,0.01
Y,50.0,3.73,2.52,-1.25,4.32,0.2,0.04
Y,60.0,4.62,2.94,-0.27,5.47,0.18,0.03
Y,70.0,4.49,3.61,-1.49,5.56,0.21,0.02
Y,80.0,5.86,4.56,-1.6,7.25,0.2,0.04
Y,90.0,6.25,4.55,-0.32,7.72,0.22,0.04
Y,100.0,1.0,1.65,1.0,1.65,0.22,0.03
U,0.0,1.13,0.83,-1.13,0.83,0.17,0.02
U,10.0,1.7,1.23,-1.24,1.7,0.23,0.03
U,20.0,2.36,1.8,-1.14,2.73,0.23,0.02
U,30.0,2.88,2.24,-2.09,2.99,0.2,0.02
U,40.0,3.5,2.4,-1.26,4.06,0.25,0.01
U,50.0,4.96,3.4,-1.99,5.67,0.23,0.01
U,60.0,6.06,3.58,-2.14,6.7,0.19,0.03
U,70.0,5.48,2.98,-2.03,5.9,0.2,0.03
U,80.0,5.27,3.23,-2.78,5.52,0.22,0.02
U,90.0,5.43,2.99,-0.71,6.16,0.2,0.03
U,100.0,1.34,2.5,1.34,2.5,0.21,0.03
C,0.0,0.0,0.0,0.0,0.0,0.19,0.03
C,10.0,1.28,0.65,-0.29,1.4,0.16,0.01
C,20.0,2.05,1.69,-1.0,2.46,0.18,0.02
C,30.0,1.84,1.52,-0.28,2.37,0.2,0.03
C,40.0,2.57,2.0,-0.34,3.24,0.17,0.03
C,50.0,3.25,2.24,-0.73,3.88,0.18,0.04
C,60.0,4.3,2.89,-1.43,4.98,0.19,0.03
C,70.0,5.05,3.32,-1.58,5.83,0.19,0.03
C,80.0,7.3,5.32,-2.52,8.67,0.16,0.01
C,90.0,5.27,4.11,-1.28,6.56,0.16,0.01
C,100.0,3.35,4.74,3.35,4.74,0.23,0.02
T,0.0,0.0,0.0,0.0,0.0,0.24,0.05
T,10.0,1.06,0.71,0.09,1.28,0.28,0.01
T,20.0,1.04,0.74,-0.23,1.26,0.26,0.04
T,30.0,2.03,1.54,-0.61,2.48,0.17,0.01
T,40.0,2.69,2.41,-0.77,3.53,0.2,0.03
T,50.0,3.8,2.36,-0.39,4.46,0.21,0.02
T,60.0,4.16,2.55,-1.89,4.49,0.22,0.01
T,70.0,4.84,4.52,-1.96,6.32,0.23,0.01
T,80.0,5.29,3.81,-1.99,6.21,0.23,0.01
T,90.0,5.21,3.25,-2.3,5.69,0.23,0.03
T,100.0,1.41,2.82,1.41,2.82,0.22,0.0
E,0.0,0.0,0.0,0.0,0.0,0.22,0.0
E,10.0,1.04,0.96,-0.29,1.39,0.22,0.0
E,20.0,1.64,1.28,-0.57,2.0,0.22,0.0
E,30.0,2.25,1.66,-0.55,2.74,0.22,0.0
E,40.0,2.9,1.84,-1.46,3.1,0.23,0.01
E,50.0,3.26,3.19,-1.16,4.41,0.24,0.02
E,60.0,4.05,3.47,-1.0,5.24,0.26,0.01
E,70.0,6.09,4.55,-1.5,7.45,0.25,0.01
E,80.0,4.85,3.6,-1.85,5.75,0.24,0.02
