negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
L,0.0,0.0,0.0,0.0,0.0,0.07,0.0
L,10.0,1.27,0.74,0.08,1.47,0.07,0.0
L,20.0,2.36,1.39,0.39,2.71,0.07,0.0
L,30.0,3.1,2.42,-0.26,3.92,0.07,0.0
L,40.0,2.72,2.7,-0.46,3.81,0.07,0.0
L,50.0,3.88,2.75,0.2,4.75,0.07,0.0
L,60.0,5.4,3.08,-0.81,6.16,0.07,0.0
L,70.0,4.48,4.25,-0.93,6.1,0.07,0.01
L,80.0,5.95,3.89,0.01,7.11,0.07,0.0
L,90.0,3.55,3.01,1.03,4.54,0.07,0.0
L,100.0,3.76,5.26,3.76,5.26,0.07,0.0
D,0.0,0.0,0.0,0.0,0.0,0.08,0.01
D,10.0,1.01,1.0,0.38,1.37,0.07,0.0
D,20.0,1.94,1.26,-0.35,2.29,0.07,0.0
D,30.0,2.88,2.17,-0.58,3.56,0.07,0.0
D,40.0,3.03,2.43,-0.25,3.87,0.07,0.0
D,50.0,2.96,2.17,-1.09,3.51,0.08,0.0
D,60.0,5.02,3.77,0.95,6.2,0.08,0.0
D,70.0,6.1,3.0,-0.71,6.76,0.08,0.0
D,80.0,5.07,4.59,-1.14,6.74,0.08,0.0
D,90.0,6.02,3.98,-0.1,7.22,0.07,0.0
D,100.0,4.58,6.6,4.58,6.6,0.08,0.0
H,0.0,0.0,0.0,0.0,0.0,0.08,0.0
H,10.0,1.27,0.94,-0.15,1.57,0.08,0.0
H,20.0,2.06,1.27,-0.07,2.42,0.08,0.01
H,30.0,2.31,2.08,0.13,3.11,0.08,0.0
H,40.0,2.81,2.69,-0.17,3.89,0.08,0.0
H,50.0,4.03,2.76,0.73,4.82,0.08,0.0
H,60.0,4.11,3.76,0.02,5.57,0.08,0.0
H,70.0,4.22,3.16,-0.27,5.26,0.08,0.01
H,80.0,4.14,4.5,-1.83,5.84,0.07,0.0
H,90.0,5.79,4.13,-0.55,7.09,0.07,0.0
H,100.0,3.67,4.22,3.67,4.22,0.07,0.0
Y,0.0,0.0,0.0,0.0,0.0,0.07,0.0
Y,10.0,0.94,0.79,-0.16,1.22,0.07,0.0
Y,20.0,1.75,1.28,0.24,2.16,0.07,0.0
Y,30.0,2.35,1.69,0.01,2.89,0.07,0.0
Y,40.0,2.58,1.73,-0.06,3.11,0.07,0.0
Y,50.0,4.79,2.95,-0.9,5.56,0.07,0.0
Y,60.0,4.42,3.81,-0.05,5.84,0.07,0.0
Y,70.0,3.97,3.41,0.33,5.22,0.07,0.0
Y,80.0,7.52,4.04,0.72,8.51,0.07,0.0
Y,90.0,3.44,1.89,-0.71,3.86,0.07,0.0
Y,100.0,3.72,7.59,3.72,7.59,0.08,0.0
U,0.0,0.04,0.15,-0.04,0.15,0.08,0.01
U,10.0,1.06,0.86,-0.18,1.35,0.08,0.0
U,20.0,1.95,1.37,-0.5,2.33,0.07,0.0
U,30.0,3.0,2.67,-0.82,3.93,0.08,0.0
U,40.0,2.64,1.61,0.02,3.09,0.08,0.01
U,50.0,3.99,3.43,-0.81,5.2,0.08,0.0
U,60.0,3.79,2.51,-0.53,4.51,0.08,0.0
U,70.0,5.77,3.64,-0.09,6.82,0.08,0.0
