negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
L,0.0,0.0,0.0,0.0,0.0,0.07,0.0
L,10.0,0.87,0.52,-0.45,0.9,0.07,0.01
L,20.0,1.56,1.32,-0.09,2.04,0.07,0.0
L,30.0,2.56,1.86,-0.1,3.17,0.07,0.0
L,40.0,2.3,1.66,-0.09,2.83,0.07,0.0
L,50.0,4.21,3.76,0.01,5.65,0.07,0.0
L,60.0,4.51,3.66,-0.66,5.77,0.07,0.0
L,70.0,4.64,2.65,-1.08,5.24,0.07,0.0
L,80.0,4.39,3.77,0.04,5.79,0.07,0.0
L,90.0,5.85,3.84,-0.33,7.0,0.07,0.0
L,100.0,3.44,5.53,3.44,5.53,0.07,0.0
D,0.0,0.0,0.0,0.0,0.0,0.07,0.0
D,10.0,1.07,0.68,-0.57,1.14,0.07,0.0
D,20.0,2.2,1.3,0.38,2.53,0.07,0.0
D,30.0,2.87,1.84,-0.03,3.41,0.07,0.0
D,40.0,3.18,2.38,-0.03,3.97,0.07,0.0
D,50.0,3.49,2.61,-0.59,4.32,0.07,0.0
D,60.0,4.65,3.42,-0.96,5.7,0.07,0.0
D,70.0,5.12,4.65,-0.25,6.91,0.07,0.0
D,80.0,7.52,5.23,0.46,9.14,0.07,0.0
D,90.0,6.72,3.54,1.27,7.49,0.07,0.0
D,100.0,3.56,4.11,3.56,4.11,0.07,0.0
H,0.0,0.0,0.0,0.0,0.0,0.07,0.0
H,10.0,1.17,0.77,0.09,1.4,0.07,0.0
H,20.0,1.67,1.07,0.15,1.97,0.07,0.0
H,30.0,2.4,1.72,0.33,2.93,0.07,0.0
H,40.0,3.14,2.81,-0.22,4.21,0.07,0.01
H,50.0,2.87,1.89,-0.84,3.33,0.07,0.0
H,60.0,4.98,2.62,0.42,5.61,0.07,0.0
H,70.0,5.27,4.25,-0.59,6.74,0.07,0.0
H,80.0,6.67,4.3,-0.04,7.93,0.07,0.0
H,90.0,5.61,3.47,-0.77,6.55,0.07,0.01
H,100.0,3.14,4.25,3.14,4.25,0.07,0.0
Y,0.0,0.0,0.0,0.0,0.0,0.07,0.0
Y,10.0,0.82,0.65,0.05,1.04,0.07,0.0
Y,20.0,1.78,1.24,-0.55,2.1,0.07,0.0
Y,30.0,1.67,1.39,0.03,2.17,0.07,0.0
Y,40.0,3.13,2.29,-0.36,3.87,0.07,0.01
Y,50.0,3.61,2.57,-1.03,4.31,0.07,0.0
Y,60.0,4.18,3.58,-0.46,5.48,0.07,0.0
Y,70.0,3.69,3.01,-0.57,4.73,0.07,0.0
Y,80.0,6.18,4.32,-0.29,7.54,0.07,0.0
Y,90.0,6.16,3.65,0.68,7.13,0.07,0.0
Y,100.0,4.19,6.29,4.19,6.29,0.07,0.0
U,0.0,1.85,1.37,-1.85,1.37,0.07,0.0
U,10.0,2.54,1.73,-2.42,1.89,0.07,0.0
U,20.0,2.82,1.78,-2.06,2.62,0.07,0.0
U,30.0,2.89,2.49,-1.47,3.52,0.07,0.0
U,40.0,3.4,3.05,-1.04,4.44,0.07,0.0
U,50.0,4.44,3.41,-1.73,5.33,0.07,0.0
U,60.0,4.56,4.44,-0.47,6.34,0.07,0.0
U,70.0,5.44,4.05,-1.08,6.7,0.07,0.0
U,80.0,5.88,5.28,-0.71,7.87,0.07,0.0
U,90.0,5.24,3.61,-0.09,6.36,0.07,0.01
U,100.0,3.44,4.31,3.44,4.31,0.07,0.0
C,0.0,0.17,0.26,-0.17,0.26,0.07,0.0
C,10.0,1.46,1.04,-0.3,1.76,0.07,0.0
C,20.0,1.74,1.42,-0.39,2.21,0.07,0.0
C,30.0,2.11,1.67,-0.85,2.56,0.07,0.01
C,40.0,3.56,2.67,0.6,4.41,0.07,0.0
C,50.0,4.19,2.71,0.13,4.99,0.07,0.0
C,60.0,3.53,2.4,-0.1,4.27,0.07,0.0
C,70.0,4.84,4.39,-0.23,6.53,0.07,0.0
C,80.0,3.87,2.98,0.25,4.87,0.07,0.0
C,90.0,5.79,3.83,0.3,6.93,0.07,0.0
C,100.0,3.01,4.67,3.01,4.67,0.07,0.0
T,0.0,0.01,0.05,-0.01,0.05,0.07,0.0
T,10.0,1.11,0.91,-0.42,1.37,0.07,0.0
T,20.0,1.68,0.93,-0.21,1.91,0.07,0.01
T,30.0,2.15,1.54,0.23,2.63,0.07,0.0
T,40.0,2.86,2.57,-0.42,3.82,0.07,0.0
T,50.0,3.83,2.71,0.89,4.61,0.07,0.0
T,60.0,4.85,3.79,-0.64,6.12,0.07,0.0
T,70.0,4.52,3.54,-0.23,5.74,0.07,0.01
T,80.0,5.98,4.8,-1.28,7.56,0.07,0.0
T,90.0,6.54,4.24,-0.7,7.76,0.07,0.0
T,100.0,3.14,4.8,3.14,4.8,0.07,0.0
E,0.0,0.0,0.0,0.0,0.0,0.07,0.0
E,10.0,1.1,0.88,-0.3,1.38,0.07,0.0
E,20.0,1.64,1.07,0.06,1.96,0.07,0.0
E,30.0,2.74,2.07,-0.16,3.43,0.07,0.0
E,40.0,3.73,2.41,-0.61,4.4,0.07,0.0
E,50.0,3.75,2.77,0.12,4.66,0.07,0.0
E,60.0,4.74,3.33,-0.15,5.79,0.07,0.0
E,70.0,5.25,3.72,0.12,6.43,0.07,0.0
E,80.0,6.11,5.01,-0.16,7.9,0.07,0.0
E,90.0,5.16,3.65,-0.9,6.26,0.07,0.0
E,100.0,4.85,6.8,4.85,6.8,0.07,0.0
X,0.0,0.0,0.0,0.0,0.0,0.07,0.0
X,10.0,1.14,1.03,-0.24,1.52,0.07,0.0
X,20.0,2.16,1.43,-0.27,2.57,0.07,0.0
X,30.0,1.85,1.52,-0.01,2.39,0.07,0.0
X,40.0,2.87,2.32,-0.65,3.63,0.07,0.0
X,50.0,4.61,3.71,1.04,5.83,0.07,0.0
X,60.0,3.56,2.77,-1.71,4.17,0.07,0.0
X,70.0,4.68,3.31,0.11,5.73,0.07,0.01
X,80.0,3.8,3.26,-0.33,4.99,0.07,0.0
