negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
L,0.0,21.25,1.06,-21.25,1.06,60.58,3.74
L,10.0,18.38,1.65,-18.38,1.65,60.53,3.19
L,20.0,16.08,3.07,-16.08,3.07,60.13,4.02
L,30.0,14.48,2.3,-14.48,2.3,60.41,3.06
L,40.0,10.69,4.55,-10.13,5.69,61.56,3.81
L,50.0,9.8,2.67,-5.85,8.31,61.03,4.65
L,60.0,7.84,3.48,-3.28,7.93,60.43,2.96
L,70.0,8.23,5.19,-3.64,9.02,60.93,4.56
L,80.0,9.1,10.52,3.91,13.35,60.89,4.6
L,90.0,9.25,12.36,4.18,14.86,60.02,3.02
L,100.0,8.85,15.15,8.85,15.15,60.41,4.42
D,0.0,21.42,0.85,-21.42,0.85,60.23,3.14
D,10.0,19.15,1.62,-19.15,1.62,60.52,3.89
D,20.0,16.75,1.28,-16.75,1.28,61.28,4.23
D,30.0,14.02,3.18,-14.02,3.18,61.1,2.87
D,40.0,10.95,3.55,-10.26,5.22,61.71,4.47
D,50.0,9.98,2.46,-5.89,8.42,59.76,3.73
D,60.0,8.55,4.18,-4.72,8.26,60.47,4.88
D,70.0,7.73,6.94,-2.71,10.03,61.25,4.91
D,80.0,7.28,6.61,-1.88,9.65,60.8,3.49
D,90.0,8.92,10.12,0.19,13.49,60.23,3.62
D,100.0,7.58,15.66,7.58,15.66,60.03,2.27
H,0.0,22.96,0.8,-22.96,0.8,59.92,3.47
H,10.0,19.51,2.17,-19.51,2.17,60.88,3.46
H,20.0,16.41,4.44,-16.41,4.44,61.16,3.49
H,30.0,15.05,4.25,-15.05,4.25,60.23,4.18
H,40.0,13.35,3.91,-12.93,5.12,60.74,3.81
H,50.0,11.77,3.04,-7.45,9.61,60.02,3.12
H,60.0,11.21,6.11,-3.65,12.23,60.22,3.65
H,70.0,7.58,4.5,-5.67,6.75,59.79,3.58
H,80.0,7.26,8.45,2.13,10.94,59.97,3.18
H,90.0,9.95,13.46,2.95,16.48,60.43,3.68
H,100.0,6.51,11.24,6.51,11.24,59.83,2.98
Y,0.0,21.97,0.95,-21.97,0.95,61.02,3.29
Y,10.0,19.36,1.8,-19.36,1.8,60.16,2.61
Y,20.0,15.69,4.25,-15.69,4.25,60.59,3.11
Y,30.0,10.63,6.34,-10.59,6.4,61.94,3.56
Y,40.0,10.54,4.85,-8.86,7.48,60.85,3.9
Y,50.0,9.18,3.45,-5.01,8.43,62.42,4.89
Y,60.0,7.85,5.58,-3.41,9.01,61.74,4.49
Y,70.0,9.11,7.27,-2.56,11.36,61.01,3.9
Y,80.0,7.41,6.85,-2.63,9.74,60.68,3.45
Y,90.0,10.07,13.5,4.61,16.2,60.27,3.9
Y,100.0,5.19,5.64,5.19,5.64,59.77,2.92
U,0.0,22.58,1.49,-22.58,1.49,59.44,3.71
U,10.0,19.72,2.32,-19.72,2.32,59.58,3.82
U,20.0,18.31,2.75,-18.31,2.75,60.85,3.84
U,30.0,14.3,5.06,-14.3,5.06,60.17,4.39
U,40.0,12.03,4.59,-10.91,6.84,60.28,4.34
U,50.0,10.77,2.71,-6.58,8.95,59.39,2.75
U,60.0,11.01,5.55,0.15,12.33,59.39,3.2
U,70.0,9.15,8.21,-2.24,12.08,59.65,3.56
U,80.0,9.24,6.3,-5.58,9.7,61.04,3.63
U,90.0,5.66,2.94,-4.67,4.34,59.35,3.89
U,100.0,7.67,11.33,7.67,11.33,59.6,2.78
C,0.0,22.05,0.61,-22.05,0.61,59.1,2.65
C,10.0,20.05,1.54,-20.05,1.54,59.0,3.62
C,20.0,16.76,2.54,-16.76,2.54,59.4,2.14
C,30.0,13.95,4.67,-13.95,4.67,59.47,3.63
C,40.0,11.11,4.45,-10.53,5.7,61.07,4.43
C,50.0,11.05,3.43,-3.57,11.0,60.44,3.12
C,60.0,9.66,5.44,-4.27,10.23,60.02,3.37
