negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
L,0.0,1.4,0.26,-1.4,0.26,0.89,0.12
L,10.0,4.22,1.5,-4.22,1.5,0.81,0.08
L,20.0,5.32,2.67,-5.32,2.67,0.79,0.07
L,30.0,7.23,2.08,-7.23,2.08,0.8,0.08
L,40.0,7.01,2.19,-7.01,2.19,0.73,0.04
L,50.0,8.22,3.18,-8.03,3.64,0.77,0.09
L,60.0,6.37,3.67,-5.98,4.27,0.78,0.08
L,70.0,9.29,3.74,-8.7,4.96,0.78,0.08
L,80.0,7.61,3.72,-5.72,6.24,0.78,0.1
L,90.0,4.67,2.82,-3.67,4.03,0.76,0.06
L,100.0,4.61,4.36,4.61,4.36,0.78,0.07
D,0.0,1.29,0.29,-1.29,0.29,0.88,0.08
D,10.0,5.28,1.45,-5.28,1.45,0.85,0.1
D,20.0,7.51,2.93,-7.51,2.93,0.78,0.06
D,30.0,7.47,2.42,-7.47,2.42,0.76,0.07
D,40.0,7.81,2.83,-7.81,2.83,0.79,0.1
D,50.0,7.51,2.52,-7.4,2.82,0.78,0.09
D,60.0,7.64,4.0,-7.58,4.12,0.79,0.08
D,70.0,7.99,3.73,-6.65,5.79,0.81,0.08
D,80.0,6.04,3.5,-5.31,4.53,0.79,0.07
D,90.0,5.94,2.75,-4.33,4.91,0.76,0.07
D,100.0,3.42,3.08,3.42,3.08,0.76,0.07
H,0.0,4.6,1.7,-4.6,1.7,0.81,0.07
H,10.0,7.28,2.05,-7.28,2.05,0.8,0.06
H,20.0,9.27,2.62,-9.27,2.62,0.8,0.14
H,30.0,10.41,3.42,-10.41,3.42,0.75,0.05
H,40.0,9.7,3.43,-9.62,3.65,0.75,0.04
H,50.0,10.41,3.5,-10.41,3.5,0.76,0.09
H,60.0,8.36,4.39,-8.32,4.47,0.78,0.1
H,70.0,8.58,4.81,-7.8,5.99,0.8,0.08
H,80.0,9.45,5.4,-8.62,6.63,0.72,0.04
