negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
F,0.0,0.0,0.0,0.0,0.0,18.33,0.25
F,10.0,1.17,0.84,-0.14,1.43,18.02,0.27
F,20.0,1.52,0.79,-0.01,1.71,17.63,0.28
F,30.0,1.65,1.35,-0.38,2.1,17.02,0.47
F,40.0,2.65,2.68,0.95,3.64,16.95,0.39
F,50.0,3.27,2.02,0.98,3.72,17.01,0.58
F,60.0,3.39,2.43,0.84,4.09,17.15,0.63
F,70.0,3.9,3.02,2.37,4.33,16.44,0.57
F,80.0,5.53,4.77,3.37,6.48,16.42,0.52
F,90.0,4.7,3.9,1.91,5.81,16.45,0.59
F,100.0,5.85,4.06,5.85,4.06,16.86,0.64
O,0.0,0.79,0.44,-0.79,0.44,17.65,0.23
O,10.0,1.46,1.01,-0.97,1.48,17.75,0.36
O,20.0,2.25,1.19,-1.01,2.34,17.46,0.39
O,30.0,2.53,1.8,-0.55,3.06,17.44,0.46
O,40.0,2.31,1.38,-0.07,2.69,17.27,0.54
O,50.0,4.01,2.67,0.88,4.74,17.2,0.69
O,60.0,3.6,2.35,-0.03,4.3,16.65,0.87
O,70.0,4.12,4.45,1.33,5.91,16.8,0.57
O,80.0,3.59,2.51,0.97,4.27,16.68,0.67
O,90.0,5.74,4.91,4.16,6.31,16.49,0.76
O,100.0,7.06,4.72,7.06,4.72,16.94,0.6
I,0.0,0.0,0.0,0.0,0.0,18.05,0.46
I,10.0,0.76,0.61,-0.07,0.98,18.54,0.42
I,20.0,1.45,0.86,-0.5,1.61,17.58,0.4
I,30.0,2.15,1.25,0.32,2.47,17.31,0.32
I,40.0,2.57,2.35,0.86,3.38,17.1,0.38
I,50.0,2.86,2.41,0.96,3.61,16.99,0.38
I,60.0,3.13,2.4,2.25,3.24,17.16,0.69
I,70.0,4.46,3.17,0.86,5.4,16.67,0.68
I,80.0,4.22,4.23,3.28,5.0,16.42,0.67
I,90.0,4.49,3.6,2.02,5.39,16.87,0.83
I,100.0,7.53,4.82,7.53,4.82,17.09,0.73
H,0.0,0.05,0.11,-0.05,0.11,18.49,0.52
H,10.0,0.96,0.76,0.25,1.2,18.35,0.4
H,20.0,1.6,1.05,-0.54,1.84,17.83,0.51
H,30.0,2.26,1.66,-0.76,2.7,17.53,0.32
H,40.0,2.0,1.66,0.32,2.58,17.4,0.55
H,50.0,2.21,1.65,1.25,2.45,17.09,0.5
H,60.0,3.82,2.64,-0.03,4.64,17.33,0.73
H,70.0,2.78,2.86,1.62,3.65,17.28,0.83
H,80.0,3.83,2.85,2.84,3.84,16.75,0.7
H,90.0,5.56,2.66,2.61,5.59,16.71,0.85
H,100.0,6.32,5.26,6.32,5.26,16.97,0.66
M,0.0,0.0,0.0,0.0,0.0,17.27,0.39
M,10.0,1.05,0.83,-0.4,1.28,17.52,0.27
M,20.0,2.03,1.84,-0.85,2.6,17.19,0.32
M,30.0,2.08,1.37,-0.89,2.33,16.92,0.39
M,40.0,2.75,2.26,0.02,3.56,17.18,0.51
M,50.0,3.16,2.57,-1.34,3.85,16.68,0.42
M,60.0,3.28,2.16,-1.09,3.77,16.71,0.55
M,70.0,4.65,4.12,0.84,6.16,16.53,0.67
M,80.0,4.48,3.71,0.73,5.77,16.68,0.5
M,90.0,4.84,3.84,1.27,6.05,16.51,0.85
M,100.0,4.87,3.61,4.87,3.61,16.53,0.59
S,0.0,0.0,0.0,0.0,0.0,18.27,0.38
S,10.0,0.92,0.55,-0.28,1.04,18.23,0.45
S,20.0,1.12,0.85,-0.15,1.39,17.93,0.54
S,30.0,1.46,1.37,0.62,1.91,17.34,0.51
S,40.0,2.37,1.99,0.19,3.09,17.17,0.44
S,50.0,2.75,2.23,0.42,3.51,16.93,0.7
S,60.0,4.05,2.63,1.12,4.7,16.95,0.63
S,70.0,5.14,3.22,2.6,5.48,16.72,0.74
S,80.0,5.51,3.72,2.16,6.29,16.75,0.55
S,90.0,5.8,4.98,3.39,6.85,16.74,0.6
S,100.0,5.62,4.46,5.62,4.46,17.48,0.84
N,0.0,0.01,0.05,-0.01,0.05,18.36,0.33
N,10.0,1.1,0.64,-0.24,1.25,18.05,0.31
N,20.0,1.32,1.05,-0.29,1.66,17.6,0.41
N,30.0,3.0,2.28,-0.57,3.72,17.11,0.34
N,40.0,2.4,1.27,-0.15,2.71,16.84,0.37
N,50.0,3.74,2.78,0.76,4.6,16.83,0.53
N,60.0,4.22,3.46,1.57,5.22,16.72,0.64
N,70.0,3.44,3.1,0.6,4.59,16.65,0.7
N,80.0,4.47,2.71,-0.1,5.23,16.89,0.73
N,90.0,5.15,4.22,1.86,6.39,16.62,0.75
N,100.0,8.01,6.25,8.01,6.25,16.84,0.52
K,0.0,0.0,0.0,0.0,0.0,18.85,0.37
K,10.0,0.91,0.7,0.3,1.11,18.46,0.48
K,20.0,1.87,1.14,0.11,2.19,17.78,0.3
K,30.0,1.7,1.25,0.21,2.09,17.35,0.48
K,40.0,3.08,1.71,0.42,3.5,17.14,0.63
K,50.0,2.33,1.33,0.56,2.62,17.38,0.62
K,60.0,4.22,3.1,2.52,4.59,16.98,0.7
K,70.0,4.91,3.59,1.17,5.97,16.86,0.68
K,80.0,5.21,3.81,3.61,5.35,16.99,0.71
K,90.0,5.41,2.87,2.91,5.39,16.88,0.86
K,100.0,7.51,7.01,7.51,7.01,16.98,0.65
Q,0.0,0.0,0.0,0.0,0.0,18.5,0.19
Q,10.0,1.04,0.82,-0.25,1.3,17.99,0.26
Q,20.0,1.3,1.04,-0.35,1.63,17.51,0.39
Q,30.0,1.93,1.63,0.44,2.49,17.07,0.58
Q,40.0,1.68,1.25,0.08,2.09,16.77,0.57
Q,50.0,2.26,1.42,0.64,2.59,16.72,0.47
Q,60.0,3.58,2.61,1.42,4.19,16.45,0.53
Q,70.0,3.21,3.01,2.06,3.88,16.45,0.54
Q,80.0,5.03,4.01,1.83,6.17,16.57,0.64
Q,90.0,6.25,5.04,4.34,6.75,16.74,0.74
Q,100.0,7.09,6.86,7.09,6.86,17.03,0.93
V,0.0,0.64,0.55,-0.64,0.55,18.07,0.38
V,10.0,1.39,0.78,-0.71,1.43,17.39,0.35
V,20.0,1.74,1.39,-0.88,2.05,17.27,0.43
V,30.0,2.37,1.73,-0.71,2.84,17.08,0.41
V,40.0,2.47,1.85,-0.96,2.93,16.79,0.41
V,50.0,3.24,2.31,-1.82,3.54,16.64,0.51
V,60.0,3.38,2.18,-1.5,3.74,16.57,0.46
V,70.0,4.94,4.38,0.47,6.58,16.58,0.77
V,80.0,4.44,3.45,1.29,5.47,16.66,0.73
V,90.0,4.32,3.28,1.49,5.21,17.17,0.89
V,100.0,9.84,7.21,9.84,7.21,16.77,0.79
L,0.0,0.0,0.0,0.0,0.0,18.92,0.4
L,10.0,0.87,0.69,-0.12,1.1,18.37,0.43
L,20.0,1.33,0.97,0.65,1.52,17.35,0.39
L,30.0,1.77,1.73,0.29,2.46,17.19,0.36
L,40.0,2.26,1.7,0.29,2.81,17.02,0.44
L,50.0,1.98,1.87,1.41,2.33,16.92,0.49
L,60.0,4.03,3.06,2.2,4.56,17.26,0.63
L,70.0,3.41,2.57,0.52,4.24,16.51,0.51
L,80.0,6.41,4.47,5.19,5.84,16.44,0.67
L,90.0,4.87,4.1,2.68,5.78,16.73,0.59
L,100.0,6.41,5.52,6.41,5.52,16.81,0.73
A,0.0,0.0,0.0,0.0,0.0,18.18,0.29
A,10.0,1.29,0.83,0.18,1.53,17.81,0.33
A,20.0,1.49,1.0,-0.31,1.76,17.41,0.31
A,30.0,2.13,1.65,0.06,2.69,17.58,0.38
A,40.0,2.43,1.83,-0.21,3.03,17.13,0.49
A,50.0,3.14,2.34,2.14,3.28,16.86,0.54
A,60.0,4.15,2.15,2.25,4.09,16.78,0.53
A,70.0,4.85,3.82,1.05,6.08,16.63,0.5
A,80.0,4.17,3.1,3.15,4.13,16.91,0.74
A,90.0,5.51,4.0,4.16,5.39,17.13,0.66
A,100.0,9.01,8.09,9.01,8.09,16.77,0.68
T,0.0,0.0,0.0,0.0,0.0,18.19,0.27
T,10.0,0.9,0.75,-0.26,1.14,18.15,0.42
T,20.0,1.54,1.16,-0.34,1.9,17.53,0.27
T,30.0,1.59,1.04,0.12,1.9,17.1,0.32
T,40.0,2.02,1.21,0.34,2.33,17.01,0.37
T,50.0,3.25,2.57,1.76,3.75,16.97,0.58
T,60.0,3.04,2.32,1.25,3.61,16.67,0.69
