negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0,0.0,95.09,19.92,-95.09,19.92,0.54,0.03
0,10.0,86.86,15.69,-86.06,19.61,0.51,0.01
0,20.0,77.65,11.78,-76.05,19.59,0.52,0.01
0,30.0,70.05,0.04,-70.05,0.04,0.51,0.01
0,40.0,60.06,0.03,-60.06,0.03,0.5,0.01
0,50.0,50.03,0.03,-50.03,0.03,0.49,0.01
0,60.0,40.84,3.9,-36.05,19.6,0.5,0.02
0,70.0,30.05,0.03,-30.05,0.03,0.52,0.02
0,80.0,20.04,0.03,-20.04,0.03,0.52,0.01
0,90.0,14.35,16.33,-4.17,21.34,0.54,0.01
0,100.0,0.0,0.0,0.0,0.0,0.56,0.01
1,0.0,64.27,47.64,-64.27,47.64,0.51,0.01
1,10.0,73.79,32.53,-70.62,38.93,0.5,0.01
1,20.0,67.26,25.78,-60.8,38.63,0.49,0.01
1,30.0,59.19,19.89,-47.29,40.78,0.49,0.01
1,40.0,58.45,5.45,-52.05,27.14,0.49,0.01
1,50.0,49.95,0.32,-42.09,26.91,0.49,0.01
1,60.0,40.97,4.01,-32.57,25.17,0.49,0.01
1,70.0,30.05,0.04,-30.05,0.04,0.5,0.01
1,80.0,20.05,0.03,-20.05,0.03,0.52,0.01
1,90.0,10.05,0.04,-10.05,0.04,0.54,0.01
1,100.0,0.0,0.0,0.0,0.0,0.55,0.01
2,0.0,100.0,0.0,-100.0,0.0,0.54,0.02
2,10.0,90.05,0.04,-90.05,0.04,0.55,0.02
2,20.0,80.05,0.03,-80.05,0.03,0.53,0.01
2,30.0,70.05,0.04,-70.05,0.04,0.52,0.01
2,40.0,60.05,0.03,-60.05,0.03,0.52,0.02
2,50.0,48.13,9.26,-48.13,9.26,0.53,0.02
2,60.0,40.05,0.03,-40.05,0.03,0.5,0.02
2,70.0,30.06,0.03,-30.06,0.03,0.51,0.01
2,80.0,20.05,0.04,-20.05,0.04,0.53,0.01
2,90.0,9.72,1.58,-9.57,2.35,0.55,0.01
2,100.0,0.0,0.0,0.0,0.0,0.58,0.01
3,0.0,96.0,19.6,-96.0,19.6,0.58,0.02
3,10.0,86.85,15.71,-86.05,19.59,0.56,0.02
3,20.0,80.05,0.03,-80.05,0.03,0.55,0.01
3,30.0,70.07,0.04,-70.07,0.04,0.56,0.02
3,40.0,57.13,10.94,-53.36,23.14,0.55,0.01
3,50.0,50.04,0.05,-46.05,19.57,0.54,0.02
3,60.0,40.05,0.03,-40.05,0.03,0.54,0.01
3,70.0,30.31,1.29,-27.38,13.07,0.55,0.01
3,80.0,22.44,11.73,-16.05,19.59,0.54,0.01
3,90.0,13.24,15.56,-6.08,19.51,0.55,0.01
3,100.0,3.99,19.55,3.99,19.55,0.56,0.01
4,0.0,97.05,14.46,-97.05,14.46,0.55,0.01
4,10.0,90.05,0.04,-90.05,0.04,0.53,0.01
4,20.0,80.04,0.03,-80.04,0.03,0.51,0.01
4,30.0,70.05,0.04,-70.05,0.04,0.52,0.01
4,40.0,57.85,10.8,-57.45,12.74,0.52,0.02
4,50.0,50.03,0.03,-50.03,0.03,0.51,0.01
4,60.0,40.05,0.03,-40.05,0.03,0.51,0.01
4,70.0,30.06,0.04,-30.06,0.04,0.52,0.01
4,80.0,22.45,11.73,-16.06,19.59,0.54,0.02
4,90.0,10.06,0.03,-10.06,0.03,0.54,0.01
4,100.0,0.0,0.0,0.0,0.0,0.56,0.02
6,0.0,96.14,18.9,-96.14,18.9,0.56,0.01
6,10.0,86.84,15.74,-86.06,19.55,0.56,0.02
6,20.0,80.06,0.03,-80.06,0.03,0.55,0.02
6,30.0,70.06,0.03,-70.06,0.03,0.53,0.01
6,40.0,60.05,0.03,-60.05,0.03,0.52,0.02
6,50.0,50.02,0.03,-50.02,0.03,0.52,0.01
6,60.0,40.84,3.91,-36.04,19.6,0.52,0.02
6,70.0,30.05,0.04,-30.05,0.04,0.52,0.02
6,80.0,20.05,0.03,-20.05,0.03,0.53,0.01
6,90.0,10.05,0.03,-10.05,0.03,0.54,0.01
6,100.0,0.0,0.0,0.0,0.0,0.56,0.02
7,0.0,100.0,0.0,-100.0,0.0,0.54,0.01
7,10.0,90.06,0.03,-90.06,0.03,0.52,0.02
7,20.0,80.06,0.03,-80.06,0.03,0.51,0.01
7,30.0,70.05,0.03,-70.05,0.03,0.51,0.01
7,40.0,60.04,0.03,-60.04,0.03,0.51,0.02
7,50.0,50.04,0.03,-50.04,0.03,0.51,0.02
7,60.0,40.06,0.03,-40.06,0.03,0.5,0.01
7,70.0,30.04,0.03,-30.04,0.03,0.52,0.02
7,80.0,20.04,0.03,-20.04,0.03,0.53,0.01
7,90.0,10.06,0.03,-10.06,0.03,0.55,0.02
7,100.0,4.0,19.6,4.0,19.6,0.56,0.01
8,0.0,100.0,0.0,-100.0,0.0,0.47,0.01
8,10.0,86.85,15.69,-86.05,19.61,0.48,0.01
8,20.0,80.05,0.03,-80.05,0.03,0.48,0.02
8,30.0,68.44,7.86,-66.05,19.59,0.48,0.01
8,40.0,60.05,0.04,-60.05,0.04,0.48,0.02
8,50.0,50.03,0.03,-50.03,0.03,0.48,0.01
8,60.0,40.05,0.03,-40.05,0.03,0.49,0.01
