negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0,0.0,0.0,0.0,-0.0,0.0,0.48,0.01
0,10.0,7.92,0.38,7.92,0.38,0.46,0.02
0,20.0,12.38,1.19,12.38,1.19,0.48,0.01
0,30.0,15.24,2.69,15.24,2.69,0.54,0.02
0,40.0,15.44,6.11,15.44,6.11,0.58,0.02
0,50.0,18.35,6.7,18.22,7.05,0.62,0.02
0,60.0,11.8,8.29,9.07,11.21,0.66,0.03
0,70.0,13.4,10.29,7.28,15.24,0.69,0.02
0,80.0,16.8,8.1,0.8,18.64,0.72,0.02
0,90.0,11.72,6.38,2.75,13.06,0.73,0.02
0,100.0,6.44,9.22,6.44,9.22,0.74,0.01
1,0.0,0.0,0.0,-0.0,0.0,0.52,0.01
1,10.0,7.92,0.42,7.92,0.42,0.55,0.01
1,20.0,12.04,1.33,12.04,1.33,0.57,0.01
1,30.0,16.01,2.51,16.01,2.51,0.61,0.01
1,40.0,15.64,4.87,15.64,4.87,0.65,0.02
1,50.0,13.3,6.57,12.08,8.61,0.67,0.02
1,60.0,16.95,8.42,13.25,13.52,0.71,0.02
1,70.0,18.31,8.84,6.29,19.33,0.72,0.02
1,80.0,12.2,6.95,2.52,13.81,0.75,0.02
1,90.0,11.28,7.73,1.23,13.61,0.76,0.03
1,100.0,7.52,14.34,7.52,14.34,0.76,0.03
2,0.0,0.0,0.0,-0.0,0.0,0.4,0.01
2,10.0,8.22,0.29,8.22,0.29,0.4,0.02
2,20.0,12.59,1.53,12.59,1.53,0.41,0.01
2,30.0,16.11,2.22,16.11,2.22,0.45,0.01
2,40.0,19.86,4.92,19.86,4.92,0.51,0.01
2,50.0,19.48,6.75,19.48,6.75,0.56,0.01
2,60.0,17.61,9.05,16.27,11.29,0.62,0.03
2,70.0,12.76,6.48,5.94,13.02,0.63,0.02
2,80.0,15.76,9.06,3.28,17.88,0.68,0.01
2,90.0,13.15,8.66,6.41,14.38,0.73,0.02
2,100.0,15.26,16.94,15.26,16.94,0.75,0.03
3,0.0,0.0,0.0,-0.0,0.0,0.41,0.02
3,10.0,7.89,0.34,7.89,0.34,0.44,0.02
3,20.0,12.79,1.09,12.79,1.09,0.49,0.02
3,30.0,16.65,3.38,16.65,3.38,0.55,0.02
3,40.0,17.21,2.88,17.21,2.88,0.6,0.02
3,50.0,17.98,5.97,17.11,8.15,0.68,0.02
3,60.0,19.46,9.13,17.02,13.13,0.72,0.03
3,70.0,15.9,8.52,8.15,16.09,0.75,0.02
3,80.0,13.34,8.22,1.49,15.6,0.75,0.02
3,90.0,13.13,9.59,7.11,14.62,0.76,0.02
3,100.0,8.82,14.38,8.82,14.38,0.75,0.02
4,0.0,0.0,0.0,-0.0,0.0,0.53,0.02
4,10.0,8.03,0.38,8.03,0.38,0.55,0.02
4,20.0,12.13,1.73,12.13,1.73,0.55,0.02
4,30.0,14.29,3.05,14.29,3.05,0.57,0.02
4,40.0,15.02,4.97,15.02,4.97,0.6,0.03
4,50.0,16.45,8.11,16.04,8.9,0.61,0.02
4,60.0,15.68,8.58,9.05,15.42,0.64,0.02
4,70.0,15.39,10.49,5.08,17.92,0.66,0.02
4,80.0,16.06,8.54,-4.25,17.69,0.71,0.03
4,90.0,10.27,8.69,0.62,13.43,0.71,0.02
4,100.0,10.06,13.89,10.06,13.89,0.75,0.02
6,0.0,0.0,0.0,-0.0,0.0,0.46,0.02
6,10.0,8.05,0.3,8.05,0.3,0.44,0.02
6,20.0,13.28,1.29,13.28,1.29,0.46,0.02
6,30.0,15.63,2.98,15.63,2.98,0.54,0.08
6,40.0,15.39,4.98,15.39,4.98,0.56,0.02
6,50.0,15.85,8.24,15.85,8.24,0.61,0.02
6,60.0,15.4,7.29,14.47,9.0,0.63,0.03
6,70.0,14.25,8.3,7.75,14.56,0.67,0.02
6,80.0,15.88,9.5,0.9,18.48,0.68,0.02
6,90.0,13.96,10.34,4.08,16.89,0.72,0.02
6,100.0,6.56,10.11,6.56,10.11,0.76,0.02
7,0.0,0.0,0.0,-0.0,0.0,0.47,0.02
7,10.0,8.02,0.42,8.02,0.42,0.5,0.02
7,20.0,12.55,1.6,12.55,1.6,0.51,0.02
7,30.0,15.65,2.84,15.65,2.84,0.54,0.02
7,40.0,13.86,5.05,13.59,5.72,0.56,0.02
7,50.0,16.49,7.28,15.12,9.81,0.59,0.02
7,60.0,13.42,9.34,8.66,13.87,0.61,0.01
7,70.0,12.32,8.72,5.4,14.09,0.65,0.01
7,80.0,13.59,8.18,4.03,15.34,0.68,0.01
7,90.0,14.4,7.92,5.5,15.49,0.72,0.02
7,100.0,2.6,6.33,2.6,6.33,0.75,0.02
8,0.0,0.0,0.0,-0.0,0.0,0.6,0.02
8,10.0,7.49,0.7,7.49,0.7,0.6,0.02
8,20.0,10.54,1.91,10.54,1.91,0.61,0.03
8,30.0,12.69,3.69,12.69,3.69,0.6,0.02
8,40.0,14.35,4.46,13.47,6.65,0.61,0.01
8,50.0,12.87,5.96,9.68,10.36,0.64,0.02
8,60.0,12.42,9.77,5.54,14.8,0.65,0.02
