negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0,0.0,6.3,1.19,-6.3,1.19,107.49,2.2
0,10.0,4.04,0.66,-4.04,0.66,108.09,2.42
0,20.0,3.64,1.25,-3.64,1.25,107.34,2.07
0,30.0,2.69,1.22,-2.67,1.25,104.5,1.7
0,40.0,1.86,1.18,-1.09,1.92,101.76,1.9
0,50.0,1.77,1.36,-1.41,1.73,100.55,2.54
0,60.0,2.56,1.73,1.14,2.87,99.27,3.32
0,70.0,4.11,3.07,1.29,4.97,96.59,2.61
0,80.0,3.91,3.26,2.54,4.41,95.97,2.23
0,90.0,4.89,3.78,3.14,5.33,96.83,3.01
0,100.0,9.61,4.06,9.61,4.06,96.66,3.05
1,0.0,4.73,1.11,-4.73,1.11,104.1,1.8
1,10.0,3.95,1.09,-3.95,1.09,105.14,1.76
1,20.0,4.19,1.93,-4.17,1.98,102.63,2.31
1,30.0,4.26,2.27,-3.78,2.99,99.88,1.91
1,40.0,3.57,1.8,-2.87,2.78,97.77,2.18
1,50.0,3.01,1.84,-0.28,3.52,95.79,2.35
1,60.0,3.2,2.33,0.13,3.95,92.9,3.02
1,70.0,4.44,2.94,1.05,5.23,91.26,2.76
1,80.0,4.44,3.88,3.07,5.03,93.74,3.25
1,90.0,6.22,3.69,3.94,6.07,95.61,2.48
1,100.0,9.94,6.23,9.94,6.23,96.69,3.35
2,0.0,7.38,1.31,-7.38,1.31,91.6,2.04
2,10.0,4.73,1.26,-4.73,1.26,92.38,1.67
2,20.0,3.39,1.72,-3.35,1.79,91.33,2.8
2,30.0,3.14,1.59,-2.95,1.91,90.34,2.36
2,40.0,2.25,1.63,-0.87,2.64,89.87,2.18
2,50.0,1.93,1.28,-0.39,2.28,88.17,2.45
2,60.0,2.76,2.37,1.11,3.46,88.92,2.3
2,70.0,3.68,2.7,1.9,4.15,90.23,3.39
2,80.0,4.84,3.81,3.96,4.72,92.67,2.52
2,90.0,5.58,3.75,4.53,4.97,93.13,3.44
2,100.0,11.17,8.1,11.17,8.1,95.75,3.25
3,0.0,3.88,0.86,-3.88,0.86,97.06,2.66
3,10.0,3.17,1.3,-3.17,1.3,98.85,3.12
3,20.0,3.35,1.68,-3.34,1.71,95.71,3.25
3,30.0,2.88,2.04,-2.81,2.12,93.08,2.91
3,40.0,2.57,1.51,-2.18,2.04,92.24,2.59
3,50.0,3.04,2.11,-0.73,3.63,91.18,3.1
3,60.0,3.3,2.08,-1.11,3.73,89.42,2.38
3,70.0,4.78,3.11,2.41,5.17,91.86,2.8
3,80.0,4.11,3.01,1.08,4.98,93.71,2.53
3,90.0,7.15,4.32,5.87,5.95,94.64,2.89
3,100.0,8.06,6.09,8.06,6.09,97.3,2.86
4,0.0,3.09,1.26,-3.09,1.26,100.44,2.01
4,10.0,2.9,0.75,-2.9,0.75,100.55,2.88
4,20.0,2.59,1.13,-2.46,1.4,94.86,2.21
4,30.0,2.22,1.18,-1.82,1.73,90.44,2.21
4,40.0,2.19,1.56,-1.71,2.08,89.66,1.59
4,50.0,2.69,1.65,1.72,2.65,92.61,2.42
4,60.0,3.19,2.66,2.64,3.21,91.07,2.55
4,70.0,4.52,3.46,3.37,4.59,89.64,2.9
4,80.0,6.65,3.64,3.97,6.46,91.19,2.95
4,90.0,7.42,5.07,6.66,6.04,92.51,2.69
4,100.0,11.65,6.83,11.65,6.83,94.93,2.93
6,0.0,5.4,1.04,-5.4,1.04,96.88,2.92
6,10.0,3.97,1.46,-3.97,1.46,101.73,3.08
6,20.0,3.26,1.35,-3.13,1.65,96.56,2.56
6,30.0,2.39,1.47,-2.26,1.67,95.4,2.2
6,40.0,2.46,1.46,-1.22,2.59,94.75,2.65
6,50.0,1.98,1.65,-0.08,2.58,95.58,2.93
6,60.0,3.98,2.43,1.94,4.24,93.61,3.42
6,70.0,3.95,3.32,2.75,4.37,93.05,2.4
6,80.0,5.47,3.56,4.62,4.61,94.02,2.48
6,90.0,6.2,5.19,5.3,6.11,95.59,2.75
6,100.0,9.61,6.25,9.61,6.25,96.13,2.77
7,0.0,6.79,0.88,-6.79,0.88,91.91,1.63
7,10.0,5.31,0.93,-5.31,0.93,94.13,1.75
7,20.0,3.91,1.45,-3.91,1.45,92.52,2.36
7,30.0,3.57,1.73,-3.46,1.95,92.64,3.04
7,40.0,2.78,1.95,-1.31,3.13,97.6,2.93
7,50.0,2.78,2.27,-0.07,3.59,96.89,2.64
7,60.0,3.19,1.7,-0.85,3.51,94.57,2.92
7,70.0,3.23,2.24,0.76,3.85,94.39,2.78
7,80.0,6.58,4.73,5.29,6.14,95.96,3.73
7,90.0,6.65,3.94,5.08,5.83,97.88,3.97
7,100.0,9.96,5.42,9.96,5.42,99.09,3.2
8,0.0,12.92,1.96,-12.92,1.96,107.16,2.46
8,10.0,8.42,2.28,-8.42,2.28,105.63,2.99
8,20.0,6.42,1.4,-6.42,1.4,102.54,2.12
8,30.0,5.29,1.97,-5.12,2.38,100.98,3.41
8,40.0,4.6,2.44,-3.7,3.66,99.3,3.3
8,50.0,3.68,2.11,-3.01,2.99,97.73,3.76
8,60.0,4.02,2.65,-1.74,4.49,96.88,3.62
8,70.0,4.56,2.96,-1.32,5.27,95.59,3.99
8,80.0,5.81,4.62,2.2,7.09,96.28,3.29
8,90.0,7.22,5.53,5.62,7.15,97.61,3.61
8,100.0,10.24,5.31,10.24,5.31,98.5,3.49
9,0.0,4.75,1.56,-4.75,1.56,110.4,2.36
9,10.0,4.73,1.27,-4.73,1.27,109.62,2.81
9,20.0,3.72,1.62,-3.67,1.72,103.06,2.95
9,30.0,4.3,2.48,-3.9,3.07,98.87,3.06
9,40.0,3.09,2.16,-2.29,3.0,97.7,2.79
9,50.0,4.23,2.72,-1.95,4.63,95.18,3.62
9,60.0,4.42,3.01,-0.04,5.35,93.19,3.4
9,70.0,4.74,2.92,0.75,5.51,117.59,36.57
9,80.0,6.36,4.99,3.03,7.5,106.86,13.52
9,90.0,7.98,6.19,5.84,8.24,146.61,26.09
9,100.0,8.54,4.77,8.54,4.77,140.1,11.04
