negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0,0.0,4.04,0.48,-4.04,0.48,7.66,2.05
0,10.0,1.97,1.08,1.97,1.08,7.58,1.92
0,20.0,4.04,1.58,4.04,1.58,7.6,1.76
0,30.0,4.28,1.97,4.28,1.97,7.64,1.98
0,40.0,6.15,2.71,6.15,2.71,7.92,2.05
0,50.0,9.57,2.92,9.57,2.92,7.9,1.91
0,60.0,11.04,3.76,11.04,3.76,7.75,2.15
0,70.0,14.8,4.21,14.8,4.21,7.68,1.99
0,80.0,22.48,5.2,22.48,5.2,7.96,2.29
0,90.0,36.98,5.83,36.98,5.83,8.12,2.07
0,100.0,77.71,19.07,77.71,19.07,6.36,2.18
1,0.0,3.94,0.0,-3.94,0.0,8.45,2.29
1,10.0,1.47,0.77,1.32,1.01,7.92,2.09
1,20.0,3.64,1.33,3.64,1.33,7.91,1.93
1,30.0,5.21,2.34,5.21,2.34,7.93,2.1
1,40.0,6.25,2.35,6.25,2.35,7.87,2.07
1,50.0,8.33,2.56,8.33,2.56,8.15,1.93
1,60.0,12.4,2.88,12.4,2.88,7.92,2.29
1,70.0,15.39,4.07,15.39,4.07,7.94,2.3
1,80.0,23.86,5.83,23.86,5.83,8.01,2.33
1,90.0,38.11,7.99,38.11,7.99,7.74,1.82
1,100.0,79.54,17.67,79.54,17.67,6.18,1.89
2,0.0,3.94,0.0,-3.94,0.0,8.16,1.91
2,10.0,1.77,1.0,1.77,1.0,7.51,1.96
2,20.0,3.18,1.23,3.18,1.23,7.45,1.79
2,30.0,4.08,1.9,4.08,1.9,7.5,1.94
2,40.0,6.29,2.27,6.29,2.27,7.45,2.05
2,50.0,7.54,2.34,7.54,2.34,7.26,1.71
2,60.0,9.53,2.8,9.53,2.8,7.76,1.93
2,70.0,14.44,5.13,14.44,5.13,8.0,1.69
2,80.0,21.81,5.09,21.81,5.09,7.5,2.15
2,90.0,35.34,4.61,35.34,4.61,8.12,2.07
2,100.0,79.52,15.4,79.52,15.4,6.47,1.61
3,0.0,6.4,0.0,-6.4,0.0,8.52,1.89
3,10.0,1.55,0.89,1.15,1.37,7.23,2.09
3,20.0,1.92,1.37,1.72,1.61,7.69,2.09
3,30.0,1.84,1.74,1.39,2.12,7.54,1.91
3,40.0,2.83,2.37,2.2,2.95,7.71,1.72
3,50.0,3.44,2.47,3.02,2.97,8.29,2.31
3,60.0,6.51,5.18,6.43,5.28,8.44,1.92
3,70.0,15.43,3.58,15.43,3.58,7.93,2.18
3,80.0,20.12,4.79,20.12,4.79,8.3,1.95
3,90.0,38.08,10.67,38.08,10.67,8.14,2.02
3,100.0,76.16,18.38,76.16,18.38,6.56,1.96
4,0.0,6.4,0.0,-6.4,0.0,8.02,1.97
4,10.0,1.47,0.78,1.22,1.13,7.35,1.97
4,20.0,1.62,1.11,0.99,1.7,7.55,1.95
4,30.0,4.26,1.41,4.26,1.41,7.85,2.03
4,40.0,6.63,2.2,6.63,2.2,7.5,2.15
4,50.0,7.73,3.17,7.73,3.17,7.68,1.94
4,60.0,11.45,2.89,11.45,2.89,7.56,2.22
4,70.0,13.66,4.0,13.66,4.0,8.32,1.83
4,80.0,21.69,3.88,21.69,3.88,8.21,2.19
4,90.0,37.0,7.98,37.0,7.98,7.87,2.21
4,100.0,69.39,24.86,69.39,24.86,6.97,1.94
6,0.0,4.33,0.9,-4.33,0.9,7.62,2.17
6,10.0,1.29,0.48,1.05,0.89,7.55,2.01
6,20.0,2.06,1.26,1.85,1.55,7.4,1.76
6,30.0,1.54,1.05,1.36,1.27,7.45,1.59
6,40.0,4.7,2.07,4.61,2.27,7.49,1.91
6,50.0,8.61,3.46,8.61,3.46,7.8,2.02
6,60.0,10.1,3.23,10.1,3.23,7.66,1.9
6,70.0,14.02,3.85,14.02,3.85,7.61,1.91
6,80.0,22.3,5.22,22.3,5.22,7.67,2.08
6,90.0,37.87,5.1,37.87,5.1,7.88,1.78
6,100.0,79.95,17.31,79.95,17.31,6.28,2.15
7,0.0,3.94,0.0,-3.94,0.0,7.87,2.18
7,10.0,1.86,1.06,1.69,1.31,7.61,1.7
7,20.0,3.71,1.21,3.71,1.21,7.74,1.84
7,30.0,5.02,2.03,5.02,2.03,7.54,2.0
7,40.0,6.99,2.64,6.99,2.64,7.59,2.06
7,50.0,9.3,2.13,9.3,2.13,7.85,1.97
7,60.0,12.44,3.11,12.44,3.11,8.26,2.05
7,70.0,18.52,3.95,18.52,3.95,8.32,2.25
7,80.0,24.67,5.12,24.67,5.12,8.13,2.05
7,90.0,40.38,5.33,40.38,5.33,8.06,1.96
7,100.0,78.21,22.78,78.21,22.78,6.55,1.8
8,0.0,5.32,1.22,-5.32,1.22,7.42,1.85
8,10.0,2.44,1.36,2.44,1.36,7.59,1.99
8,20.0,4.03,1.35,4.03,1.35,7.34,1.78
8,30.0,5.61,1.59,5.61,1.59,7.36,2.03
8,40.0,8.29,2.57,8.29,2.57,7.1,2.05
8,50.0,11.27,2.68,11.27,2.68,7.45,2.01
8,60.0,15.98,3.11,15.98,3.11,8.22,2.0
8,70.0,19.79,4.75,19.79,4.75,8.14,1.95
8,80.0,29.38,5.51,29.38,5.51,8.02,2.09
8,90.0,45.59,13.9,45.59,13.9,7.64,2.17
