negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0,0.0,0.0,0.0,0.0,0.0,0.24,0.03
0,10.0,0.74,0.49,0.02,0.88,0.26,0.03
0,20.0,0.92,0.87,-0.28,1.24,0.31,0.02
0,30.0,2.01,1.41,-0.12,2.45,0.23,0.03
0,40.0,2.21,2.05,-0.5,2.97,0.24,0.02
0,50.0,3.03,2.05,-0.41,3.64,0.24,0.03
0,60.0,3.98,2.28,-1.14,4.44,0.23,0.02
0,70.0,4.71,3.83,-1.02,5.98,0.25,0.04
0,80.0,4.48,3.68,-0.73,5.75,0.26,0.04
0,90.0,4.5,3.26,-1.25,5.41,0.25,0.03
0,100.0,1.77,3.25,1.77,3.25,0.23,0.02
1,0.0,0.0,0.0,0.0,0.0,0.23,0.02
1,10.0,0.89,0.57,-0.06,1.05,0.23,0.02
1,20.0,1.32,1.1,-0.86,1.48,0.27,0.03
1,30.0,2.28,1.26,-0.56,2.54,0.28,0.02
1,40.0,2.48,1.94,-0.65,3.08,0.27,0.02
1,50.0,2.16,2.15,-0.93,2.9,0.28,0.02
1,60.0,4.13,3.55,-0.84,5.38,0.27,0.02
1,70.0,4.39,3.3,-1.25,5.35,0.3,0.0
1,80.0,3.62,3.33,-1.52,4.68,0.29,0.03
1,90.0,5.45,3.79,-1.01,6.56,0.24,0.03
1,100.0,1.26,2.52,1.26,2.52,0.27,0.02
2,0.0,0.0,0.0,0.0,0.0,0.25,0.03
2,10.0,0.87,0.56,0.1,1.03,0.23,0.02
2,20.0,1.62,1.18,-0.04,2.0,0.28,0.02
2,30.0,1.7,1.38,-0.71,2.07,0.29,0.02
2,40.0,3.25,2.08,-1.3,3.63,0.26,0.04
2,50.0,2.44,1.62,-1.13,2.7,0.24,0.03
2,60.0,3.56,3.04,-0.61,4.64,0.23,0.03
2,70.0,3.89,3.08,-0.84,4.89,0.24,0.02
2,80.0,5.13,3.8,-1.88,6.1,0.23,0.02
2,90.0,4.75,2.93,-1.36,5.42,0.23,0.02
