negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0,0.0,84.0,36.66,-84.0,36.66,0.15,0.01
0,10.0,76.79,30.38,-74.49,35.65,0.15,0.0
0,20.0,64.64,27.44,-57.03,40.97,0.15,0.0
0,30.0,58.63,20.37,-47.85,39.54,0.14,0.0
0,40.0,53.02,12.67,-38.25,38.84,0.14,0.0
0,50.0,49.13,3.07,-42.93,24.08,0.15,0.01
0,60.0,41.99,3.69,-18.88,37.69,0.16,0.0
0,70.0,33.52,8.28,-16.98,30.06,0.16,0.0
0,80.0,24.73,12.66,-10.58,25.68,0.16,0.0
0,90.0,17.28,19.62,-0.4,26.15,0.16,0.01
0,100.0,18.22,32.51,18.22,32.51,0.16,0.01
1,0.0,76.0,42.71,-76.0,42.71,0.15,0.0
1,10.0,70.18,35.35,-66.69,41.57,0.15,0.0
1,20.0,66.95,26.21,-61.12,37.87,0.15,0.0
1,30.0,58.14,21.2,-48.34,38.65,0.15,0.01
1,40.0,54.18,11.78,-41.9,36.32,0.15,0.01
1,50.0,46.73,6.77,-29.32,37.01,0.15,0.0
1,60.0,40.95,2.14,-23.13,33.86,0.16,0.01
1,70.0,36.46,11.58,-9.23,37.12,0.16,0.0
1,80.0,29.88,17.93,-0.58,34.84,0.16,0.01
1,90.0,14.83,16.26,-3.68,21.7,0.16,0.0
1,100.0,15.12,30.56,15.12,30.56,0.16,0.0
2,0.0,76.0,42.71,-76.0,42.71,0.16,0.0
2,10.0,73.49,33.12,-70.59,38.92,0.15,0.0
2,20.0,61.97,29.02,-53.31,42.9,0.15,0.0
2,30.0,62.73,16.79,-54.95,34.6,0.15,0.0
2,40.0,58.89,5.59,-56.37,17.94,0.15,0.01
2,50.0,47.64,6.1,-36.41,31.33,0.15,0.0
2,60.0,42.84,4.19,-8.4,42.21,0.16,0.01
2,70.0,36.78,12.42,-8.9,37.78,0.16,0.0
2,80.0,28.41,16.74,-3.68,32.77,0.16,0.0
2,90.0,21.05,22.42,4.96,30.35,0.16,0.01
2,100.0,19.67,32.14,19.67,32.14,0.16,0.0
3,0.0,68.0,46.65,-68.0,46.65,0.16,0.0
3,10.0,76.84,30.24,-74.43,35.78,0.16,0.0
3,20.0,64.65,27.41,-57.02,40.99,0.16,0.0
3,30.0,54.3,23.07,-40.98,42.44,0.15,0.01
3,40.0,53.53,13.09,-42.55,35.02,0.15,0.0
3,50.0,48.56,4.28,-39.5,28.57,0.15,0.0
3,60.0,41.27,3.64,-16.4,38.05,0.16,0.0
3,70.0,34.04,9.27,-16.45,31.21,0.16,0.0
3,80.0,24.75,12.75,-10.55,25.76,0.16,0.01
3,90.0,24.04,25.15,8.75,33.67,0.16,0.0
3,100.0,28.56,38.6,28.56,38.6,0.16,0.0
4,0.0,76.0,42.71,-76.0,42.71,0.16,0.0
4,10.0,76.84,30.29,-74.45,35.74,0.16,0.0
4,20.0,69.99,23.03,-64.48,35.66,0.15,0.0
4,30.0,53.12,22.63,-36.56,44.7,0.15,0.0
4,40.0,51.97,13.04,-34.52,40.98,0.15,0.0
4,50.0,47.01,4.69,-21.03,42.31,0.15,0.01
4,60.0,40.53,1.64,-33.16,23.37,0.15,0.0
4,70.0,32.81,7.48,-20.08,27.0,0.15,0.0
4,80.0,28.41,17.02,-3.66,32.92,0.16,0.0
4,90.0,24.39,25.68,9.14,34.22,0.16,0.0
4,100.0,18.12,32.53,18.12,32.53,0.16,0.01
6,0.0,76.0,42.71,-76.0,42.71,0.16,0.01
6,10.0,76.83,30.28,-74.45,35.74,0.16,0.0
6,20.0,62.21,28.64,-53.08,43.27,0.16,0.0
6,30.0,62.54,17.2,-55.12,34.18,0.16,0.0
6,40.0,51.67,13.45,-34.78,40.51,0.15,0.0
6,50.0,46.87,6.79,-33.19,33.79,0.15,0.0
6,60.0,41.13,3.95,-16.54,37.86,0.16,0.0
6,70.0,34.38,10.41,-16.1,32.11,0.16,0.0
6,80.0,24.74,12.83,-10.54,25.8,0.16,0.01
6,90.0,24.39,25.79,9.09,34.31,0.16,0.01
6,100.0,16.39,33.0,16.39,33.0,0.16,0.0
7,0.0,72.0,44.9,-72.0,44.9,0.16,0.0
7,10.0,80.21,26.67,-78.29,31.87,0.16,0.01
7,20.0,72.06,21.67,-68.83,30.39,0.16,0.01
7,30.0,62.3,17.83,-55.41,33.6,0.15,0.0
7,40.0,55.69,10.03,-45.18,34.08,0.15,0.01
7,50.0,47.65,4.49,-28.41,38.52,0.15,0.0
7,60.0,41.1,2.59,-19.77,36.13,0.16,0.01
7,70.0,35.32,9.57,-10.35,35.1,0.16,0.0
7,80.0,25.27,14.26,-9.99,27.24,0.16,0.0
7,90.0,18.64,19.85,1.74,27.17,0.16,0.01
7,100.0,6.53,22.14,6.53,22.14,0.16,0.01
8,0.0,80.0,40.0,-80.0,40.0,0.16,0.0
8,10.0,70.34,35.06,-66.52,41.85,0.16,0.0
8,20.0,74.95,17.29,-72.34,26.14,0.16,0.0
8,30.0,64.2,15.91,-59.09,29.71,0.16,0.0
8,40.0,58.89,5.69,-56.41,17.85,0.16,0.0
8,50.0,46.13,6.91,-25.91,38.78,0.15,0.0
8,60.0,41.4,3.27,-25.87,32.49,0.15,0.0
8,70.0,33.17,8.49,-19.74,27.98,0.16,0.01
8,80.0,30.61,18.94,0.13,36.0,0.16,0.0
8,90.0,31.25,28.49,18.37,38.09,0.16,0.0
8,100.0,11.45,26.46,11.45,26.46,0.16,0.0
9,0.0,92.0,27.13,-92.0,27.13,0.16,0.01
9,10.0,66.73,37.4,-62.93,43.48,0.16,0.0
9,20.0,77.4,13.01,-76.3,18.37,0.16,0.01
9,30.0,56.9,21.12,-43.97,41.85,0.15,0.01
9,40.0,52.86,12.95,-38.41,38.55,0.15,0.0
9,50.0,47.19,5.11,-28.86,37.68,0.15,0.01
9,60.0,40.13,0.55,-33.56,22.01,0.15,0.0
9,70.0,33.71,7.89,-14.39,31.5,0.16,0.01
9,80.0,33.56,20.35,6.3,38.74,0.16,0.0
9,90.0,30.82,27.92,17.96,37.5,0.16,0.01
9,100.0,3.1,15.19,3.1,15.19,0.15,0.01
