negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0,0.0,0.0,0.0,0.0,0.0,0.19,0.01
0,10.0,0.86,0.74,-0.11,1.13,0.19,0.01
0,20.0,1.66,1.25,0.05,2.08,0.19,0.01
0,30.0,2.58,1.79,-1.03,2.96,0.19,0.01
0,40.0,2.81,1.84,-0.07,3.36,0.19,0.01
0,50.0,2.63,3.04,-0.51,3.99,0.19,0.01
0,60.0,3.68,3.52,-1.26,4.94,0.19,0.01
0,70.0,3.64,2.53,-1.46,4.19,0.18,0.01
0,80.0,4.87,3.72,-0.77,6.08,0.19,0.01
0,90.0,5.67,3.54,-0.79,6.64,0.19,0.01
0,100.0,1.35,2.92,1.35,2.92,0.19,0.01
1,0.0,0.0,0.0,0.0,0.0,0.19,0.01
1,10.0,0.67,0.66,-0.2,0.92,0.19,0.01
1,20.0,1.55,1.39,-0.91,1.87,0.19,0.0
1,30.0,2.21,1.52,-0.74,2.58,0.19,0.01
1,40.0,2.8,1.89,-1.04,3.22,0.19,0.01
1,50.0,3.22,2.37,-0.5,3.97,0.19,0.01
1,60.0,3.78,2.93,-1.88,4.4,0.18,0.01
1,70.0,4.32,3.37,-1.01,5.38,0.18,0.01
1,80.0,4.58,4.28,-1.61,6.06,0.19,0.01
1,90.0,5.36,3.77,-0.96,6.49,0.19,0.0
1,100.0,2.07,2.67,2.07,2.67,0.19,0.01
2,0.0,0.0,0.0,0.0,0.0,0.19,0.01
2,10.0,1.14,1.0,-0.29,1.49,0.19,0.01
2,20.0,1.41,0.96,-0.46,1.64,0.19,0.01
2,30.0,1.86,1.42,-0.86,2.17,0.19,0.01
2,40.0,2.03,1.49,-0.59,2.45,0.19,0.01
2,50.0,2.64,1.93,-0.49,3.23,0.19,0.01
2,60.0,4.43,2.79,-1.29,5.08,0.18,0.01
2,70.0,4.49,2.73,-0.09,5.25,0.19,0.01
2,80.0,6.13,5.01,-2.73,7.43,0.19,0.01
2,90.0,6.19,3.38,-0.4,7.04,0.19,0.01
2,100.0,3.21,4.96,3.21,4.96,0.19,0.01
3,0.0,0.0,0.0,0.0,0.0,0.19,0.0
3,10.0,0.93,0.72,-0.23,1.16,0.19,0.01
3,20.0,1.61,1.26,-0.6,1.95,0.19,0.0
3,30.0,2.03,1.13,-0.59,2.25,0.19,0.01
3,40.0,2.58,2.44,-0.47,3.52,0.19,0.0
3,50.0,2.42,1.83,-0.55,2.98,0.19,0.0
3,60.0,4.38,2.85,-1.3,5.06,0.19,0.01
3,70.0,4.04,2.16,-0.28,4.57,0.19,0.01
3,80.0,4.54,3.25,-0.35,5.57,0.19,0.01
3,90.0,4.76,3.34,0.02,5.81,0.19,0.01
3,100.0,2.45,3.39,2.45,3.39,0.19,0.01
4,0.0,0.0,0.0,0.0,0.0,0.19,0.01
4,10.0,0.72,0.68,0.01,0.99,0.19,0.01
4,20.0,1.26,1.14,-0.43,1.64,0.19,0.01
4,30.0,1.66,1.19,-0.17,2.04,0.19,0.01
4,40.0,3.0,2.42,-0.73,3.78,0.18,0.01
4,50.0,2.67,2.06,-0.67,3.3,0.19,0.03
4,60.0,2.78,2.69,-0.91,3.76,0.17,0.01
4,70.0,6.13,4.1,-0.25,7.37,0.17,0.0
4,80.0,3.89,3.45,-0.4,5.18,0.17,0.01
4,90.0,5.7,3.56,-2.21,6.34,0.18,0.01
4,100.0,2.82,4.55,2.82,4.55,0.18,0.01
6,0.0,0.12,0.1,-0.12,0.1,0.18,0.01
6,10.0,0.88,0.6,0.1,1.06,0.18,0.0
6,20.0,1.26,1.23,-0.44,1.7,0.18,0.01
6,30.0,2.11,1.96,-0.33,2.86,0.18,0.01
6,40.0,3.01,2.31,-0.67,3.73,0.18,0.01
6,50.0,3.73,2.34,-1.33,4.2,0.17,0.01
6,60.0,3.87,3.11,-1.08,4.85,0.18,0.01
6,70.0,3.93,2.15,-0.45,4.46,0.17,0.01
6,80.0,4.62,3.79,-1.29,5.83,0.17,0.01
6,90.0,4.61,3.29,-1.94,5.32,0.17,0.01
6,100.0,2.53,3.82,2.53,3.82,0.18,0.01
7,0.0,0.0,0.0,0.0,0.0,0.17,0.01
7,10.0,1.09,1.0,-0.06,1.47,0.18,0.01
7,20.0,1.46,1.43,-0.51,1.98,0.17,0.0
7,30.0,1.73,1.64,-0.76,2.26,0.18,0.01
7,40.0,3.41,2.21,-1.67,3.7,0.18,0.01
7,50.0,4.14,3.47,-1.48,5.19,0.18,0.01
7,60.0,4.28,2.23,-1.45,4.61,0.17,0.01
7,70.0,4.74,2.86,-0.34,5.53,0.17,0.01
7,80.0,5.92,4.43,0.04,7.4,0.17,0.0
7,90.0,4.47,3.45,-0.66,5.61,0.17,0.01
7,100.0,1.35,2.18,1.35,2.18,0.17,0.01
8,0.0,0.0,0.0,0.0,0.0,0.18,0.0
8,10.0,0.9,0.59,-0.18,1.06,0.18,0.01
8,20.0,1.32,1.2,-0.31,1.75,0.18,0.01
8,30.0,2.61,1.95,-0.6,3.2,0.18,0.01
8,40.0,2.18,1.78,-0.8,2.7,0.18,0.0
8,50.0,3.27,2.15,-1.68,3.53,0.18,0.01
8,60.0,4.86,3.51,-0.56,5.97,0.17,0.0
8,70.0,4.05,2.49,-0.69,4.7,0.18,0.01
8,80.0,5.31,3.97,-0.97,6.56,0.17,0.01
8,90.0,5.87,3.35,-0.91,6.7,0.17,0.0
8,100.0,3.14,4.38,3.14,4.38,0.18,0.0
9,0.0,0.0,0.0,0.0,0.0,0.18,0.01
