negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0,0.0,20.57,0.82,-20.57,0.82,135.19,7.56
0,10.0,18.07,0.97,-18.07,0.97,101.19,22.4
0,20.0,15.6,1.82,-15.6,1.82,88.97,4.35
0,30.0,13.17,3.19,-13.17,3.19,88.97,3.13
0,40.0,9.76,3.78,-9.76,3.78,88.5,3.36
0,50.0,8.41,3.01,-8.4,3.02,88.58,4.71
0,60.0,7.53,2.39,-5.89,5.27,88.11,3.74
0,70.0,7.23,3.83,-4.16,7.05,88.33,4.25
0,80.0,4.08,2.55,-2.94,3.81,89.3,4.41
0,90.0,5.14,4.71,-0.25,6.97,90.59,4.57
0,100.0,1.7,2.27,1.7,2.27,89.21,3.12
1,0.0,20.72,1.11,-20.72,1.11,89.37,5.26
1,10.0,18.49,1.39,-18.49,1.39,89.65,4.32
1,20.0,16.04,1.78,-16.04,1.78,88.67,2.82
1,30.0,12.5,3.43,-12.5,3.43,89.4,3.38
1,40.0,11.04,3.59,-11.04,3.59,89.29,4.84
1,50.0,8.24,4.03,-7.9,4.67,88.81,4.32
1,60.0,7.24,3.48,-6.62,4.56,88.35,4.01
1,70.0,5.41,3.5,-3.29,5.54,88.93,4.07
1,80.0,5.57,4.37,-0.24,7.07,89.01,3.71
1,90.0,7.46,6.53,1.77,9.76,88.61,2.83
1,100.0,5.44,9.49,5.44,9.49,88.81,3.52
2,0.0,20.35,0.91,-20.35,0.91,88.74,3.92
2,10.0,18.1,0.95,-18.1,0.95,88.65,4.65
2,20.0,15.06,2.06,-15.06,2.06,89.69,3.15
2,30.0,12.55,2.55,-12.55,2.55,91.54,3.54
2,40.0,11.48,3.5,-11.48,3.5,91.9,3.57
2,50.0,8.01,3.79,-7.29,5.03,91.71,3.55
2,60.0,6.65,2.73,-4.59,5.53,90.99,4.44
2,70.0,3.93,2.86,-1.81,4.51,91.56,4.93
2,80.0,4.59,4.65,-0.64,6.5,91.38,3.6
2,90.0,6.05,5.54,2.33,7.87,91.01,4.73
2,100.0,3.0,4.77,3.0,4.77,90.99,3.29
3,0.0,21.15,0.8,-21.15,0.8,90.73,4.18
3,10.0,18.92,0.99,-18.92,0.99,90.29,3.94
3,20.0,16.03,2.48,-16.03,2.48,90.54,4.41
3,30.0,14.32,3.42,-14.32,3.42,90.27,3.54
3,40.0,10.34,4.73,-10.12,5.16,90.76,4.54
3,50.0,8.18,3.52,-6.64,5.94,89.01,3.75
3,60.0,9.1,4.05,-7.94,6.02,89.24,4.83
3,70.0,7.2,3.3,-6.65,4.3,88.2,3.97
3,80.0,5.88,3.77,-3.68,5.94,87.96,2.92
3,90.0,5.35,3.74,-0.69,6.49,88.0,4.29
3,100.0,1.88,2.56,1.88,2.56,89.55,4.78
4,0.0,20.85,0.94,-20.85,0.94,87.75,3.77
4,10.0,18.03,1.53,-18.03,1.53,86.97,4.47
4,20.0,15.03,2.71,-15.03,2.71,87.86,4.37
4,30.0,12.97,2.71,-12.97,2.71,87.71,5.23
4,40.0,9.82,3.32,-9.82,3.32,88.29,5.7
4,50.0,8.37,4.68,-7.87,5.48,87.09,3.24
4,60.0,6.49,2.96,-5.9,4.0,87.43,4.14
4,70.0,5.29,3.16,-3.73,4.91,87.11,4.31
4,80.0,4.09,2.88,-1.04,4.89,87.16,4.17
4,90.0,5.46,4.98,1.45,7.24,88.06,4.48
4,100.0,4.62,7.43,4.62,7.43,88.57,6.13
6,0.0,20.62,0.69,-20.62,0.69,88.82,5.64
6,10.0,18.11,1.13,-18.11,1.13,87.7,4.55
6,20.0,16.1,1.18,-16.1,1.18,88.26,3.83
6,30.0,11.16,3.77,-11.16,3.77,88.07,4.9
6,40.0,10.43,3.27,-10.35,3.5,87.08,3.14
6,50.0,8.54,3.38,-8.2,4.14,87.48,4.14
6,60.0,5.97,2.82,-4.83,4.49,87.35,3.64
6,70.0,4.72,2.91,-3.46,4.33,88.06,4.89
6,80.0,4.8,3.91,-1.25,6.06,87.33,3.19
6,90.0,6.31,5.14,-0.79,8.1,87.77,4.51
6,100.0,4.01,7.06,4.01,7.06,88.96,5.24
7,0.0,20.61,0.89,-20.61,0.89,88.88,4.61
7,10.0,17.79,1.43,-17.79,1.43,89.52,4.73
7,20.0,14.41,2.39,-14.41,2.39,91.0,3.74
7,30.0,11.11,3.62,-11.11,3.62,90.05,4.62
7,40.0,8.83,4.38,-8.78,4.48,89.42,4.29
7,50.0,7.37,3.57,-6.8,4.56,90.92,5.16
7,60.0,5.92,2.47,-4.06,4.97,89.96,4.91
7,70.0,6.64,3.97,-2.35,7.37,90.13,4.14
7,80.0,4.98,4.36,-1.68,6.4,89.33,4.75
7,90.0,6.25,5.02,-0.03,8.01,90.74,4.34
7,100.0,2.6,4.01,2.6,4.01,90.76,3.94
8,0.0,20.51,0.54,-20.51,0.54,89.37,3.62
8,10.0,18.15,1.88,-18.15,1.88,90.52,4.89
8,20.0,16.37,2.45,-16.37,2.45,89.89,4.46
8,30.0,12.2,3.51,-12.2,3.51,90.23,3.95
8,40.0,7.56,4.33,-7.56,4.33,89.39,3.55
8,50.0,7.58,4.58,-7.2,5.16,89.47,3.84
8,60.0,5.17,3.41,-4.21,4.54,89.03,4.02
