negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0,0.0,3.49,0.75,-3.49,0.75,4.15,0.19
0,10.0,5.23,1.37,-5.23,1.37,4.16,0.23
0,20.0,6.46,1.7,-6.46,1.7,4.03,0.33
0,30.0,8.08,2.02,-8.08,2.02,4.05,0.26
0,40.0,9.62,2.58,-9.62,2.58,4.22,0.28
0,50.0,10.51,2.79,-10.51,2.79,4.23,0.38
0,60.0,10.03,4.02,-9.8,4.53,4.24,0.27
0,70.0,10.4,4.6,-10.34,4.72,4.37,0.3
0,80.0,10.64,4.31,-10.64,4.31,4.03,0.24
0,90.0,7.77,2.3,-7.39,3.34,3.98,0.25
0,100.0,2.04,2.43,2.04,2.43,4.05,0.23
1,0.0,4.79,0.81,-4.79,0.81,4.04,0.26
1,10.0,6.6,1.63,-6.6,1.63,4.0,0.27
1,20.0,9.08,2.6,-9.08,2.6,4.36,0.3
1,30.0,9.35,2.77,-9.35,2.77,4.16,0.22
1,40.0,10.69,3.14,-10.69,3.14,4.15,0.31
1,50.0,12.95,5.29,-12.95,5.29,4.2,0.29
1,60.0,10.17,4.8,-10.17,4.8,4.03,0.28
1,70.0,11.1,4.32,-11.1,4.32,4.19,0.28
1,80.0,9.9,4.77,-9.46,5.6,4.05,0.25
1,90.0,6.55,2.74,-6.55,2.74,4.01,0.19
1,100.0,1.79,2.2,1.79,2.2,4.15,0.45
2,0.0,2.29,0.57,-2.29,0.57,3.84,0.25
2,10.0,5.59,1.52,-5.59,1.52,3.9,0.21
2,20.0,7.04,1.87,-7.04,1.87,3.9,0.3
2,30.0,7.37,2.61,-7.37,2.61,3.91,0.26
2,40.0,10.28,2.8,-10.28,2.8,3.89,0.23
2,50.0,9.04,2.81,-9.04,2.81,3.99,0.25
2,60.0,7.98,4.55,-7.84,4.78,3.85,0.24
2,70.0,10.73,3.92,-10.67,4.09,3.96,0.22
2,80.0,10.33,4.85,-10.33,4.85,3.95,0.28
2,90.0,5.44,1.89,-4.98,2.89,4.07,0.23
2,100.0,2.48,2.97,2.48,2.97,4.16,0.28
3,0.0,4.49,2.63,-4.49,2.63,3.99,0.2
3,10.0,5.5,1.86,-5.5,1.86,4.12,0.2
3,20.0,8.03,2.08,-8.03,2.08,3.99,0.31
3,30.0,9.27,3.09,-9.27,3.09,4.09,0.25
3,40.0,9.38,3.21,-9.38,3.21,4.07,0.22
3,50.0,12.33,3.47,-12.33,3.47,4.07,0.24
3,60.0,9.58,4.2,-9.58,4.2,4.23,0.52
3,70.0,10.12,4.51,-10.12,4.51,4.21,0.32
3,80.0,10.18,4.06,-10.18,4.06,4.27,0.33
3,90.0,5.62,3.19,-4.69,4.45,4.2,0.24
3,100.0,1.78,2.64,1.78,2.64,4.08,0.24
4,0.0,1.13,0.03,-1.13,0.03,4.15,0.28
4,10.0,3.32,0.86,-3.32,0.86,4.27,0.43
4,20.0,4.54,1.59,-4.54,1.59,4.11,0.22
4,30.0,5.81,1.85,-5.81,1.85,3.95,0.25
4,40.0,7.8,2.89,-7.8,2.89,4.03,0.25
4,50.0,7.78,2.31,-7.78,2.31,4.18,0.37
4,60.0,10.03,2.63,-10.03,2.63,4.19,0.34
4,70.0,8.19,3.62,-8.11,3.79,4.43,0.27
4,80.0,8.91,3.87,-8.91,3.87,4.21,0.26
4,90.0,5.25,3.36,-5.2,3.44,4.3,0.25
4,100.0,1.66,2.39,1.66,2.39,4.05,0.42
6,0.0,5.12,1.59,-5.12,1.59,3.97,0.2
6,10.0,5.19,1.6,-5.19,1.6,4.09,0.21
6,20.0,6.13,1.69,-6.13,1.69,3.93,0.28
6,30.0,7.44,1.82,-7.44,1.82,4.02,0.22
6,40.0,8.94,3.05,-8.94,3.05,4.07,0.26
6,50.0,8.96,3.57,-8.96,3.57,4.14,0.33
6,60.0,8.68,4.29,-8.68,4.29,4.09,0.23
6,70.0,8.64,3.56,-8.45,3.99,4.11,0.29
6,80.0,7.88,4.65,-6.78,6.14,4.23,0.23
6,90.0,5.52,3.25,-4.86,4.17,4.03,0.25
6,100.0,2.05,2.37,2.05,2.37,3.9,0.27
7,0.0,8.5,1.4,-8.5,1.4,3.54,0.2
7,10.0,6.89,1.86,-6.89,1.86,3.78,0.21
7,20.0,8.15,1.72,-8.15,1.72,3.93,0.3
7,30.0,8.83,3.07,-8.83,3.07,3.99,0.36
7,40.0,11.25,2.91,-11.25,2.91,3.84,0.22
7,50.0,10.88,2.94,-10.88,2.94,3.93,0.2
7,60.0,10.3,3.58,-10.3,3.58,4.12,0.2
7,70.0,10.48,3.58,-10.48,3.58,4.15,0.22
7,80.0,10.46,5.11,-10.08,5.83,4.03,0.25
7,90.0,5.79,3.1,-5.58,3.45,4.05,0.31
7,100.0,1.61,1.61,1.61,1.61,4.05,0.26
8,0.0,5.39,1.93,-5.39,1.93,4.15,0.24
8,10.0,9.0,2.62,-9.0,2.62,4.32,0.22
8,20.0,11.56,3.24,-11.56,3.24,4.36,0.26
8,30.0,12.89,4.03,-12.89,4.03,4.29,0.23
8,40.0,14.4,5.5,-14.4,5.5,4.33,0.22
8,50.0,17.89,5.08,-17.89,5.08,4.31,0.43
8,60.0,16.51,6.48,-16.51,6.48,4.34,0.27
8,70.0,18.98,3.04,-18.98,3.04,4.17,0.26
8,80.0,13.07,4.4,-13.07,4.4,4.11,0.28
8,90.0,7.08,2.87,-7.08,2.87,4.03,0.24
8,100.0,2.4,2.06,2.4,2.06,4.14,0.39
9,0.0,4.57,1.79,-4.57,1.79,4.2,0.34
9,10.0,6.59,1.51,-6.59,1.51,4.18,0.19
9,20.0,7.09,2.21,-7.09,2.21,4.14,0.25
9,30.0,9.19,3.57,-9.19,3.57,4.23,0.28
9,40.0,11.01,3.19,-11.01,3.19,4.15,0.28
9,50.0,13.06,5.0,-12.86,5.5,4.03,0.27
9,60.0,12.87,5.04,-12.87,5.04,4.05,0.2
9,70.0,11.47,5.53,-11.47,5.53,4.24,0.39
9,80.0,11.94,5.13,-11.94,5.13,4.11,0.23
9,90.0,6.46,3.29,-6.46,3.29,4.06,0.33
9,100.0,1.57,2.23,1.57,2.23,4.03,0.2
