negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0,0.0,0.0,0.0,0.0,0.0,14.69,0.3
0,10.0,0.81,0.56,0.15,0.98,15.03,0.3
0,20.0,1.18,0.78,0.06,1.42,14.87,0.31
0,30.0,1.09,0.89,-0.24,1.39,14.73,0.25
0,40.0,1.97,1.7,0.25,2.59,14.2,0.32
0,50.0,2.06,1.29,1.27,2.07,14.13,0.43
0,60.0,2.8,2.55,1.45,3.5,13.83,0.36
0,70.0,4.05,3.98,3.23,4.67,13.67,0.39
0,80.0,5.0,3.75,4.2,4.63,13.65,0.32
0,90.0,6.16,5.57,5.74,6.01,13.74,0.45
0,100.0,9.19,5.36,9.19,5.36,13.64,0.54
1,0.0,0.0,0.0,0.0,0.0,14.67,0.32
1,10.0,0.77,0.56,-0.07,0.94,14.89,0.22
1,20.0,1.45,1.03,-0.32,1.75,14.47,0.46
1,30.0,1.6,1.25,-0.59,1.94,14.03,0.23
1,40.0,1.64,1.47,-0.09,2.2,14.01,0.37
1,50.0,2.85,1.62,0.83,3.17,13.61,0.3
1,60.0,3.64,2.41,2.09,3.83,13.36,0.39
1,70.0,3.92,2.96,2.1,4.44,13.18,0.37
1,80.0,4.58,3.7,2.41,5.37,13.37,0.28
1,90.0,5.52,4.45,4.95,5.07,13.57,0.34
1,100.0,8.07,5.64,8.07,5.64,13.63,0.29
2,0.0,0.0,0.0,0.0,0.0,13.4,0.28
2,10.0,0.73,0.67,-0.1,0.99,13.25,0.2
2,20.0,1.37,1.32,-0.07,1.9,13.4,0.35
2,30.0,1.35,0.88,0.17,1.61,13.03,0.28
2,40.0,1.54,1.28,0.42,1.95,12.99,0.36
2,50.0,3.63,2.21,2.28,3.59,12.82,0.22
2,60.0,3.02,2.31,2.32,3.0,12.92,0.38
2,70.0,4.61,3.19,4.18,3.74,13.05,0.32
2,80.0,5.31,3.4,5.06,3.76,13.63,0.4
2,90.0,7.52,4.78,7.28,5.15,13.45,0.41
2,100.0,8.6,5.89,8.6,5.89,13.84,0.49
3,0.0,0.01,0.04,-0.01,0.04,13.74,0.29
3,10.0,0.93,0.93,-0.13,1.31,14.01,0.42
3,20.0,1.54,1.01,-0.63,1.73,13.42,0.3
3,30.0,1.48,1.09,-0.33,1.81,13.24,0.35
3,40.0,2.23,1.85,0.58,2.84,13.18,0.32
3,50.0,2.38,1.86,0.93,2.87,12.97,0.37
3,60.0,3.93,2.93,2.25,4.36,13.08,0.5
3,70.0,3.51,3.02,3.05,3.49,13.18,0.33
3,80.0,5.06,3.76,4.74,4.15,13.68,0.45
3,90.0,6.94,6.41,6.43,6.92,13.6,0.39
3,100.0,9.87,5.47,9.87,5.47,14.01,0.42
4,0.0,0.0,0.0,0.0,0.0,14.49,0.3
4,10.0,0.74,0.79,-0.1,1.07,14.58,0.39
4,20.0,1.37,1.14,-0.23,1.76,13.72,0.33
4,30.0,1.65,0.95,-0.45,1.85,13.24,0.24
4,40.0,2.24,1.82,0.76,2.79,13.08,0.24
4,50.0,1.89,1.09,0.71,2.07,13.46,0.43
4,60.0,3.33,3.2,3.19,3.34,13.19,0.26
4,70.0,4.61,3.39,3.54,4.5,13.3,0.42
4,80.0,6.59,4.8,5.89,5.64,13.19,0.35
4,90.0,6.46,4.63,6.23,4.93,13.37,0.41
4,100.0,8.83,5.86,8.83,5.86,13.79,0.42
6,0.0,0.02,0.05,-0.02,0.05,14.14,0.33
6,10.0,1.18,0.81,-0.47,1.35,14.01,0.44
6,20.0,1.26,1.0,-0.09,1.6,13.49,0.39
6,30.0,1.98,1.8,0.03,2.68,13.46,0.33
6,40.0,1.76,1.18,-0.13,2.11,13.51,0.32
6,50.0,1.94,1.61,0.68,2.43,13.82,0.44
6,60.0,3.64,2.58,2.54,3.67,13.5,0.4
6,70.0,4.22,3.23,2.59,4.64,13.46,0.38
6,80.0,3.63,2.41,3.45,2.67,13.73,0.27
6,90.0,7.42,5.75,6.78,6.49,13.75,0.51
6,100.0,12.4,6.08,12.4,6.08,13.92,0.42
7,0.0,0.0,0.0,0.0,0.0,13.83,0.37
7,10.0,0.72,0.49,-0.32,0.81,14.2,0.33
7,20.0,1.89,1.4,-0.76,2.23,13.97,0.18
7,30.0,2.13,1.52,-0.82,2.49,13.81,0.22
7,40.0,1.67,1.33,-0.07,2.14,13.75,0.24
7,50.0,2.65,1.68,0.87,3.01,13.65,0.29
7,60.0,3.82,2.7,2.5,3.95,13.42,0.38
7,70.0,3.58,2.25,0.71,4.16,13.52,0.34
7,80.0,3.42,2.24,2.13,3.49,13.81,0.32
7,90.0,8.24,5.28,7.84,5.85,13.98,0.44
7,100.0,11.27,5.57,11.27,5.57,14.17,0.32
8,0.0,0.0,0.0,0.0,0.0,15.45,0.32
8,10.0,1.3,0.9,-0.31,1.56,15.21,0.33
8,20.0,1.47,1.14,-0.43,1.81,14.86,0.3
8,30.0,1.72,1.29,-0.17,2.15,14.68,0.45
8,40.0,2.58,1.9,0.24,3.2,14.35,0.42
8,50.0,2.79,1.55,0.38,3.17,14.2,0.4
8,60.0,2.93,2.26,0.08,3.7,14.02,0.51
8,70.0,4.11,3.33,2.69,4.56,14.06,0.44
8,80.0,4.25,2.98,1.82,4.86,14.08,0.5
8,90.0,5.63,5.02,4.13,6.31,14.14,0.48
8,100.0,7.74,4.44,7.74,4.44,14.12,0.32
9,0.0,0.0,0.0,0.0,0.0,16.01,0.27
9,10.0,0.83,0.7,-0.08,1.08,15.95,0.47
9,20.0,1.24,0.94,-0.26,1.53,14.92,0.48
9,30.0,1.93,1.66,-0.96,2.36,14.49,0.32
9,40.0,2.14,1.32,0.32,2.5,14.36,0.45
9,50.0,2.47,1.71,0.53,2.96,14.09,0.41
9,60.0,2.37,1.34,0.2,2.72,13.77,0.34
9,70.0,4.7,3.11,2.15,5.21,13.51,0.32
9,80.0,4.37,3.79,3.44,4.65,13.77,0.39
9,90.0,7.81,5.17,6.17,7.05,13.84,0.72
9,100.0,11.09,6.38,11.09,6.38,13.98,0.4
